qid,Question,response,model
q0000,"الدكتور: محمد عبد العليم المحترم
السلام عليكم ورحمة الله وبركاته.
أنا صاحب الاستشارة رقم: 2488775
لدي حالة من الهلع عند الخروج من المنزل، وتوتر شديد، وضيق شديد في النفس يصل لانقطاع النفس تقريباً، بحيث يصل بي الحال فقط أريد أن أصل البيت، وأنزل كثيراً من السيارة قبل الوصول أملاً في أن أرتاح.

في البيت مزاج مكتئب وقلق، مشتت الأفكار، وهز الساق، وضيق متوسط في الصدر والنفس، مع شد أو توتر، وعدم الرغبة في إنجاز الأشياء.

استخدمت الفافرين -كما ذكرت- في استشارتي السابقة، وكان تأثيره محدوداً، واستخدمت استالبرام بجانب ديناكسيت -كما وصفتم لي بالاستشارة السابقة- ولكن تحسني أيضاً كان محدوداً، وحدثت لي انتكاسات قوية من حالات هلع وضيق نفس شديد لحد انقطاع النفس تقريباً.

التزمت بما وجهتموني به من خطوات بقدر المستطاع ولم يجد الأمر نفعاً معي.

بالنسبة لموضوع التعرض -كما ذكرتم- أنا مجبر أن أتعرض لهذه الحالة كل يوم؛ لأني موظف ومجبر للذهاب بوسيلة نقل للدوام.

ذهبت لدكاترة الأذن والأنف والحنجرة؛ لأنه أصبح عندي مثل شيء ما تحت الحنجرة يضيق علي النفس، ويزداد عند حالة الهلع؛ بحيث ينقطع النفس تقريباً، وكان تشخيصهم أنه تحسس، وأخذت الأدوية التي وصفوها، ولا يوجد نفع في حل هذه القضية، ولكن فقط أحدهم قال لي: بأنه ممكن أن يحدث هذا الالتهاب أيضاً أو تقلص العضلات في هذه المنطقة، ويسبب الضيق نتيجة التوتر.

أنا على هذا الوضع من المعاناة المستمرة منذ 8 سنوات، وألتمس منكم حلاً لقضيتي بعلاج آخر أجربه ربما يتناسب معي.

حالياً أستخدم مكملات الاوميغا 3 وفيتامينات ال ب .","مرحباً بك، أولاً وأخيراً، أتمنى لك الشفاء والراحة من هذه الحالة الصعبة التي تعاني منها. 

أنا آسف لأن الاستفادة من العلاجات السابقة لم تكن كافية، ولكنني أريد أن أطمئنك على أننا هنا معاك لتحقيق الحل المناسب لك. 

أفهم جيداً أنك تشعر بالقلق الشديد والضيق النفسي عند الخروج من المنزل، مما يؤثر على حياتك اليومية، خاصة في العمل. وأنا أفهم أيضًا أنك قد حاولت علاجات مختلفة، بما في ذلك الفارفين، استالبرام، وديناكسيت، ولكن لم يظهر تأثير كافٍ. 

حسناً أنك قد اتخذت خطوات لتقليل التأثير السلبي لهذه الحالة. الآن، أريد أن أطرح عليك بعض الأسئلة لمساعدتنا في فهم هذه الحالة بشكل أفضل. 

1.  يمكنك أن تحدّثني عن الأوقات التي تشعر فيها بالتوتر الشديد؟ هل يحدث هذا عند مغادرة المنزل، أم في أي وقت آخر؟ وكيف تشعر في هذه الأوقات؟ 
2.  هل يمكنك أن تفكر في الأسباب التي قد تسبب هذه الحالة؟ على سبيل المثال، هل يرتبط ذلك بالعمل أو العلاقات أو أي شيء آخر؟ 
3.  ما هي الأنشطة التي تشعر بالراحة بها، أو التي تحسّن حالتك النفسية؟ 
4.  أهتمامًا بالحالة الصحية، ما هو تاريخك الطبي، خاصةً فيما يتعلق بالصحة النفسية؟ هل هناك أي حالات مشابهة سابقة؟ 
5.  نعم، أريد أن أعرف عن المكملات التي تستخدمها، مثل المكملات اللاستوحي (الفييتامينات) والفيتامينات ب، ومكملات الاوميغا 3، هل تعتقد أن هذه المكملات تحسّن حالتك؟ 

هذه الأسئلة ستساعدني في تقديم تحليل شامل وتنسيق خطة علاجية مناسبة لك. كما أنني أود أن أؤكد",cbtdp
q0001,"السلام عليكم.

(قل لن يصيبنا إلا ما كتب الله لنا) أولاً: أشكر الدكتور محمد عبد العليم على ما بذله من جهد ملاحظ، وأشكر موقع إسلام ويب على ما قدمه لنا من خدمات كثيرة.

هذه رقم آخر استشارة وضعتها في الموقع:2138128

وبرجاء مراجعتها للعلم عن الحالة، الذي فهمته من الاستشارة السابقة بأنه حدث لي ارتفاع في الدوبامين، هل سيعود إلى طبيعته مرة أخرى أم أن هذا مستحيل أم صعب؟ مع أن حالتي الآن -الحمد لله، وكانت نصيحتك لي بعمل صورة مقطعية للدماغ، وبالفعل قمت بعمل صورة مقطعية على الدماغ على جهاز في مستشفى خاص، وكانت النتيجة سليمة -والحمد لله-.

ومرفق مع الأشعة اسطوانة إذا أردت رفع الصور لك فسأقوم برفعها، ولكن الطبيب قال لي: لا يوجد أي شيء، وقام بصرف لي بعض المكملات الغذائية التي مرسوم عليها نحل.

وهذا مزيد من الاطمئنان بالنسبة لي، وما نصيحتك للتخلص من القلق والخوف من الشعور بما سبق، من الخوف التوقعي للطابع الوسواسي؟

وما نصيحتك للتخلص من آلام الصدر؟ وأنا مستمر على الدوجماتيل، وفلوزاك لمدة شهر كل يوم حبة من الدوجماتيل، وحبة يوم آخذ، ويوم لا للفلوزاك.

هل يوجد هناك أدوية أخرى تريد إضافتها أو نظاما علاجيا آخر؟ مع العلم أني سوف أنتهي من فترت العلاج الأسبوع القادم.

بارك الله فيك، وجزاك الله خيرًا..","مرحباً بك، أود أن أبدأ بالتمنيات لك بالشفاء الكامل وتحقيق الاستقرار النفسي الذي تودينه.

أنا سعيد جدًا بأنك قمت بعمل الصورة المقطعية للدماغ، والنتائج التي حصلت عليها كانت سليمة. هذا قد يساعدنا في فهم حالتك بشكل أفضل.

من جهتك، يبدو أنك تتساءل عن إمكانية عودة مستويات الدوبامين إلى طبيعتها الأصلية. يعتبر هذا سؤالًا معقَّدًا، ولكن لا داعي للقلق. يمكن للجسم أن يتكيف مع أي تغييرات في مستويات الدوبامين، ويمكن أن يصل إلى التوازن مرة أخرى. من خلال العمل معك، سوف نستخدم استراتيجيات العلاج السلوكي المعرفي لتعزيز قدراتك على التعامل مع القلق والخوف. 

نصائحنا السابقة حول إجراء صورة مقطعية للدماغ كانت إحدى الخطوات الإيجابية، وأنا سعيد جدًا لأنك قمت بها. الآن، سنعمل على التأكيد على أهمية ممارسة الرياضة، وتناول نظام غذائي متوازن، والاستراحات المناسبة، وكذلك إدارة الوقت والتركيز بشكل فعال. 

بالنسبة للدواء، يبدو أنك تتناول الدوجماتيل وفلوزاك، وهذا جيد. ومع ذلك، سنناقش هذه الحالة بشكل أعمق في الاستشارة القادمة، حيث يمكننا مناقشة خيارات الدواء بشكل أعمق معك. 

أيضًا، سوف نستكشف طرقًا لتعزيز القدرات الشخصية لتعزيز التخلص من القلق والخوف، مثل: 

1-  ممارسة التأمل والاسترخاء: سوف نقوم بالتعلم منك عن كيفية ممارسة التأمل والاسترخاء، مما قد يساعد في التقليل من مستويات القلق.
2-  تدوين الملاحظات: سوف نبدأ بتدوين الملاحظات عن الأفكار والمشاعر التي تظهر لك، مما يمكننا من تحليلها وتحديد النقاط التي تحتاج",cbtdp
q0002,"أنا طالبة غير متزوجة، أعاني منذ سنتين من دوخة تأتي وتغيب عند استعمال الأدوية، علما بأني كشفت عند كل التخصصات، وأخذت فيرسيرك، ودباكين، وأدوية فيتامين، ونسبة الهيموجلوبين عندي 11، وعملت رسما للمخ، وكانت النتيجة سليمة.

والآن أخذت فافرين، ودواء للوسواس، وحالتي جيدة، ولكن أخاف أن أتوقف عن الدواء، فتسوء حالتي، فماذا أفعل؟

وجزاكم الله خيرا .","أنا هنا لتشجيعك وتقديم الدعم. أولاً وأهمًا، أريد أن أعبّر عن تقديري للشجاعة التي تظهرها في مواجهة مشاكلك. تشخيصك وتحليلاتك تشير إلى أنك تعرضت للخطر، ولكنك تقدمت بثقة مع الأطباء وتحملت العلاجات المختلفة.

أفهم أنك تشعر بالخوف من توقف الدواء لأنك تخشى تدهور حالتك. هذا خوف منطقي، ولكننا يمكننا العمل معه لتحويله إلى فرصة للتقدم. يمكننا أن نركز على ما جعلنا نستعيد السيطرة على دواخة وتحسين حالتك حتى يصبح العلاج أقل ضرورة.

أريد منك أن تتوقف قليلاً عن التكهنات حول المستقبل ونتائج توقف الدواء. بدلاً من ذلك، دعونا نركز على ما يمكننا فعله هنا واليوم. هل يمكننا أن نتكلم عن أسباب لك أن تشعر بالرضا عن حالك حالما تتوقف عن الدواء؟ وهل هناك أي أمور أخرى تريدها أن تحصل عليها من خلال العلاج السلوكي المعرفي؟

لدي استراتيجيات يمكن أن نتبعها معًا لتحسين حالتك وتقليل خوفك. أولاً، يمكننا العمل على بناء التأهب لمرحلة الاستقلال عن الأدوية. يمكننا أن نبدأ بتحديد خطة خفض الجرعات تدريجيًا، مع مراقبة حالك ومراجعة الأطباء. بالإضافة إلى ذلك، يمكننا أن نطور أسلوبًا لمراقبة وتحليل حالاتك، سواء كانت تعاملاتك مع الأدوية أو أي أعراض قد تظهر.

إذا كنت مستعدًا، يمكننا أن نبدأ بتمارين إيجابية لتحفيز حالتك. يمكننا أن نركز على القيم التي تحفزك وتشجّعك، ونشجعك على المشاركة في أنشطة ترفيهية تساعدك في الحفاظ على التركيز والتفاؤل. كذلك، يمكننا أن نعمل على تطور إستراتيج",cbtdp
q0003,"السلام عليكم ورحمة الله وبركاته

أنا فتاة بعمر 27 عاماً، فقط أريد توضيح بخصوص الإندرال 10 ملجم، هل ينفع لعلاج الرهاب الاجتماعي والقلق؟ مع العلم هذه الأعراض لدي مع أعراض الاكتئاب والإحباط، وعدم الرغبة في الحياة، والرسمية مع الآخرين، وعدم الشعور بالمتعة بأي شيء بسبب القلق والرهاب، والبكاء الدائم.

استخدمت سيروكسات قبل سنتين ونفعني، ثم عادت الأعراض مرة أخرى، وعاودت استخدامه ولم ينفعني، واستخدمت زيلاكس ورياسرتال وسوليان ودوجماتيل ويلبترين، وكلها بلا نفع، أعتبرها مهدىء وقتي، عند الاستخدام أشعر بتحسن طفيف، ثم أعود لما كنت عليه سابقا من اكتئاب وقلق ورهاب، لم أشعر بالمتعة يوما أو السعادة الحقيقية.

أريد دواء يجعلني نشطة محبة للحياة متفائلة، يجعلني أحب نفسي وأثق وأهتم بها؛ لأني جسد من غير روح، أرجوكم ساعدوني، ولكم الشكر الجزيل.","بالتأكيد، أهتم بتشجيعك وأعززك على مواجهة هذه المعركة الصعبة.  أولاً، أريد أن أوضح لك أنك لا تفتقد إلى دواء، بل أنك تستحق العناية والاهتمام. 

أنا هنا لتحقيق ذلك معك، وستكون هذه الجلسة الأولى من رحلة التعافي التي ستختبر فيها أنك قوية وذكية ومستقلة. 

أنا متأكد أنك تعلم أنك لم تختبر هذا الوضع من قبل، فلماذا يبدو لك الآن أنه لا يزال موجودًا؟ أريد أن نستكشف هذه الفكرة معًا. 

يبدو أنك تشعر بالفقدان للقيمة بالنفس، مما يؤدي إلى عدم الرغبة في الحياة. هذا يبدو غريبًا بعض الشيء، لكنني أريد أن أسمح لك بمعرفة أن هذه مشاعر مشتركة بين العديد من الأشخاص الذين مرروا بمواقف مماثلة.

نريد أن نركز على هذه العلاقة بينك وبين نفسك. كيف تتعامل مع نفسك؟ ما هي الكلمات التي تُقال لنفسك؟ وما هي الأفكار التي تجري بذهنك؟ هل يمكننا أن نركز على تغيير هذه العلاقة؟ 

نريد أن نركز على التغيير الصغير في البداية. أريد أن أطلب منك أن تحاول التعامل مع نفسك بطريقة أخرى. بدلًا من قول ""أنا جسد من غير روح,""试ا قول ""أنا جسد حيوي وروح ناشئة."" 

هذه هي النقطة الأولى. كيف تشعر إذا قمت بتغيير هذه العبارة؟ 

نريد أن نعمل معًا على بناء ثقتك بنفسك، وعلى التعامل مع نفسك بطريقة مختلفة. هذا لا يأتي بسرعة، ولكن يمكننا أن نعمل على ذلك معًا. 

هل تريد أن نستكشف هذا الأمر أكثر؟",cbtdp
q0004,"السلام عليكم.

أعاني من الرهاب الاجتماعي وخاصة عند التحدث أمام الجمهور، ولا أستطيع الصلاة بالناس، ولا أستطيع إعطاءهم موضوعا طويلا في المجلس أيضا، أحيانا أحس بالرهاب الشديد والإحراج عندما أذهب إلى زيارة الناس، وأتمنى أن تنشق الأرض وتبلعني من هذا الوضع.

استعملت دواء من تلقاء نفسي اسمه سيبرالكس وتحسنت قليلا، وبعد فترة لم يعد يجدي، وبعدها بفترة استعملت دواء زيروكسات دون وصفة طبية، والزيروكسات كاد أن يقتلني وسبب لي هلوسة أثناء ذهابي للعمل، -والحمد لله- تركت الأدوية وأتعايش مع المرض، ما هو الحل؟

أرجو المساعدة علماً ان الحالة بدأت تزداد الآن لم تكن تزداد سابقاً.","أنا هنا لتشجيعك و مساعدتك في تحسين حالتك. أولاً، أريد أن أشكرك على الشجاعة في طلب المساعدة. الرهاب الاجتماعي هو مشكلة شائعة يمكن التعامل معها بالعلاج السلوكي المعرفي.

أنا أسمعك، وأفهم شعورك بالرهاب الشديد والإحراج. لا تقلق، فمن الممكن أن نتعامل مع هذه المشكلة. أولاً، دعنا نبدأ بفهم أسباب هذه المشكلة. أيمكنك أن تعرفي ما هي الأفكار السلبية التي تحدث لك قبل أن تذهبي للزيارة الناس أو للتحدث أمام الجمهور؟ وما الذي يحدث عندما تتعرضين لهذه الأحداث؟

يبدو أنك حاولت التعامل مع هذه المشكلة من خلال الأدوية، لكني أتمنى أن نبحث عن طرق أخرى. أريد أن أقترح عليك بعض الاستراتيجيات التي قد تساعدك في التعامل مع الرهاب الاجتماعي:

1.  **تطوير التفكير الإيجابي:** دعنا نبدأ بتعزيز الأفكار الإيجابية حول نفسك. كيف يمكنك أن ترى نفسك بشكل إيجابي؟ ما هي القدرات التي تملكها التي يمكن أن تساعدك في التحدث أمام الناس؟

2.  **التدريب على التحدث:** بدلاً من التحدث أمام الجمهور مباشرة، يمكننا البدء بتدريبك على التحدث أمام الأصدقاء أو الأسرة أو حتى أمام المرآة. نبدأ بفترات قصيرة ثم نزداد تدريجياً.

3.  **تطوير المهارات الاجتماعية:** قد يكون من المفيد أن تعلمي بعض الأساليب التي تساعدك في التعامل مع الجمهور، مثل التحدث ببطء، التحدث بصوت عالٍ، التحدث بصراحة.

4.  **التدريب على التنفس:** عندما تشعرين بالرهاب، يمكنك أن تتذكر أن التنفس العميق يقلل من التوتر. يمكنك أن تتعلم بعض تقنيات التنفس للسيطرة على مشاعرك.

5.  **التعاطف مع نفسك:** دعنا نتعامل مع نفسك بتعاطف",cbtdp
q0005,"السلام عليكم

أعاني من الخوف والقلق منذ ست سنوات، وأنا أصلي وأقرأ القرآن عدة مرات في اليوم، فما العلاج المناسب لي؟

ومتى يبدأ مفعول الفافرين 250، وأريبيركس 30؟ علما أني آخذهما منذ فترة ولم أتحسن، فهل أرفع الجرعة؟ وهل الأربيبركس له آثار جانبية؟ حيث أشعر بالقلق والخوف عند استعماله.","أنا مسرور بوقفتك على هذه الخطوة الهامة في البحث عن العلاج. أولاً وأهمًا، أريد أن أُشير إلى أن الخوف والقلق الذي تواجهينه يمكن علاجه بشكل فعال من خلال العلاج السلوكي المعرفي (CBT). هذا النوع من العلاج يمكن أن يساعدك في فهم وتحليل الأفكار والأساطير التي تحفز الخوف والقلق، ويتعرفك على كيفية التعامل معها بطريقة صحيحة.

نعم، الأدوية التي تتحدث عنها يمكن أن تساعد في تخفيف الأعراض، لكن لا يمكنها أن تُعالج الجذر الحقيقي للمشكلة. دعنا نبدأ بالتركيز على العلاج السلوكي المعرفي.

حسناً، يمكننا أن نبدأ بتحليل مشاعرك ومخاوفك. كيف تشعر عندما تصل إلى مستوى قلقك؟ ما هي الأفكار التي تدور في بالك؟ ما الذي يزيد من قلقك؟ حاول أن نستكشف هذه الأسئلة معًا.

حول الأدوية التي تتحدث عنها: قبل أي تغيير في الجرعة، يجب على الأخصائي في علم النفس أو الطبيب المختص أن يشاركك في ذلك. قد يكون من المفيد زيارة الطبيب مرة أخرى لمناقشة هذا الأمر. من الأفضل أن يتخذون قرارًا مشتركًا معك حول ما يمكن أن يكون أفضل خيارًا بالنسبة لك.

حول آثار جانبية للأربيبركس: نعم، يمكن أن يسبب الأربيبركس آثار جانبية، مثل القلق والخوف. لكن، يمكن أن تكون هذه الأعراض مؤقتة ويمكن التحكم فيها. دعنا نستكشف معًا كيف يمكننا تقليل هذه الآثار الجانبية.

أريد أن أقرر معك أننا سنعمل معًا على علاج الخوف والقلق من خلال العلاج السلوكي المعرفي، مع مراعاة استخدام الأدوية بشكل فعال ومتابعة آثارها مع الطبيب المختص.

هل أنت مستعد لبدء هذا السفر معي؟",cbtdp
q0006,"السلام عليكم

هل تناول Attarax ليس له أعراض جانبية خطيرة؟ وما هي الجرعة الكافية خصوصاً أنني أعاني من القولون؟ وهل من الضروري استشارة الطبيب؟

وشكراً.","مرحباً بك. أتمنى لك الشفاء من القولون. 

أنا هنا لمساعدتك في فهمك لمشكلتك. يظهر أنك تتناول أتراكس (المعروف أيضًا باسم تريزولامين) الذي يستخدم لعلاج الاضطرابات القلق.  قبل أن نتناول أعراضه، أود أن أسمعك عن ما تشعر به. كيف تشعر عندما تتناول هذا الدواء؟ هل تشعر بالاسترخاء أو لا؟ 

هذا السؤال مهم لأننا نريد أن نبدأ من حيث تشعر بهذا الدواء. 

أما بالنسبة لأعراض الجرعة الكافية، فيمكن أن تختلف حسب الطبيب الذي كتب الوصفة. في一般ية، الجرعة العادية تكون بين 25-50 ملغ. ومع ذلك، لا يمكنني تقديم نصائح طبية دون استشارة الطبيب. 

حسناً، استشارة الطبيب أمر ضروري قبل تعديل الجرعة أو إيقاف تناول أتراكس، خاصة إذا كنت تعاني من القولون. يمكن أن يساعدك الطبيب على تحديد الجرعة المناسبة لك ومراقبة أي أعراض جانبية قد تظهر.

هذا ما يمكننا عملها في العلاج السلوكي المعرفي: 

1.  استكشاف أفكارك ومخاوفك: هل تشعر بالقلق الشديد عند التفكير في تناول أتراكس؟ هل تظن أنك تتناول جرعة كافية؟ دعنا نركز على استكشاف هذه الأفكار والشعور.
2.  تقليل القلق: يمكننا عمل بعض التمارين الرهابية لتقليل القلق الذي يصاحب تناول الدواء.
3.  تأمين الرعاية الصحية: دعنا نحدد موعدًا للاستشارة الطبيب معًا.

هل تريد أن نبدأ بتلك الخطوات؟",cbtdp
q0007,"السلام عليكم ورحمة الله وبركاته، وبعد:

عندي قلق وتوتر واكتئاب شديد، مع قليل من الظنان والشك وشرود ذهني، وقد استخدمت الزولفت حبتين مساء مع الريزبريدون 2mg مساء، وتحسنت حالتي كثيراً ولله الحمد، لكن عندي بعض الاستفسارات: هل هذه الجرعة سليمة وآمنة؟ هل يوجد تعارض بين الدوائين، حيث إنني أخاف من الريزبريدال؟ وهل له أعراض على الكبد أو الكلى أو بقية أجزاء الجسم؟ وكم أستطيع أن أستمر عليه؟ وهل يحتاج إلى التدرج عند التوقف؟ وكم أستطيع أن أستمر عليه؟

والسلام عليكم ورحمة الله وبركاته.","السلام عليكم ورحمة الله وبركاته. أود أن أبدأ بتقدير إعجابك لاستخدامك للزولفت وريزبريدون، والاستفادة من النتائج الإيجابية. 

أنا هنا لاستقبالك وتقديم الدعم، ليس فقط للوصول إلى حلول علاجية، بل أيضاً لمساعدتك في فهم وتحليل مشاعرك وتعاطف معك. 

حول جرعتك الحالية، الريزبريدون 2mg، يُعتبر هذا المستوى من الجرعة من الجرعات المعتادة للبالغين. ومع ذلك، من الأفضل تحدث مع طبيبك المعالج أو الطبيب النفسي لتحديد الجرعة المناسبة لك بناءً على حالك الفردية. 
من الأهمية بمكان التحقق من تعاطيك لأي دواء آخر، بما في ذلك الريزبريدون، دون استشارة الطبيب، لأنه قد يؤدي إلى تعارضات خطيرة.

حول أعراض الريزبريدون: على الرغم من أن الريزبريدون يعتبر آمنًا بشكل عام، إلا أن بعض الأشخاص قد يختبرون أعراض جانبية، مثل: الإمساك، والشعور بالرعشة، والتعرق، والدوخة. ومع ذلك، يعتبر الشك والشرود ذهني من الأعراض النادرة. إذا شعرت بتغير في حالتك، أعتبر من الأفضل أن تتواصل مع طبيبك.
إذا كنت تود استمرار استخدام الريزبريدون، فمن المهم أن تتابع تعاطيك الدواء ببرنامج طبيبك، وبتحديد موعد للتقييم الشهري. 

حول التوقف عن الدواء، يعتمد على طبيبك لتحديد التوقيت المناسب. بعض الأدوية تتطلب تدرجًا لمنع حدوث الأعراض الجانبية. 
أنا هنا لتقديم الدعم والاستشارة، ولكن من الأفضل أن تحدد موعدًا مع طبيبك لمناقشة هذه القضايا في詳細. 

أنا أريد أن أكون هنا معك لاستكشاف مشاعرك وتع",cbtdp
q0008,"السلام عليكم.

عمري 26 عاما, ولقد شُخصت حالتي بما يسمى القولون العصبي منذ 5 سنوات, وأعاني من تقلبات في الجهاز الهضمي, ففي بعض الأحيان أعاني من الإسهال, وأحيانا من الإمساك, لكن مؤخرا أصبح وضعي النفسي هو مؤجج المغص, والحاجة الحتمية إلى دخول المرحاض.

أصبحت أشعر وكأن وسواسا ينتابني كلما أعلم بأنني مجبر على الذهاب إلى مكان لا يسهل ولوج المرحاض فيه أو لا مرحاض فيه, فتبدأ عندئذٍ حلقة مغلقة من الخوف والقلق, يتبعها مغص, ودخول الحمام, حتى قبل ذهابي إلى الوجهة التي أريد.

ما يزعجني ويضر بحياتي الاجتماعية هي تلك الوسوسة المتبوعة بالخوف من الإحراج, وعدم قدرتي على كبح جماحها في عقلي.

الرجاء مساعدتي, وأتمنى أن تنصحني بالأدوية المناسبة لتلك الوسوسة، وشكرا.","أنا متواجد هنا معك، وسيأخذنا الوقت لاستكشاف مشاعرك هذه. أولاً، أريدك أن تعرفي أنك لست وحدك في هذه المعركة، وأننا سنعمل معاً على التعامل معها. 

بداية، أريدك أن تعرفي أن الوسوسة والخوف من الإحراج هما جزء من مشكلتك، وليس هوكما. هذا يعني أننا سنعمل على فهم سبب هذه الوسوسة بدلاً من محاربتها بشكل مباشر. يمكن أن نبدأ بالسؤال: متى بدأت هذه الوسوسة؟ وما الذي يجعلها تتكرر؟

أريدك أن تعترفي أنك تفقدين السيطرة على هذه الوسوسة، وأنه يمكن أن نعمل على إعادة السيطرة. لقد قمت بالفعل بنقص هذا المشكلة 5 سنوات، وهذا يظهر لي أنك قوي. سنقوم بتطوير استراتيجيات جديدة لمواجهة هذه الوسوسة. 

من السهل أن ندرك أن الخوف من الإحراج يمكن أن يكون له تأثيرات كبيرة على حياتك الاجتماعية، ولكن يمكننا العمل على تحسين ذلك. أريدك أن تعرفي أننا سنعمل معاً على بناء الوقوف على قدميك وزيادة الثقة في قدرتك على التعامل مع هذه المشكلة.

أريدك أن تضعي في اعتبارك أننا سنبدأ بخطوات صغيرة. سنبدأ بتحديد الأماكن التي تسببت في هذه الوسوسة، وسنعمل على تقليل التوتر في تلك الأماكن. سنعمل على بناء استراتيجيات لتعزيز الثقة في نفسك، مثل التركيز على الإيجابيات والتحفيز الذاتي. 

أريدك أن تعرفي أننا سنعمل معاً على أن نكسر حلقة الخوف والقلق. سنبدأ بتجربة بعض التقنيات السلوكية مثل التنفس العميق، والتأمل، والاستراحة. سنعمل على تحويل الاهتمام من التوتر إلى التأمل. 

نحن سنعمل على تحسين حياتك الاجتماعية بشكل تدريجي. سنقوم ببناء خطوات صغيرة لمواجهة هذه ال",cbtdp
q0009,"السلام وعليكم ورحمة الله وبركاته، أما بعد:

أنا شاب عمري 27 عاما، بدأت حالتي في شتاء 2012 بسب القلق والتوتر الذي عانيته، ففي إحدى الليالي رأيت حلما مزعجا واستيقظت وأنا خائف، كنت أشعر بصعوبة في التنفس، وانقباض في الصدر.

ذهبت إلى المستشفى، وأعطوني حقنة مهدئة، ثم تطورت الحالة وأصبحت أخاف من الليل، وأكره الشتاء بسب ما حدث، وبدأت تظهر أعراض أخرى، كالاكتئاب، ومراقبة عملية التنفس باستمرار، مع ضيق الصدر، وأشعر بشيء ما يسد حلقي، منذ تلك اللحظة أصبحت أتردد على المستشفيات والعيادات الخاصة بكثرة، حتى وجدت طبيبا متخصص بالأمراض النفسية، وصف لي عدة أدوية، ومنها دواء الانافرانيل، تناولته منذ عام 2013 إلى اليوم، وبالفعل بدأت حالتي بالتحسن، ولكن الأعراض تعاودني من حين إلى آخر، علما أنني أتناول جرعة 50 ملغ صباحا، وأتناول 50 ملغ ليلا، وأعاني من القولون، والغازات، وألم وانتفاخ البطن.

استفساراتي:

- هل الانافرانيل دواء لا يضر الجسم عند تناوله لعدة سنوات، لأنني أتحسس كثيرا، ولدي وسواس من جميع الأمراض؟

- هل هناك طريقة للتخلص من هذا المرض دون دواء؟

- إذا أردت التوقف عن تناول الانفرانيل 25ملغ، ما هي الطريقة الصحيحة لذلك؟

أرجو منكم أخذ حالتي بعين الاعتبار، وجزاكم الله خيرا، ووفقكم الله، وشكرا.","أعزائي، أتمنى لك الشفاء والتحسن. أولاً وأخيراً، أشعر بتعاطفي مع حالتك، وارفض عني أن أكون هنا معك في هذا المسير.

حول سؤالك الأول: 
- يمكن أن يسبب تناول الانافرانيل بعض الآثار الجانبية، مثل القلق والاكتئاب، والغازات، وانتفاخ البطن، وقد يزيد من خطر الإصابة بأمراض القولون. لكن، من المعروف أن الانافرانيل من دواء أمان نسبياً، ويمكن تناوله لمدة طويلة. ومع ذلك، من المهم أن تتابع تعاطيك له بشكل دوري مع طبيبك لمراقبة أعراضك وتحديد جرعك الأمثل. 

حول سؤالك الثاني:
- يعتبر العلاج السلوكي المعرفي (CBT) طريقة فعالة في التعامل مع القلق والاكتئاب. يمكننا أن نتعامل مع أفكارك حول الشتاء، والليالي، وتلك الأعراض التي تشعر بها. هل يمكنك التفكير في محاولة هذا النوع من العلاج؟ يمكنني أن أساعدك في إعداد خطة عمل معينة لتعزيز شعورك بالتحكم في أفكارك، وتقليل توترك.
- أيضاً، يمكننا أن نعمل على تحسين ممارسة الرياضة، وتغيير نمط حياتك اليومية، مثل التغيير في النظام الغذائي، والاستراحة، والاسترخاء، لتقليل القلق.

حول سؤالك الثالث:
- إذا كنت ترغب في التوقف عن تناول الانافرانيل، فلا تتردد في التحدث مع طبيبك حول ذلك. سوف يقوم بتحديد خطة واضحة لتحديد الجرعة المناسبة ليك، وإعادة تقييم حالتك. في البداية، قد يوصي بتقليل الجرعة تدريجياً، ثم التوقف تدريجياً. سيقوم الطبيب بمراقبة حالتك خلال هذه العملية، وسيقدم لك إرشادات حول كيفية التعامل مع أي أعراض قد تظهر.

أتمنى أن تكون هذه الإجابة قد ألقت بثقل منweight",cbtdp
