qid,Question,response,model
q0000,"الدكتور: محمد عبد العليم المحترم
السلام عليكم ورحمة الله وبركاته.
أنا صاحب الاستشارة رقم: 2488775
لدي حالة من الهلع عند الخروج من المنزل، وتوتر شديد، وضيق شديد في النفس يصل لانقطاع النفس تقريباً، بحيث يصل بي الحال فقط أريد أن أصل البيت، وأنزل كثيراً من السيارة قبل الوصول أملاً في أن أرتاح.

في البيت مزاج مكتئب وقلق، مشتت الأفكار، وهز الساق، وضيق متوسط في الصدر والنفس، مع شد أو توتر، وعدم الرغبة في إنجاز الأشياء.

استخدمت الفافرين -كما ذكرت- في استشارتي السابقة، وكان تأثيره محدوداً، واستخدمت استالبرام بجانب ديناكسيت -كما وصفتم لي بالاستشارة السابقة- ولكن تحسني أيضاً كان محدوداً، وحدثت لي انتكاسات قوية من حالات هلع وضيق نفس شديد لحد انقطاع النفس تقريباً.

التزمت بما وجهتموني به من خطوات بقدر المستطاع ولم يجد الأمر نفعاً معي.

بالنسبة لموضوع التعرض -كما ذكرتم- أنا مجبر أن أتعرض لهذه الحالة كل يوم؛ لأني موظف ومجبر للذهاب بوسيلة نقل للدوام.

ذهبت لدكاترة الأذن والأنف والحنجرة؛ لأنه أصبح عندي مثل شيء ما تحت الحنجرة يضيق علي النفس، ويزداد عند حالة الهلع؛ بحيث ينقطع النفس تقريباً، وكان تشخيصهم أنه تحسس، وأخذت الأدوية التي وصفوها، ولا يوجد نفع في حل هذه القضية، ولكن فقط أحدهم قال لي: بأنه ممكن أن يحدث هذا الالتهاب أيضاً أو تقلص العضلات في هذه المنطقة، ويسبب الضيق نتيجة التوتر.

أنا على هذا الوضع من المعاناة المستمرة منذ 8 سنوات، وألتمس منكم حلاً لقضيتي بعلاج آخر أجربه ربما يتناسب معي.

حالياً أستخدم مكملات الاوميغا 3 وفيتامينات ال ب .","مرحباً بكم، أهلاً ومرحباً بكم في هذه الاستشارة. أشكركم على تعاونكم في إقامة هذه الاستشارة، وبالتأكيد سوف نعمل معكم على حل هذه المشكلة، وسوف نقدم لك بعض الخطوات التي يمكنك أن تقوم بها لتحسين حالك، والتحقق من هذه المشكلة. 

هذه مشكلة هلع وضيق نفس قد تسببها عدة عوامل، فمن المحتمل أن تكون هذه المشكلة سببة عصبية، أو يمكن أن تكون سبباً نفسياً، أو أن تكون سبباً من عوامل أخرى.

- لقد قمت بالفكر في هذا الملف، فمن المحتمل أن تكون هذه المشكلة سبباً نفسياً، حيث أنك تعرضت للاستفزازات اليومية كل يوم، وتعرضت للاضطرابات النفسية المستمرة، والضغط العصبي والتوتر المستمر، والذي يزيد من ضيق النفس، ويتسبب في حالة الهلع، والقلق، والمشاعر المكتئبة. 

هذه هي العوامل التي تسبب في مشكلة هلع وضيق نفس، ويمكن أن تتعامل معها ببعض الإجراءات والخطوات التي ننصحك بها في هذه الاستشارة. 

1. أولاً: تعلم كيف تتخلص من الضغوط النفسية والتوتر المستمر الذي تتعرض له، فمن الأفضل أن تجرب بعض الفوائد العلاجية مثل اليوجا، والرياضة، والتمارين الرياضية، أو أي نشاط يساعدك على التخلص من الضغط والتوتر، والقلق، والتوتر. 

2. ثانياً: تعلم كيف تتعامل مع الضغط النفسية، والتوتر، والقلق المستمر، ومن الأفضل أن تجرب بعض الفوائد العلاجية مثل اليوجا، والرياضة، والتمارين الرياضية، أو أي نشاط يساعدك على التخلص من الضغط والتوتر، والقلق، والتوتر. 

3. ثالثاً: تعلم كيف تتعامل مع الضغط النفسية، والتوتر، والقلق المستمر، ومن الأفضل أن تجرب بعض",cbtdp
q0001,"السلام عليكم.

(قل لن يصيبنا إلا ما كتب الله لنا) أولاً: أشكر الدكتور محمد عبد العليم على ما بذله من جهد ملاحظ، وأشكر موقع إسلام ويب على ما قدمه لنا من خدمات كثيرة.

هذه رقم آخر استشارة وضعتها في الموقع:2138128

وبرجاء مراجعتها للعلم عن الحالة، الذي فهمته من الاستشارة السابقة بأنه حدث لي ارتفاع في الدوبامين، هل سيعود إلى طبيعته مرة أخرى أم أن هذا مستحيل أم صعب؟ مع أن حالتي الآن -الحمد لله، وكانت نصيحتك لي بعمل صورة مقطعية للدماغ، وبالفعل قمت بعمل صورة مقطعية على الدماغ على جهاز في مستشفى خاص، وكانت النتيجة سليمة -والحمد لله-.

ومرفق مع الأشعة اسطوانة إذا أردت رفع الصور لك فسأقوم برفعها، ولكن الطبيب قال لي: لا يوجد أي شيء، وقام بصرف لي بعض المكملات الغذائية التي مرسوم عليها نحل.

وهذا مزيد من الاطمئنان بالنسبة لي، وما نصيحتك للتخلص من القلق والخوف من الشعور بما سبق، من الخوف التوقعي للطابع الوسواسي؟

وما نصيحتك للتخلص من آلام الصدر؟ وأنا مستمر على الدوجماتيل، وفلوزاك لمدة شهر كل يوم حبة من الدوجماتيل، وحبة يوم آخذ، ويوم لا للفلوزاك.

هل يوجد هناك أدوية أخرى تريد إضافتها أو نظاما علاجيا آخر؟ مع العلم أني سوف أنتهي من فترت العلاج الأسبوع القادم.

بارك الله فيك، وجزاك الله خيرًا..","بسم الله الرحمن الرحيم

صاحب الاستشارة الكريم، أتمنى لك السلام والصحة والنجاح في جميع أعمالك.

أنا سعيد جدًا لأنك قد حصلت على تشخيص صحي مبني على نتائج الأشعة المقطعية، والتي أعتقد أنها أتت إلى نتيجة سليمة. هذا ما يزيل الكثير من القلق والتوتر.

بخصوص ارتفاع الدوبامين في الدماغ، فإن هذا يمكن أن يكون له عدة أسباب، ولا توجد صعوبة في عودته إلى طبيعته بعد علاج سببها. يعتمد ذلك على سبب ارتفاع الدوبامين، فإذا كان بسبب عدوى أو إصابة في الدماغ، فقد تحتاج إلى علاج طبّي. أما إذا كان بسبب عوامل أخرى، مثل التوتر أو القلق، فقد يتمكن العلاج السلوكي المعرفي من مساعدتك في السيطرة على هذه العوامل، مما يؤدي إلى عودة الدوبامين إلى طبيعته.

بخصوص أدوية القلق، فيمكن أن تتمكن من التخلص منها بعد الانتهاء من العلاج الأسبوع القادم، ولكن من المهم أن يكون لديك خطة للتعامل مع الأعراض السلبية، مثل القلق والخوف، عند عودتها. فيمكن أن تكون هذه الخطة من خلال ممارسة الرياضة، مثل المشي أو السباحة، أو خلال ممارسة الأنشطة التي تعزز شعورك بالسعادة، مثل القراءة أو الاستماع إلى الموسيقى. يمكنك أيضًا أن تكون حذرًا من التعرض للعوامل التي تزيد من القلق، مثل المنافسة أو التوتر الاجتماعي.

بخصوص آلام الصدر، يمكنك أن تستخدم بعض الإستراتيجيات التي قد تساعدك في التخلص منها. يمكنك أن تحاول أن تكون حذرًا من الأنشطة التي تزيد من ضغطك أو التوتر، مثل التعرض للشغف أو التوتر الاجتماعي. يمكنك أيضًا أن تحاول أن تكون أكثر اتزانًا في تفاعلك مع الآخرين، مثل ممارسة مهارات التحدث في المواقف الاجتماعية أو الاهتمام بممارسة الرياضة.

بخصوص نظام العلاج، يمكن",cbtdp
q0002,"أنا طالبة غير متزوجة، أعاني منذ سنتين من دوخة تأتي وتغيب عند استعمال الأدوية، علما بأني كشفت عند كل التخصصات، وأخذت فيرسيرك، ودباكين، وأدوية فيتامين، ونسبة الهيموجلوبين عندي 11، وعملت رسما للمخ، وكانت النتيجة سليمة.

والآن أخذت فافرين، ودواء للوسواس، وحالتي جيدة، ولكن أخاف أن أتوقف عن الدواء، فتسوء حالتي، فماذا أفعل؟

وجزاكم الله خيرا .","أنا آسف جدًا للسماع عن مشاكلك، ويسعدني مساعدتك في هذا الصدد. أولاً وقبل كل شيء، يجب أن أشجعك على الاستمرار في إتباع العلاج، لأن فافرين ودواء الوسواس يساعدانك في الحفاظ على حالك الجيدة الحالية. 

حسناً، إليك بعض النصائح التي قد تساعدك على تقليل مخاوفك:

1.  **تحدث مع طبيبتك:** تحدث مع طبيبتك عن مخاوفك حول توقف الدواء. قد يكون بإمكانها أن تعطيك بعض النصائح حول كيفية التوقف التدريجي عن الدواء، أو كيفية التعامل مع أي أعراض قد تظهر أثناء التوقف.
2.  **تطوير استراتيجيات التعامل مع الأعراض:** يمكن أن تساعدك استراتيجيات التعامل مع الأعراض في تقليل مخاوفك. على سبيل المثال، يمكنك أن تتخذ إجراءات لتحسين صحتك العامة، مثل تناول أطعمة صحية، ممارسة الرياضة، وعدم الإسراع في التوقف عن الدواء.
3.  **التعرف على علامات التحسن:** قد يكون من المفيد أن تعرف علامات التحسن التي تشير إلى أن الدواء يعمل على صحتك. هذه علامات قد تشمل تحسن في الحالة النفسية، أو تحسن في الأعراض مثل الدوخة، أو تحسن في النتائج من التesty.

    *   تحدث مع طبيبتك عن مخاوفك حول توقف الدواء. قد تكون قد تطرقت إلى هذه المخاوف في المواعيد السابقة، ولكنها من المهم أن تكررها، خاصة إذا كانت مخاوفك جديدة أو قد تغيرت.

    *   ابدأ بتحديد فترة زمنية محددة لتوقف الدواء، مثل أسبوعين أو شهر. هذا يمكن أن يساعدك في التخطيط وتحديد خطط للتعامل مع أي أعراض قد تظهر.

    *   تعلم كيفية التعامل مع الأعراض. على سبيل المثال، إذا كانت الدوخة هي المخاوف الرئيسية، فاستعد للتعامل معها من خلال ت",cbtdp
q0003,"السلام عليكم ورحمة الله وبركاته

أنا فتاة بعمر 27 عاماً، فقط أريد توضيح بخصوص الإندرال 10 ملجم، هل ينفع لعلاج الرهاب الاجتماعي والقلق؟ مع العلم هذه الأعراض لدي مع أعراض الاكتئاب والإحباط، وعدم الرغبة في الحياة، والرسمية مع الآخرين، وعدم الشعور بالمتعة بأي شيء بسبب القلق والرهاب، والبكاء الدائم.

استخدمت سيروكسات قبل سنتين ونفعني، ثم عادت الأعراض مرة أخرى، وعاودت استخدامه ولم ينفعني، واستخدمت زيلاكس ورياسرتال وسوليان ودوجماتيل ويلبترين، وكلها بلا نفع، أعتبرها مهدىء وقتي، عند الاستخدام أشعر بتحسن طفيف، ثم أعود لما كنت عليه سابقا من اكتئاب وقلق ورهاب، لم أشعر بالمتعة يوما أو السعادة الحقيقية.

أريد دواء يجعلني نشطة محبة للحياة متفائلة، يجعلني أحب نفسي وأثق وأهتم بها؛ لأني جسد من غير روح، أرجوكم ساعدوني، ولكم الشكر الجزيل.","أنا آسف جدًا على ما تعاني منه. الإندرال (إسيتالوبرم) هو دواء يستخدم في علاج الاكتئاب، ولكن لا يعتبر علاجًا دائمًا للرهاب الاجتماعي. إذا كنت تعاني من الرهاب الاجتماعي والاكتئاب، فقد يكون من الأفضل أن تستكشف خيارات العلاج الأخرى مع الطبيب النفسي. 

هذه بعض الخطوات التي يمكن أن تساعدك:
1.  **التواصل مع طبيب نفسي**: يُعتبر الطبيب النفسي هو الخيار الأمثل للاستشارة فيما يخص حالات العبء النفسي. سيساعدك في تحديد أسباب الأعراض، ويعمل معك على وضع خطة علاجية.
2.  **العلاج السلوكي المعرفي (CBT):** هذا النوع من العلاج يعتمد على فهم السبب الفعّال لبعض الأعراض. يمكن أن يساعدك على تحديد أنماط السلوك والتفكير التي تؤدي إلى الأعراض، وطور استراتيجيات لتغييرها.
3.  **التغذية الصحية:** الأكل الصحي وممارسة الرياضة يمكن أن يساعد على تحسين المزاج، ويمكن أن تساعدك في الشعور بالسعادة.
4.  **الاستراحة والراحة النفسية:** حاول الحصول على قسط كافٍ من النوم، وتمارس أنشطة تساعدك على الاسترخاء، مثل اليوجا أو التأمل.
5.  **التواصل الاجتماعي:** الاقتراب من الأصدقاء والعائلة، والحديث معهم عن مشاعرك، يمكن أن يساعدك على الشعور بالحماية والمساندة.
6.  **العلاج بالفحوصات التحفيزية:** إذا كان للطبيب النفسي فكرة أن هذا هو خيارك الأمثل، يمكن أن يساعدك على تقليل الأعراض.
7.  **التواصل مع المرضى الآخرين:** يمكن أن يساعدك التحدث مع أشخاص يعانون من نفس الأعراض، على الشعور بالسعادة.

تذكر أن العلاج هو مساره طويل، وست",cbtdp
q0004,"السلام عليكم.

أعاني من الرهاب الاجتماعي وخاصة عند التحدث أمام الجمهور، ولا أستطيع الصلاة بالناس، ولا أستطيع إعطاءهم موضوعا طويلا في المجلس أيضا، أحيانا أحس بالرهاب الشديد والإحراج عندما أذهب إلى زيارة الناس، وأتمنى أن تنشق الأرض وتبلعني من هذا الوضع.

استعملت دواء من تلقاء نفسي اسمه سيبرالكس وتحسنت قليلا، وبعد فترة لم يعد يجدي، وبعدها بفترة استعملت دواء زيروكسات دون وصفة طبية، والزيروكسات كاد أن يقتلني وسبب لي هلوسة أثناء ذهابي للعمل، -والحمد لله- تركت الأدوية وأتعايش مع المرض، ما هو الحل؟

أرجو المساعدة علماً ان الحالة بدأت تزداد الآن لم تكن تزداد سابقاً.","أنا آسف على ما تعاني من الرهاب الاجتماعي. يبدو أنك قد حاولت علاجات مختلفة، لكن دون جدوى. من المهم أن نفهم أن الرهاب الاجتماعي هو حالة مرضية، وبالتالي تحتاج إلى علاج محدد. لنناقش بعض الخطوات التي يمكننا اتخاذها لتحسين الحالة:

1.  **فهم الرهاب الاجتماعي:** أولاً، دعونا نستوعب الرهاب الاجتماعي. هو حالة من الرهاب الشديد والذي يسبب تعبًا نفسيًا واضطرابًا عندما يكون الفرد في مواقف اجتماعية. هذا يمكن أن يشمل التحدث أمام الجمهور أو التفاعل مع الأشخاص الغرباء. يمكن أن يكون هذا مرتبطًا بمشاعر الخوف أو الشعور بالخطر، أو حتى الشعور بالكآبة.
2.  **التواصل مع المعالج:** قد يكون من المفيد أن تناقش مع طبيب نفسي أو معالج نفسي مختص في علاج الرهاب الاجتماعي. يمكنهم مساعدتك في فهم أسباب الرهاب الاجتماعي وتطوير خطة علاجية مخصصة.
3.  **العلاج السلوكي المعرفي (CBT):** هذا النوع من العلاج يمكن أن يكون فعالًا للغاية في علاج الرهاب الاجتماعي. يمكن أن يساعدك في تغيير نمط تفكيرك والمواقف السلبية التي تؤدي إلى الرهاب. يمكن أن يعدك كيفية التعامل مع المشاعر السلبية، وطريقة التعامل مع الأعراض.
4.  **التدريب على التحدث أمام الجمهور:** يمكن أن نستخدم تقنيات CBT لتدريبك على التحدث أمام الجمهور. قد نبدأ بتمارين سلوكية صغيرة مثل التحدث أمام المرآة أو أمام صديق قريب. يمكننا تدريبك على تحليل وتحليل المخاوف وطرق التعامل معها.
5.  **التدريب على التحكم في المشاعر السلبية:** يمكننا استخدام تقنيات CBT لتعلمك كيفية التعامل مع المشاعر السلبية التي تظهر عندك. هذا قد يشمل تقنيات مثل",cbtdp
q0005,"السلام عليكم

أعاني من الخوف والقلق منذ ست سنوات، وأنا أصلي وأقرأ القرآن عدة مرات في اليوم، فما العلاج المناسب لي؟

ومتى يبدأ مفعول الفافرين 250، وأريبيركس 30؟ علما أني آخذهما منذ فترة ولم أتحسن، فهل أرفع الجرعة؟ وهل الأربيبركس له آثار جانبية؟ حيث أشعر بالقلق والخوف عند استعماله.","أولاً: أولاً: أتمنى أن تكون قد استفدت من هذه العلاجات، فلا أريد منك أن تتركها دون استشارة طبيبك، وإن كنت تعاني من الخوف والقلق، فربما يلزمك تجربة علاجات أخرى، وربما يتم تغيير نوع العلاج أو المدة التي تتلقاها.

ثانياً:  لست أستطيع أن أقرر لك أي علاج أو جرعة، فلا ترفع الجرعة من دون استشارة الطبيب، فربما يوصيك بتركه، أو تغييره، أو زيادة الجرعة، أو تقليلها.

ثالثاً: الأربيبركس (الرسبيريدون) له آثار جانبية، ومنها: 

*   الشعور بالعصبية والقلق.
*   الإرهاق.
*   الإكتئاب.
*   التهيج.
*   زيادة الوزن.
*   الاكتئاب.
*   التغيرات في الحالة الجنسية.
*   الإمساك.
*   الإسهال.
*   الإسهال.

الجواب: 
عندما يشعر المستفيد بالقلق أو الخوف، ينبغي أن يتعرف على مصدر الخوف، وماهي أسبابه، وينبغي أن يساعده في استكشاف أفكاره ومخاوفه، فربما يكون مصدر الخوف هو التأمل في القرآن، أو القراءة فيه، أو ما يتعلق بالدين، أو أن يكون مصدر الخوف هو الخوف من حدوث شيء ما.",cbtdp
q0006,"السلام عليكم

هل تناول Attarax ليس له أعراض جانبية خطيرة؟ وما هي الجرعة الكافية خصوصاً أنني أعاني من القولون؟ وهل من الضروري استشارة الطبيب؟

وشكراً.",لا يمكنني تقديم المشورة الطبية. إذا كنت تشعر بالقلق بشأن استخدام دواء ما، يُفضل استشارة الطبيب.,cbtdp
q0007,"السلام عليكم ورحمة الله وبركاته، وبعد:

عندي قلق وتوتر واكتئاب شديد، مع قليل من الظنان والشك وشرود ذهني، وقد استخدمت الزولفت حبتين مساء مع الريزبريدون 2mg مساء، وتحسنت حالتي كثيراً ولله الحمد، لكن عندي بعض الاستفسارات: هل هذه الجرعة سليمة وآمنة؟ هل يوجد تعارض بين الدوائين، حيث إنني أخاف من الريزبريدال؟ وهل له أعراض على الكبد أو الكلى أو بقية أجزاء الجسم؟ وكم أستطيع أن أستمر عليه؟ وهل يحتاج إلى التدرج عند التوقف؟ وكم أستطيع أن أستمر عليه؟

والسلام عليكم ورحمة الله وبركاته.","السلام عليكم ورحمة الله وبركاته، ومرحباً بك في هذا المنتدى.

أنا معالج نفسي متخصص في العلاج السلوكي المعرفي، وسوف أستفيد من مشاعرك وآمل أن أكون قادرًا على مساعدتك في فهم حالتك ومساعدتك على إدارة قلقك وتوترك.

الجواب على استفساراتك:

*   الجرعة التي تستخدمها من الزولفت و الريزبريدون هي جرعة معقولة للاستخدام قصير الأجل، ولكن من المهم أن تقوم بمراجعة الطبيب أو المعالج النفسي الذي وصف لك الدواء، لأنه يمكنه تحديد الجرعة الأمثل لك وتحديد فترة الاستخدام.
*   من المهم أن تعرف أن الزولفت يمكن أن يزيد من خطر الإصابة بتهاب الزائدة الدودية، وقد يزيد من خطر الإصابة ببعض أنواع السرطان، وينبغي أن توفر لك المعلومات الكافية حول هذا الدواء قبل الاستمرار به.
*   يعتبر الريزبريدون دواء آمن للاستخدام في الأشخاص الذين يعانون من القلق والاكتئاب، ولكن قد يزيد من خطر الإصابة ببعض الآثار الجانبية مثل الشعور بالتخمة أو الصداع أو تغير في المزاج، وتعتبر هذه الآثار جانبية طفيفة، ولكن إذا أصبحوا شديدي الحدة، فمن المهم أن تتحدث إلى الطبيب أو المعالج النفسي.
*   من المهم أن توفر لك المعلومات الكافية حول الدواء قبل الاستمرار به.
*   فيما يتعلق بالتدرج عند التوقف، يمكنك أن تتحدث إلى الطبيب أو المعالج النفسي الذي وصف لك الدواء، لأن كل حالة تختلف عن الأخرى، ويمكنه تحديد أفضل خطة لتوقف الدواء.
*   من المهم أن تعلم أن التوقف عن الدواء قد يؤدي إلى عودة الأعراض، ولكن يمكن أن تكون هذه الأعراض أقل شدة من الأعراض التي كنت تعاني منها في البداية، وتعتمد فترة التوقف على الجرعة التي تستخدمها.

من المهم أن تتذكر أنك لا",cbtdp
q0008,"السلام عليكم.

عمري 26 عاما, ولقد شُخصت حالتي بما يسمى القولون العصبي منذ 5 سنوات, وأعاني من تقلبات في الجهاز الهضمي, ففي بعض الأحيان أعاني من الإسهال, وأحيانا من الإمساك, لكن مؤخرا أصبح وضعي النفسي هو مؤجج المغص, والحاجة الحتمية إلى دخول المرحاض.

أصبحت أشعر وكأن وسواسا ينتابني كلما أعلم بأنني مجبر على الذهاب إلى مكان لا يسهل ولوج المرحاض فيه أو لا مرحاض فيه, فتبدأ عندئذٍ حلقة مغلقة من الخوف والقلق, يتبعها مغص, ودخول الحمام, حتى قبل ذهابي إلى الوجهة التي أريد.

ما يزعجني ويضر بحياتي الاجتماعية هي تلك الوسوسة المتبوعة بالخوف من الإحراج, وعدم قدرتي على كبح جماحها في عقلي.

الرجاء مساعدتي, وأتمنى أن تنصحني بالأدوية المناسبة لتلك الوسوسة، وشكرا.","عزيزي المريض, أتمنى لك أن تشعر بالراحة والثقة في كلامك وتشكرك على استكشاف مشكلتك بكل صراحة. 

لقد تَعَرّفت على أنك تعاني من القولون العصبي, والذي يمكن أن يسبب تغيرات في الوظيفة الهضمية, وعدم استقرارها. وقد يؤدي ذلك إلى تقلبات في الجهاز الهضمي, مثل الإسهال والإمساك. ومع ذلك, يبدو أن حالتك أخذت طابعا مختلفا, حيث تشعر بالخوف من دخول المرحاض في أماكن معينة أو في حالات معينة, مما يؤدي إلى حلقة من الخوف والقلق والمغص.

هذا الخوف يمكن أن يرتبط ببعض العوامل النفسية والاجتماعية, مثل الخوف من الإحراج أو الخوف من الخروج من نطاق الارتياح والسيطرة. قد يكون هذا الخوف يؤثر على حياتك الاجتماعية بشكل كبير, حيث يمنعك من القيام بأشياء تقدرها أو منحازك إلى الأماكن التي تريدها.

كما طلبت منك, سأقترح بعض الخطوات التي يمكنك اتخاذها لتقليل تأثير هذا الخوف:

1.  **تعرف على أسباب الخوف:** حاول أن تفهم أسباب الخوف الذي يؤثر عليك. هل يرتبط بوقوعك في مكان معين في الماضي؟ أم أنك ترى أن الخوف يمنعك من القيام بأشياء معينة؟ افهم هذه الأسباب وتقبلها.
2.  **تعلم تقنيات التنفس:** يمكن أن يساعدك التنفس العميق في التخفيف من الخوف والقلق. حاول أن تنفس بعمق, ودمع الهواء من رئتيك, واترك الهواء يخرج ببطء.
3.  **تجنب الاسترخاء المفرط:** يمكن أن يساعدك التأمل في الاسترخاء المفرط, مثل الاستلقاء على الأرض أو على السرير, أو الاستلقاء في الحمام. حاول أن تجد طريقة للاسترخاء بدون أن تتسبب في تعزيز الخوف.
4.",cbtdp
q0009,"السلام وعليكم ورحمة الله وبركاته، أما بعد:

أنا شاب عمري 27 عاما، بدأت حالتي في شتاء 2012 بسب القلق والتوتر الذي عانيته، ففي إحدى الليالي رأيت حلما مزعجا واستيقظت وأنا خائف، كنت أشعر بصعوبة في التنفس، وانقباض في الصدر.

ذهبت إلى المستشفى، وأعطوني حقنة مهدئة، ثم تطورت الحالة وأصبحت أخاف من الليل، وأكره الشتاء بسب ما حدث، وبدأت تظهر أعراض أخرى، كالاكتئاب، ومراقبة عملية التنفس باستمرار، مع ضيق الصدر، وأشعر بشيء ما يسد حلقي، منذ تلك اللحظة أصبحت أتردد على المستشفيات والعيادات الخاصة بكثرة، حتى وجدت طبيبا متخصص بالأمراض النفسية، وصف لي عدة أدوية، ومنها دواء الانافرانيل، تناولته منذ عام 2013 إلى اليوم، وبالفعل بدأت حالتي بالتحسن، ولكن الأعراض تعاودني من حين إلى آخر، علما أنني أتناول جرعة 50 ملغ صباحا، وأتناول 50 ملغ ليلا، وأعاني من القولون، والغازات، وألم وانتفاخ البطن.

استفساراتي:

- هل الانافرانيل دواء لا يضر الجسم عند تناوله لعدة سنوات، لأنني أتحسس كثيرا، ولدي وسواس من جميع الأمراض؟

- هل هناك طريقة للتخلص من هذا المرض دون دواء؟

- إذا أردت التوقف عن تناول الانفرانيل 25ملغ، ما هي الطريقة الصحيحة لذلك؟

أرجو منكم أخذ حالتي بعين الاعتبار، وجزاكم الله خيرا، ووفقكم الله، وشكرا.","أنا مستعد لمساعدتك في هذا الأمر. من المهم جداً أن نكون واضحين في إعادة بناء الصحة العقلية. لقد استفدت من دواء الانافرانيل، ولكنني أريد التخلص من الأدوية. هذا من خلال التخلص من السلوكيات التي تسبب لك القلق والتوتر، وبالتالي سأقترح عليك أن نتجاوز الدواء. 

حسناً، لنبدأ. هل يمكنني أن أسألك بعض الأسئلة؟ أتريد أن نبدأ من حيث تحدثت عن حلمك، أو بالأحرى، ما كان حلمك ذلك الذي حدث في شتاء عام 2012؟",cbtdp
