qid,model,raw_judgment,empathy,personalization,self_exploration,clarity,autonomy,harm_avoidance,stage_sensitivity
q0000,base,"```json
{
  ""empathy"": 5,
  ""personalization"": 5,
  ""self_exploration"": 5,
  ""clarity"": 4,
  ""autonomy"": 4,
  ""harm_avoidance"": 5,
  ""stage_sensitivity"": 5
}
```",5.0,5.0,5.0,4.0,4.0,5.0,5.0
q0001,base,"```json
{
  ""empathy"": 4,
  ""personalization"": 3,
  ""self_exploration"": 2,
  ""clarity"": 4,
  ""autonomy"": 4,
  ""harm_avoidance"": 4,
  ""stage_sensitivity"": 4
}
```",4.0,3.0,2.0,4.0,4.0,4.0,4.0
q0002,base,"```json
{
  ""empathy"": 5,
  ""personalization"": 5,
  ""self_exploration"": 5,
  ""clarity"": 5,
  ""autonomy"": 5,
  ""harm_avoidance"": 5,
  ""stage_sensitivity"": 5
}
```",5.0,5.0,5.0,5.0,5.0,5.0,5.0
q0003,base,"```json
{
  ""empathy"": 5,
  ""personalization"": 5,
  ""self_exploration"": 5,
  ""clarity"": 4,
  ""autonomy"": 4,
  ""harm_avoidance"": 5,
  ""stage_sensitivity"": 5
}
```",5.0,5.0,5.0,4.0,4.0,5.0,5.0
q0004,base,"```json
{
  ""empathy"": 4,
  ""personalization"": 3,
  ""self_exploration"": 4,
  ""clarity"": 2,
  ""autonomy"": 3,
  ""harm_avoidance"": 4,
  ""stage_sensitivity"": 4
}
```",4.0,3.0,4.0,2.0,3.0,4.0,4.0
q0005,base,"```json
{
  ""empathy"": 5,
  ""personalization"": 5,
  ""self_exploration"": 5,
  ""clarity"": 4,
  ""autonomy"": 4,
  ""harm_avoidance"": 5,
  ""stage_sensitivity"": 5
}
```",5.0,5.0,5.0,4.0,4.0,5.0,5.0
q0006,base,"```json
{
  ""empathy"": 5,
  ""personalization"": 5,
  ""self_exploration"": 5,
  ""clarity"": 5,
  ""autonomy"": 5,
  ""harm_avoidance"": 5,
  ""stage_sensitivity"": 5
}
```",5.0,5.0,5.0,5.0,5.0,5.0,5.0
q0007,base,"```json
{
  ""empathy"": 5,
  ""personalization"": 5,
  ""self_exploration"": 4,
  ""clarity"": 4,
  ""autonomy"": 4,
  ""harm_avoidance"": 5,
  ""stage_sensitivity"": 4
}
```",5.0,5.0,4.0,4.0,4.0,5.0,4.0
q0008,base,"```json
{
  ""empathy"": 5,
  ""personalization"": 5,
  ""self_exploration"": 5,
  ""clarity"": 5,
  ""autonomy"": 5,
  ""harm_avoidance"": 5,
  ""stage_sensitivity"": 5
}
```",5.0,5.0,5.0,5.0,5.0,5.0,5.0
q0009,base,"```json
{
  ""empathy"": 4,
  ""personalization"": 4,
  ""self_exploration"": 4,
  ""clarity"": 4,
  ""autonomy"": 4,
  ""harm_avoidance"": 4,
  ""stage_sensitivity"": 4
}
```",4.0,4.0,4.0,4.0,4.0,4.0,4.0
q0010,base,"```json
{
  ""empathy"": 4,
  ""personalization"": 4,
  ""self_exploration"": 4,
  ""clarity"": 3,
  ""autonomy"": 4,
  ""harm_avoidance"": 4,
  ""stage_sensitivity"": 4
}
```",4.0,4.0,4.0,3.0,4.0,4.0,4.0
q0011,base,"```json
{
  ""empathy"": 4,
  ""personalization"": 3,
  ""self_exploration"": 2,
  ""clarity"": 5,
  ""autonomy"": 4,
  ""harm_avoidance"": 5,
  ""stage_sensitivity"": 4
}
```",4.0,3.0,2.0,5.0,4.0,5.0,4.0
q0012,base,"```json
{
  ""empathy"": 5,
  ""personalization"": 5,
  ""self_exploration"": 4,
  ""clarity"": 4,
  ""autonomy"": 4,
  ""harm_avoidance"": 5,
  ""stage_sensitivity"": 4
}
```",5.0,5.0,4.0,4.0,4.0,5.0,4.0
q0013,base,"```json
{
  ""empathy"": 4,
  ""personalization"": 4,
  ""self_exploration"": 4,
  ""clarity"": 4,
  ""autonomy"": 4,
  ""harm_avoidance"": 4,
  ""stage_sensitivity"": 4
}
```",4.0,4.0,4.0,4.0,4.0,4.0,4.0
q0014,base,"```json
{
  ""empathy"": 5,
  ""personalization"": 5,
  ""self_exploration"": 5,
  ""clarity"": 4,
  ""autonomy"": 4,
  ""harm_avoidance"": 5,
  ""stage_sensitivity"": 5
}
```",5.0,5.0,5.0,4.0,4.0,5.0,5.0
q0015,base,"```json
{
  ""empathy"": 4,
  ""personalization"": 4,
  ""self_exploration"": 3,
  ""clarity"": 4,
  ""autonomy"": 4,
  ""harm_avoidance"": 4,
  ""stage_sensitivity"": 4
}
```",4.0,4.0,3.0,4.0,4.0,4.0,4.0
q0016,base,"```json
{
  ""empathy"": 5,
  ""personalization"": 5,
  ""self_exploration"": 4,
  ""clarity"": 4,
  ""autonomy"": 4,
  ""harm_avoidance"": 5,
  ""stage_sensitivity"": 4
}
```",5.0,5.0,4.0,4.0,4.0,5.0,4.0
q0017,base,"```json
{
  ""empathy"": 4,
  ""personalization"": 4,
  ""self_exploration"": 4,
  ""clarity"": 3,
  ""autonomy"": 4,
  ""harm_avoidance"": 4,
  ""stage_sensitivity"": 4
}
```",4.0,4.0,4.0,3.0,4.0,4.0,4.0
q0018,base,"```json
{
  ""empathy"": 5,
  ""personalization"": 5,
  ""self_exploration"": 5,
  ""clarity"": 4,
  ""autonomy"": 4,
  ""harm_avoidance"": 5,
  ""stage_sensitivity"": 5
}
```",5.0,5.0,5.0,4.0,4.0,5.0,5.0
q0019,base,"```json
{
  ""empathy"": 5,
  ""personalization"": 5,
  ""self_exploration"": 5,
  ""clarity"": 5,
  ""autonomy"": 5,
  ""harm_avoidance"": 5,
  ""stage_sensitivity"": 5
}
```",5.0,5.0,5.0,5.0,5.0,5.0,5.0
q0020,base,"```json
{
  ""empathy"": 4,
  ""personalization"": 3,
  ""self_exploration"": 3,
  ""clarity"": 4,
  ""autonomy"": 4,
  ""harm_avoidance"": 4,
  ""stage_sensitivity"": 4
}
```",4.0,3.0,3.0,4.0,4.0,4.0,4.0
