qid,client_statement,sq_ablation,ev_ablation,cr_toxic_positivity,cr_distortion_reinforcement
ex07_7_b_4,"[Panicking] OK, I’m definitely feeling anxious now! Um, what’s the point of this exposure
again? What if it doesn’t work? What if I can’t stop feeling like this? Maybe we should
stop now.",,False,,False
ex05_5_m_3,[Sad] I was feeling hopeless and didn’t want to come in today.,,False,False,False
ex06_6_b_5,"[Frustrated] I’m still having trouble making appointments. I either completely miss them
or end up being late. I just can’t get it together.",False,False,False,False
ex05_5_a_5,"[Angry] I don’t like this or find it helpful. My thoughts aren’t irrational or baseless,
so I actually find it kind of invalidating and insulting.",False,,,
ex08_8_b_5,"[Frustrated] I know I said I would go to the event and start a conversation with new
people, but I only managed to say “hello” to one person.",False,,False,
ex02_2_a_5,"[Angry] It’s hard to come up with goals because I’m not really sure what we’re doing in
here.",False,,False,False
ex07_7_b_2,[Weeping] I’m so embarrassed. I’m an ugly crier.,False,,False,False
ex09_9_m_2,"[Frustrated] Whelp, the homework was another big swing and miss. Made no sense.
Can we not do that one again?",False,,False,
ex07_7_b_1,[Nervous] I don’t think I’m ready to work on this today.,False,,False,False
ex09_9_a_4,"[Defeated] To be honest, I wouldn’t expect you to ever really get me.",False,False,False,False
ex02_2_m_1,"[Nervous] I guess I was expecting that we’d just talk about whatever came to my mind on
a given week.",False,False,False,False
ex06_6_a_3,"[Frustrated] You don’t understand. I can’t do these things because I’m depressed. If I
wasn’t depressed, I could easily do these things, and I wouldn’t need to be here in the
first place.",,False,False,False
ex02_2_b_2,[Curious] Geez. I don’t even know where to start in picturing my happiness.,False,,False,False
ex08_8_a_5,"[Hopeless] To be honest, things haven’t improved as much as I expected.",False,,False,False
ex02_2_m_6,"[Anxious] I want to get a job, find a new partner, lose weight, be happier and less anxious,
be more outgoing, and work on some my grief issues.",False,,,
ex03_3_b_1,[Calm] I’m not sure what to talk about today.,False,False,False,False
ex08_8_m_5,"[Hopeless, after completing a progress monitoring measure] I think the scores on the
measure you asked me to complete are consistent with my experience so far. It feels like
things might actually be getting worse.",False,False,,False
ex07_7_m_4,"[Shaking and weeping] This is not something I can get into without hysterically crying.
That’s why I avoid it.",False,,False,
ex10_10_a_2,"[Angry] You seem so concerned with just finishing what’s on your list before time runs out.
I feel like I’m just a plug-and-play client!",,True,False,False
ex06_6_b_1,"[Ashamed] I know we talked about me having that date last week. I ended up cancelling
at the last minute. You know, I actually felt relieved.",,False,False,False
ex07_7_m_1,"[Angry] I think I’m done with therapy . . . things aren’t that bad, and maybe I don’t want to
change! I’ve been dealing with this my whole life and I’ve managed.",,,,False
ex02_2_b_5,"[Nervous] You’re the expert, so I’ll defer to what you think is best.",False,False,False,False
ex01_1_a_3,"[Angry] My doctor said I have to come see you about my “anger problem.” Sometimes
when I get really angry, I lose control and hit people. I just get so angry when people say
stupid things! Are you sure that you will be able to help me with this?",,False,False,False
ex01_1_m_6,[Impatient] How long will it take for this to work? I don’t have a lot of time or money.,,,,False
ex03_3_b_2,"[Curious] So, what’s our agenda for today?",False,False,False,False
ex07_7_a_2,[Very anxious] I feel like I’m going to have a panic attack or faint!,False,False,False,False
ex05_5_m_2,"[Irritated] When we work through these thought records, it’s not hard to come up with
alternative evidence and thoughts, but it feels artificial and doesn’t really make me
feel better.",,False,False,False
ex04_4_m_6,[Frustrated] I don’t expect this assignment to help.,False,False,False,False
ex04_4_m_2,"[Anxious] I have a hard time with organization, so I’m worried about doing all of the
homework correctly",False,,False,False
ex07_7_b_5,"[Tearing up] I don’t even know if I’m getting any better in here. I mean, I’ve been in therapy
for weeks and I feel the same.",,False,,False
ex04_4_b_1,[Pleased] I feel like I’m getting the hang of objective monitoring.,,False,False,
ex10_10_m_2,"[Sad] I guess I’m feeling hopeless. A part of me wants to change, but another part is afraid
of who I’ll be if I change too much.",,,False,False
ex04_4_m_7,[Agitated] I’m too swamped; I don’t think I’ll have the time to do any homework.,,False,False,False
ex09_9_a_3,"[Angry] You’re the worst. You keep asking me to interpret the situation in different ways,
like my perspective is always wrong. It’s like you’re calling me a liar. My last therapist would
not have called me a liar.",,,,False
ex08_8_a_3,"[Depressed] I wasn’t able to do the trauma homework. I’ve been feeling more depressed
and sleeping a lot. I’ve been late to work a few days this week.",,False,,False
ex09_9_b_3,"[Sad, withdrawn] I just don’t know what to say or do anymore . . . to you—or anyone.",,False,False,False
ex09_9_b_2,"[Withdrawn] I’m not sure where to start, or what to prioritize on today’s agenda. Sorry.",False,False,False,False
ex05_5_b_5,[Anxious] I don’t really know anyone who will be at this party. I know I’ll be miserable.,False,,False,False
ex03_3_a_3,"[Irritated] The agenda sounds fine, I suppose. I don’t know. I don’t think this is working,
so I’m not sure it matters.",False,False,False,False
ex02_2_a_2,"[Irritated] I can’t commit to coming in here each week. My schedule is unpredictable,
and I don’t have a car.",False,,False,
ex09_9_m_4,"[Angry] Now you just seem to be playing a psychologist . . . like the cliché ones on TV.
But I guess you’re the expert, so tell me what’s next please.",False,False,False,False
ex06_6_b_2,[Frustrated] I don’t know why I keep blowing up at people. I just do.,False,False,False,False
ex09_9_m_1,"[Challenging] Are you all here today? No offense, doc, but your mind seems elsewhere.",,False,False,False
ex03_3_m_2,"[Nervous] I know that the plan was to talk about exposure today, but something’s come up
that I’d like to talk about first.",False,False,False,False
ex05_5_a_4,"[Happy] I did what you suggested about my thoughts, and it really helped in the moment.
Every time I had a negative thought, I just told myself the opposite.",,,False,False
ex02_2_m_4,[Anxious] I don’t think I want to do any exposure.,False,,False,False
ex09_9_m_5,"[Irritated] My mother was trying to remind me to “check in” on my thoughts and breathing
yesterday. So annoying. People are always trying to solve my problems without possibly
being able to understand what I’m going through.",,,False,False
ex06_6_m_4,"[Hopeless] Before being diagnosed with multiple sclerosis, I loved hiking. I’m devastated
because nothing is going to replace that. It’s all over.",False,False,False,
ex01_1_a_2,"[Helpless] I was abused when I was a child, and recently I can’t stop thinking about it.
My boyfriend tries to help me be positive, but I can’t stop feeling depressed. Sometimes
I think it would be easier for everyone if I was dead.",,,False,
ex04_4_a_4,"[Anxious] Whenever I have trouble motivating to do the homework, I think of how happy
I will feel telling you that I did it. Your approval means everything to me. I honestly think
you’re the best therapist I’ve ever met.",False,,False,False
ex05_5_m_1,"[Impatient] You talk about the importance of thoughts . . . I’m already very aware of my
negative thoughts.",False,False,False,False
ex08_8_a_4,"[Excited] I found this article about a breakthrough medication for anxiety, and it seems like
something I could try.",False,False,False,False
ex02_2_a_3,"[Irritated] I don’t think this is going to work, so I’m not sure setting goals matters.",False,False,False,False
ex08_8_m_4,"[Anxious] I’m uneasy about doing the homework, living with my extended family in such
a small place. It makes me uncomfortable.",False,False,False,False
ex08_8_m_3,"[Anxious] I guess I haven’t brought up religion in here yet; I’ve been unsure about
doing that.",False,,False,False
ex03_3_a_2,"[Sad] I think our sessions have been very helpful. However, my depression is getting worse.
On my drive to this session today. I pictured myself driving off a bridge. It honestly felt like
a relief to imagine not having to work so hard to feel better anymore.",,,,False
ex01_1_m_1,[Confused] I’m not sure I understand how talking about my feelings will help.,False,False,False,False
ex03_3_b_3,[Nervous] I don’t think I’m ready for working on this today.,,False,False,False
ex06_6_m_3,"[Sad, failing to make eye contact] I guess I don’t deserve better.",,False,False,False
ex08_8_a_2,[Frustrated] I don’t think I can commit to coming here every week.,False,False,False,False
ex05_5_b_4,[Anxious] I know the job interview is going to go poorly; they always do.,,,False,False
ex02_2_b_3,[Nervous] I just don’t want to feel anxious anymore. I’m tired of it.,False,False,False,False
