qid,a_model,b_model,raw_judgment,winner
q0000,cbtdp,dpo,"B

The response B is the better",dpo
q0001,dpo,cbtdp,B,cbtdp
q0002,dpo,cbtdp,B,cbtdp
q0003,dpo,cbtdp,B,cbtdp
q0004,cbtdp,dpo,"A

(أختار الاستج",cbtdp
q0005,cbtdp,dpo,"A

(أ) لأنها ت",cbtdp
q0006,cbtdp,dpo,"A

(أ) الاستجابة",cbtdp
q0007,dpo,cbtdp,B,cbtdp
q0008,dpo,cbtdp,B,cbtdp
q0009,dpo,cbtdp,B,cbtdp
q0010,dpo,cbtdp,B,cbtdp
q0011,cbtdp,dpo,"B

The response B is the better",dpo
q0012,dpo,cbtdp,B,cbtdp
q0013,dpo,cbtdp,B,cbtdp
q0014,cbtdp,dpo,"A

(أفضل استجابة",cbtdp
q0015,cbtdp,dpo,"B

The response B is more empath",dpo
q0016,dpo,cbtdp,B,cbtdp
q0017,cbtdp,dpo,"A

(أفضل استجابة",cbtdp
q0018,cbtdp,dpo,"A

(أفضل استجابة",cbtdp
q0019,dpo,cbtdp,B,cbtdp
q0020,cbtdp,dpo,"A

(أنا أختار",cbtdp
q0021,cbtdp,dpo,"A

(أ) الاستجابة",cbtdp
q0022,dpo,cbtdp,B,cbtdp
q0023,dpo,cbtdp,B,cbtdp
q0024,cbtdp,dpo,A,cbtdp
q0025,dpo,cbtdp,B,cbtdp
q0026,dpo,cbtdp,B,cbtdp
q0027,dpo,cbtdp,B,cbtdp
q0028,cbtdp,dpo,A,cbtdp
q0029,cbtdp,dpo,"B

The response B is more empath",dpo
q0030,cbtdp,dpo,"B

The response B is more empath",dpo
q0031,cbtdp,dpo,"A

(أ) الاستجابة",cbtdp
q0032,cbtdp,dpo,"A

(أ) لأن الاستج",cbtdp
q0033,cbtdp,dpo,"B

(الاستجابة B",dpo
q0034,dpo,cbtdp,B,cbtdp
q0035,cbtdp,dpo,"A

(أشارت إلى الاست",cbtdp
q0036,cbtdp,dpo,"A

(أفضل استجابة",cbtdp
q0037,cbtdp,dpo,"A

(أفضل استجابة",cbtdp
q0038,cbtdp,dpo,"A

(أفضل استجابة",cbtdp
q0039,cbtdp,dpo,"A

الاستجابة A هي",cbtdp
q0040,cbtdp,dpo,"A

الاستجابة A هي",cbtdp
q0041,dpo,cbtdp,B,cbtdp
q0042,dpo,cbtdp,B,cbtdp
q0043,dpo,cbtdp,B,cbtdp
q0044,dpo,cbtdp,B,cbtdp
q0045,dpo,cbtdp,B,cbtdp
q0046,dpo,cbtdp,".

الاستجابة B هي الأ",cbtdp
q0047,dpo,cbtdp,B,cbtdp
q0048,cbtdp,dpo,"A

(أختار الاستج",cbtdp
q0049,dpo,cbtdp,B,cbtdp
