qid,Question,response,model
q0000,"الدكتور: محمد عبد العليم المحترم
السلام عليكم ورحمة الله وبركاته.
أنا صاحب الاستشارة رقم: 2488775
لدي حالة من الهلع عند الخروج من المنزل، وتوتر شديد، وضيق شديد في النفس يصل لانقطاع النفس تقريباً، بحيث يصل بي الحال فقط أريد أن أصل البيت، وأنزل كثيراً من السيارة قبل الوصول أملاً في أن أرتاح.

في البيت مزاج مكتئب وقلق، مشتت الأفكار، وهز الساق، وضيق متوسط في الصدر والنفس، مع شد أو توتر، وعدم الرغبة في إنجاز الأشياء.

استخدمت الفافرين -كما ذكرت- في استشارتي السابقة، وكان تأثيره محدوداً، واستخدمت استالبرام بجانب ديناكسيت -كما وصفتم لي بالاستشارة السابقة- ولكن تحسني أيضاً كان محدوداً، وحدثت لي انتكاسات قوية من حالات هلع وضيق نفس شديد لحد انقطاع النفس تقريباً.

التزمت بما وجهتموني به من خطوات بقدر المستطاع ولم يجد الأمر نفعاً معي.

بالنسبة لموضوع التعرض -كما ذكرتم- أنا مجبر أن أتعرض لهذه الحالة كل يوم؛ لأني موظف ومجبر للذهاب بوسيلة نقل للدوام.

ذهبت لدكاترة الأذن والأنف والحنجرة؛ لأنه أصبح عندي مثل شيء ما تحت الحنجرة يضيق علي النفس، ويزداد عند حالة الهلع؛ بحيث ينقطع النفس تقريباً، وكان تشخيصهم أنه تحسس، وأخذت الأدوية التي وصفوها، ولا يوجد نفع في حل هذه القضية، ولكن فقط أحدهم قال لي: بأنه ممكن أن يحدث هذا الالتهاب أيضاً أو تقلص العضلات في هذه المنطقة، ويسبب الضيق نتيجة التوتر.

أنا على هذا الوضع من المعاناة المستمرة منذ 8 سنوات، وألتمس منكم حلاً لقضيتي بعلاج آخر أجربه ربما يتناسب معي.

حالياً أستخدم مكملات الاوميغا 3 وفيتامينات ال ب .","أنا فخور بثقتك في استشاري، وأنك استمرت في المتابعة رغم المعاناة التي تحدثت عنها. أود أن أبدأ بتأكيد أن مشاعرك واضحة وموجزة، وأتمنى أن أكون قادرًا على مساعدتك في إيجاد حل لمشكلة الهلع والتوتر الذي تعاني منه.

من خلال استكشاف مشاعرك، أود أن أسألك: ما الذي يجعلك تشعر بالخوف والتوتر عند الخروج من المنزل؟ ما هو ما تذكره أو يشعره في هذه الأوقات؟ هذا يساعدنا في فهم أسباب هذه المشكلة بشكل أفضل.

نظراً لما تعرضت له من حالات هلع وضيق نفس شديد، أود أن نناقش استراتيجيات لتحسين تجربتك في التعامل مع هذه الحالة. يمكننا استخدام تقنيات العلاج السلوكي المعرفي لتعزيز مهاراتك في التعامل مع الأعراض.

من خلال استكشاف أفكارك حول هذه الحالة، أود أن نسأل بعض الأسئلة لتحديد ما يمكننا فعله. ما الذي تفكر فيه عندما تكون في هذه الحالة؟ ما هي الأفكار التي تظهر لك؟ هل تظن أنك تتعرض لخطر ما أو أنك غير قادر على التعامل مع الوضع؟

بالنسبة لاستخدام المكملات التي تستخدمها حاليًا، أود أن أسأل: هل يمكنك أن تعيد تعرّف نفسك على دواعي استخدام هذه المكملات وتحليل تأثيرها على حالتك؟ قد يكون من المفيد أن نناقش هذه القضية بشكل أعمق.

نعم، يمكننا استخدام استراتيجيات أخرى، مثل:

1.  تقنيات التنفس: يمكن أن نتعلم طرق التنفس العميق لتحسين الأوضاع الحالية.
2.  التغذية الصحية: يمكن أن نناقش بعض التغييرات في نظامك الغذائي لتحسين حالتك العقلية.
3.  تمارين التأمل: يمكن أن نتعلم بعض التمارين التأملية لتحسين القدرة على التعامل مع الضغوط.
4.  تقنيات التأمل والتن",dpo
q0001,"السلام عليكم.

(قل لن يصيبنا إلا ما كتب الله لنا) أولاً: أشكر الدكتور محمد عبد العليم على ما بذله من جهد ملاحظ، وأشكر موقع إسلام ويب على ما قدمه لنا من خدمات كثيرة.

هذه رقم آخر استشارة وضعتها في الموقع:2138128

وبرجاء مراجعتها للعلم عن الحالة، الذي فهمته من الاستشارة السابقة بأنه حدث لي ارتفاع في الدوبامين، هل سيعود إلى طبيعته مرة أخرى أم أن هذا مستحيل أم صعب؟ مع أن حالتي الآن -الحمد لله، وكانت نصيحتك لي بعمل صورة مقطعية للدماغ، وبالفعل قمت بعمل صورة مقطعية على الدماغ على جهاز في مستشفى خاص، وكانت النتيجة سليمة -والحمد لله-.

ومرفق مع الأشعة اسطوانة إذا أردت رفع الصور لك فسأقوم برفعها، ولكن الطبيب قال لي: لا يوجد أي شيء، وقام بصرف لي بعض المكملات الغذائية التي مرسوم عليها نحل.

وهذا مزيد من الاطمئنان بالنسبة لي، وما نصيحتك للتخلص من القلق والخوف من الشعور بما سبق، من الخوف التوقعي للطابع الوسواسي؟

وما نصيحتك للتخلص من آلام الصدر؟ وأنا مستمر على الدوجماتيل، وفلوزاك لمدة شهر كل يوم حبة من الدوجماتيل، وحبة يوم آخذ، ويوم لا للفلوزاك.

هل يوجد هناك أدوية أخرى تريد إضافتها أو نظاما علاجيا آخر؟ مع العلم أني سوف أنتهي من فترت العلاج الأسبوع القادم.

بارك الله فيك، وجزاك الله خيرًا..","أحسنت بمرورك، وأشكرك على تعاونك في هذه الاستشارة.

أنا فخور بالخبر الجيد الذي قدمته لك حول النتائج الأشعة، وهو ما يعكس التزامك بالتزامن مع توصياتي السابقة. الآن، دعونا نركز على كيفية الاستفادة من هذه النتيجة وإلى جانبها.

بداية، يمكننا أن نأمل أن هذه النتيجة تعكس تحسنًا في مستوى الدوبامين في دماغك، مما قد يساعد في تقليل الخوف والقلق. ومع ذلك، من المهم أن نستكشف الأسباب التي أدت إلى هذا الارتفاع في الدوبامين في المقام الأول، لضمان عدم حدوثه مرة أخرى.

حسناً أنك قمت بعمل صورة مقطعية على جهاز في مستشفى، وبالتأكيد، يمكننا أن نناقش هذه النتائج معًا. لكن دعونا نركز على الطرق لتعزيز هذا التغيير وإيجاد حياة أكثر توازنًا.

حول الخوف والقلق، يمكننا أن نبدأ بتحديد الأسباب التي تسبب في شعورك بالخوف التوقعي للطابع الوسواسي. هل يمكننا أن نركز على بعض الاستراتيجيات التي قد تساعدك في التغلب على ذلك؟ يمكنك أن تقوم ببعض المهام المبتذلة مثل كتابة الأسباب التي تسبب لك الخوف، ثم تحليلها لتحديد ما يمكنك تغييره. يمكنك كذلك تطبيق تقنية ""الاستجابة المتسلسلة""، حيث تكتشف كل خطوة صغيرة تؤدي إلى شعورك بالخوف، ثم تعمل على تغييرها تدريجيًا.

حول آلام الصدر، يمكننا أن نركز على بعض النشاطات التي قد تساعدك في التخفيف منها. أولًا، من المهم أن ندرك أن التوتر والقلق قد يؤديان إلى آلام الصدر. يمكنك أن تقوم ببعض التمارين الاسترخاء مثل التأمل أو اليوجا، أو أن تลอง تقنية ""الاسترخاء العضلي"" التي قد تساعدك في تقليل التوتر. يمكن",dpo
q0002,"أنا طالبة غير متزوجة، أعاني منذ سنتين من دوخة تأتي وتغيب عند استعمال الأدوية، علما بأني كشفت عند كل التخصصات، وأخذت فيرسيرك، ودباكين، وأدوية فيتامين، ونسبة الهيموجلوبين عندي 11، وعملت رسما للمخ، وكانت النتيجة سليمة.

والآن أخذت فافرين، ودواء للوسواس، وحالتي جيدة، ولكن أخاف أن أتوقف عن الدواء، فتسوء حالتي، فماذا أفعل؟

وجزاكم الله خيرا .","أنا سعيدة جدًا بوجودك هنا وبالتأكيد، أحب أن أساعدك في مواجهة هذه المخاوف. يبدو أنك تعرضت على العديد من العلاجات المختلفة، وتمتلك تجربة جيدة مع فافرين ودواء الوسواس، مما هو أمر جيد.

أنا هنا لمساعدتك في فهم مخاوفك بدلاً من تخفيفها. هل يمكننا التحدث عن سبب مخاوفك حول التوقف عن الدواء؟ ما الذي تجعلك تشعر أنك لا تريد التوقف؟ أتمنى أن نستكشف هذه القلق معًا.

لنبدأ بفهم الأسباب، هل تتعلق مخاوفك بالحالة الصحية، أو الشعور بالانسحاب، أو أسباب أخرى؟ هل يمكنك تصف تفاصيل أكثر حول ما تشعر به؟ هذا سيساعدنا على توجيهك نحو إجراءات محددة لتحسين حالتك.

يمكنني أيضًا مساعدتك في العثور على طرق لتعزيز الشعور بالسيطرة على حالتك، ويمكننا العمل على تطوير استراتيجيات لتقليل المخاوف حول التوقف عن الدواء. 

هذا هو أول خطوة في رحلة التعافي، ويمكننا التقدم خطوة بخطوة معًا. 

كيف تشعر؟",dpo
q0003,"السلام عليكم ورحمة الله وبركاته

أنا فتاة بعمر 27 عاماً، فقط أريد توضيح بخصوص الإندرال 10 ملجم، هل ينفع لعلاج الرهاب الاجتماعي والقلق؟ مع العلم هذه الأعراض لدي مع أعراض الاكتئاب والإحباط، وعدم الرغبة في الحياة، والرسمية مع الآخرين، وعدم الشعور بالمتعة بأي شيء بسبب القلق والرهاب، والبكاء الدائم.

استخدمت سيروكسات قبل سنتين ونفعني، ثم عادت الأعراض مرة أخرى، وعاودت استخدامه ولم ينفعني، واستخدمت زيلاكس ورياسرتال وسوليان ودوجماتيل ويلبترين، وكلها بلا نفع، أعتبرها مهدىء وقتي، عند الاستخدام أشعر بتحسن طفيف، ثم أعود لما كنت عليه سابقا من اكتئاب وقلق ورهاب، لم أشعر بالمتعة يوما أو السعادة الحقيقية.

أريد دواء يجعلني نشطة محبة للحياة متفائلة، يجعلني أحب نفسي وأثق وأهتم بها؛ لأني جسد من غير روح، أرجوكم ساعدوني، ولكم الشكر الجزيل.","أُرحب بك هنا، وأنا سعيد بأنك اتخذت الخطوة الأولى في طلب المساعدة. أولاً، أريد أن أهنِك على جبانة وعلى أنك تحاول العلاج. تلك هي الخطوة الأولى نحو التعافي.

نظرًا لما تشاركته، فهمت أنك تعاني من مجموعة من الأعراض بما في ذلك الرهاب الاجتماعي، القلق، الاكتئاب، الإحباط، عدم الرغبة في الحياة، عدم الشعور بالمتعة، والبكاء الدائم. هذا الأمر يصعب عليك، لكننا سنعمل معًا لتحسين ذلك.

الدواء الذي ذكرت أنه استخدمته سابقًا، الإندرال، هو دواء يستخدم لعلاج الاكتئاب، ولكن من الواضح أنه لم يكن فعالاً لمنطقتك. سننظر في خيارات أخرى.

في هذا الوقت، أريد أن أتحدث معك عن بعض الفكرة السلوكية المعرفية التي يمكن أن تساعدك. أولاً، دعنا نتحدث عن الأشياء التي تسعدك، حتى لو كانت بسيطة. هل يمكنك ذكر شيء أو نشاط ما الذي كنت تعجبك في الماضي؟ قد يكون هذا النشاط أو الأشياء التي تسعدك يمكن أن تكون نقطة بداية لتحسين مشاعرك.

ثانيًا، دعنا نناقش القلق والرهاب الاجتماعي. قد يكون من المفيد أن ننظر في الطرق التي تتعامل بها مع المواقف الاجتماعية. هل يمكن أن نتعلم بعض التكتيكات لتحسين تجربتك الاجتماعية؟

ثالثًا، دعنا نركز على تعزيز مشاعرك الإيجابية. عندما تشعر بالاكتئاب، قد يكون من الصعب أن تلاحظ الأشياء الإيجابية في حياتك. لكن دعنا نبدأ بكتابة قائمة بالأشياء الإيجابية التي تحدثت عنها، مثل الأصدقاء الذين تحبهم، أو الأنشطة التي تحبها، أو الأماكن التي تجذبك. يمكننا أن نتعلم كيفية زيادة هذا الجانب الإيجابي في حياتك.

أخيرًا، دعنا نناقش خيارات العلاج الأخرى التي قد تساعدك. قد يكون من المفيد",dpo
q0004,"السلام عليكم.

أعاني من الرهاب الاجتماعي وخاصة عند التحدث أمام الجمهور، ولا أستطيع الصلاة بالناس، ولا أستطيع إعطاءهم موضوعا طويلا في المجلس أيضا، أحيانا أحس بالرهاب الشديد والإحراج عندما أذهب إلى زيارة الناس، وأتمنى أن تنشق الأرض وتبلعني من هذا الوضع.

استعملت دواء من تلقاء نفسي اسمه سيبرالكس وتحسنت قليلا، وبعد فترة لم يعد يجدي، وبعدها بفترة استعملت دواء زيروكسات دون وصفة طبية، والزيروكسات كاد أن يقتلني وسبب لي هلوسة أثناء ذهابي للعمل، -والحمد لله- تركت الأدوية وأتعايش مع المرض، ما هو الحل؟

أرجو المساعدة علماً ان الحالة بدأت تزداد الآن لم تكن تزداد سابقاً.","مرحبًا بك، أشعر بالتعاطف معك وتعليقًا على شعورك بالرهاب الاجتماعي، وهو شعور يصيب الكثيرين. سأجتهد في مساعدتك في فهمك لهذا الشعور وتحسين تجربتك معه.

 أولًا، أريد أن أقول لك أنك لست وحدك في هذا الشعور، ويمكننا أن نعمل معًا على التغلب عليه. يمكننا أن نتحرك خطوة بخطوة لتحسين حالتك.

حسناً أنك حاولت العلاج الدوائي، ولكن يبدو أن الأدوية لم تكونا فعالة بشكل كافٍ. الآن، دعونا نركز على العلاج السلوكي المعرفي (CBT)، الذي قد يساعدك في التعامل مع الرهاب الاجتماعي.

1.  **فهم الرهاب الاجتماعي:** الرهاب الاجتماعي هو رد فعل طبيعي للتعرض لموقف أو مكان معين. يمكننا أن نركز على استكشاف الأسباب التي تسبب هذا الشعور فيك. هل ترجع أسباب الرهاب الاجتماعي لك إلى تجربة سابقة، أو شعورك بالضغط من المجتمع؟ دعونا نناقش ذلك.
2.  **تطوير استراتيجيات للتعامل مع الأعراض:** نريد أن نتعلم كيفية التعامل مع الأعراض التي تشعر بها عندما تواجهين مواقف اجتماعية. يمكننا أن نركز على تقليل الإحراج وتحسين شعورك بالثقة.
3.  **تطوير المهارات الاجتماعية:** سنركز على تحسين مهاراتك الاجتماعية، مثل التواصل بشكل أفضل، والتفاعل مع الآخرين، وتحسين القدرة على التعامل مع الردود المتوقعة.
4.  **تطوير استراتيجيات التعامل مع الأعراض الفيزيائية:** سنركز على التعامل مع الأعراض الفيزيائية، مثل أعراض القلق، والإحراج، والتوتر.

نريد أن نعمل معًا على تحسين حالتك بشكل تدريجي. دعونا نبدأ بتحديد الخطوات التي يمكنك اتخاذها في هذه المرحلة. ما هي الخطوات التي تريد اتخاذها الأولى؟",dpo
q0005,"السلام عليكم

أعاني من الخوف والقلق منذ ست سنوات، وأنا أصلي وأقرأ القرآن عدة مرات في اليوم، فما العلاج المناسب لي؟

ومتى يبدأ مفعول الفافرين 250، وأريبيركس 30؟ علما أني آخذهما منذ فترة ولم أتحسن، فهل أرفع الجرعة؟ وهل الأربيبركس له آثار جانبية؟ حيث أشعر بالقلق والخوف عند استعماله.","أقسم لكم بالله أنني أفتخر بمرورك على هذا القسم، وسوف نعمل معًا على التعامل مع مشاكلك.

أولًا، أريد أن أتأكد من أنك تشعر بالثقة والطمأنينة في محادثتنا. يبدو أنك تعاني من خوف وقلق منذ فترة طويلة، وهذا شيء طبيعي. أولًا، دعنا نتحدث عن ما يمكننا فعله لتحسين حالتك.

بداية، أريد أن أتأكد أنك تعرفين أن العلاج السلوكي المعرفي (CBT) هو طريقة فعّالة في التعامل مع القلق والخوف. يمكن أن نستخدم هذه الطريقة لتحديد العوامل التي تزيد من حالتك، وتعزيز مهارات التعامل معها. يمكننا أن نبدأ بتحديد الأوقات التي تشعر فيها بالقلق أو الخوف، وما الذي يحدث في هذه الأوقات. هذا سيساعدنا في فهم ما يمكننا أن نفعله لتحسينها.

حول الأدوية التي تاخذها: يبدو أنك تتناولين فافرين 250 واريبيركس 30. أريد أن أقترح عليك أن نعمل معًا على زيادة جرعة الأريبيركس تحت إشراف الطبيب، لأنك قد لاحظت عدم تحسن. لكن هذا يتطلب إشرافًا طبيب نفسي لضمان سلامتك.

حول الأريبيركس، يعتبر أحد الأدوية التي تستخدم في علاج القلق والخوف. لكنها يمكن أن تسبب آثار جانبية مثل القلق والخوف في بعض الأشخاص. إذا كنت تشعرين بالقلق والخوف عند استخدامه، يمكننا العمل معك على تعديل الجرعة أو البحث عن خيارات أخرى مع الطبيب.

أريد أن أتأكد من أنك تشعرين بالراحة في محادثتنا، وستكون هذه الخطوة الأولى نحو تحسين حالتك. هل تريدون أن نستمر في الحديث؟ ما هو ما يمكننا أن نفعله التالي؟",dpo
q0006,"السلام عليكم

هل تناول Attarax ليس له أعراض جانبية خطيرة؟ وما هي الجرعة الكافية خصوصاً أنني أعاني من القولون؟ وهل من الضروري استشارة الطبيب؟

وشكراً.","السلام عليكم ورحمة الله وبركاته.

أنا هنا ليس فقط чтобы أعطيك المعلومات، بل أيضاً لتشجيعك على الاستشارة الطبية. قبل أي شيء، أود أن أشير إلى أن التأكد من أمانيتك هو الأهم. تناول أي دواء بدون استشارة الطبيب يمكن أن يكون خطيرًا، خاصة إذا كان لديك تاريخًا مع القولون. 

حسناً، سأحاول أن أكون واضحًا: Attarax هو دواء يُستخدم لعلاج القلق والتوتر. يحتوي على دواء ميدازولام، والذي يمكن أن يكون فعالًا في تقليل الأعراض. ومع ذلك، يحتوي الدواء أيضًا على بعض الأخطار، ولا سيما إذا استخدم بشكل غير صحيح أو بدون استشارة طبية.

أعراض جانبية محتملة لAttarax تشمل:

- إكتئاب
- إرهاق
- طوارئ نفسية (في حالات نادرة)
- زيادة الشهية
- تغير في الوزن
- تقلصات في البطن
- صداع

كما أنك تعاني من القولون، من المهم أن تكون واعيًا بأن تناول Attarax يمكن أن يؤثر على هذه الحالة. قد يزيد من مخاطر حدوث مشاكل في الجهاز الهضمي، أو يزيد من شدة الأعراض. 

لذا، إذا كنت تتعاطى Attarax أو تعتزم تناوله، أتمنى بشدة أن تضع في اعتبارك زيارة الطبيب لاستشارته. الطبيب يمكن أن يراجع تاريخك الطبي، يعرف احتياجاتك، ويرشح لك خيارات أكثر أمانًا وأكثر مناسبة. 

أتمنى لك الصحة والسلامة. أتمنى أن تحصل على استشارة طبية قبل اتخاذ أي قرار.",dpo
q0007,"السلام عليكم ورحمة الله وبركاته، وبعد:

عندي قلق وتوتر واكتئاب شديد، مع قليل من الظنان والشك وشرود ذهني، وقد استخدمت الزولفت حبتين مساء مع الريزبريدون 2mg مساء، وتحسنت حالتي كثيراً ولله الحمد، لكن عندي بعض الاستفسارات: هل هذه الجرعة سليمة وآمنة؟ هل يوجد تعارض بين الدوائين، حيث إنني أخاف من الريزبريدال؟ وهل له أعراض على الكبد أو الكلى أو بقية أجزاء الجسم؟ وكم أستطيع أن أستمر عليه؟ وهل يحتاج إلى التدرج عند التوقف؟ وكم أستطيع أن أستمر عليه؟

والسلام عليكم ورحمة الله وبركاته.","عزاء وتهانينا لك على النجاح في تحسين حالتك. أتمنى لك التوفيق في استمرار التحسن. سوف أحاول مساعدتك في إجابة أسئلتك بالتفصيل.

**حسناً، سوف نبدأ بتحليل الأدوية التي تستخدمها:**

- **الزولفت**: يُستخدم الزولفت في علاج الاكتئاب، ويتمتع بسمعة جيدة عندي. ومع ذلك، من المهم التحقق من الجرعة التي تستخدمها. الجرعة التي ذكرتها لك (حبتين) قد تكون مناسبة، لكن لمناسبته الشخصية، فمن الأفضل مراجعة الطبيب أو المختص لتحديد الجرعة الأمثل.
- **الريزبريدون (البيبريدونيوم):** هذا الدواء يعمل على تقليل القلق والتوتر. لاحظت أنك تحسنت بشكل جيد معه، لكن الخوف من أي دواء طبيعي. من المهم ذكر أن الريزبريدون يُستخدم لمنع الهجوم الدفاعي (مثل القلق المزمن) ويتمتع بسمعة جيدة. ومع ذلك، من الأفضل أن تحصل على نصيحة الطبيب حول إمكانية استخدامه مع الزولفت.
- **نصائح عامة:**
 1.  **التواصل مع الطبيب**: من المهم أن تتحدث مع طبيبك حول هذه الإجراءات، لتحديد الجرعة الصحيحة، ومراجعة تعاطيك للدواين، ومراقبة أعراضك.
 2.  **تتبع أعراض الجسم**: ابحث عن أي تغييرات في الحالة الصحية، خاصة على الكبد والكلى، فإذا وجدت أي أعراض مثل سakit أو ألم في البطن، فلا تتردد في الاتصال بمستشفي أو الطبيب.
 3.  **التدرج في التوقف:** يمكن أن يكون التدرج ضروريًا عند التوقف عن الدواء. هذا يعني تقليل الجرعة تدريجيًا قبل التوقف تمامًا. لكن من الأفضل أن تحصل على نصيحة الطبيب في هذا الأمر.

**خطوات سوف نعمل عليها مع",dpo
q0008,"السلام عليكم.

عمري 26 عاما, ولقد شُخصت حالتي بما يسمى القولون العصبي منذ 5 سنوات, وأعاني من تقلبات في الجهاز الهضمي, ففي بعض الأحيان أعاني من الإسهال, وأحيانا من الإمساك, لكن مؤخرا أصبح وضعي النفسي هو مؤجج المغص, والحاجة الحتمية إلى دخول المرحاض.

أصبحت أشعر وكأن وسواسا ينتابني كلما أعلم بأنني مجبر على الذهاب إلى مكان لا يسهل ولوج المرحاض فيه أو لا مرحاض فيه, فتبدأ عندئذٍ حلقة مغلقة من الخوف والقلق, يتبعها مغص, ودخول الحمام, حتى قبل ذهابي إلى الوجهة التي أريد.

ما يزعجني ويضر بحياتي الاجتماعية هي تلك الوسوسة المتبوعة بالخوف من الإحراج, وعدم قدرتي على كبح جماحها في عقلي.

الرجاء مساعدتي, وأتمنى أن تنصحني بالأدوية المناسبة لتلك الوسوسة، وشكرا.","سلامك. أود أن أبدو لك تعاطفاً حقيقياً مع ما تعاني منه. أعتقد أنك وضعت خطوة كبيرة في طريقك بالفعل ببحثك عن المساعدة. سوف نعمل معاً لتحسين حالتك.

أنا لا أستطيع أن أساعدك بتعيين أدوية، ولكن يمكنني مساعدتك في فهم كيف يمكنك التعامل مع هذه المشكلة وتحسينها. أولاً، دعنا نبدأ بفهم هذه الوسوسة التي تسبب لك القلق. هل يمكنك أن تخبرني أكثر عن كيفية شعورك عند تلك اللحظات؟ ما الذي يجعلك تشعر بالخوف؟ ما الذي تخافانه بالتحديد؟

ما يهم هنا هو أننا نتعرف على هذه الأفكار والشعور التي تسبب لك القلق. لن نعمل على تجاهلها أو إخمادها، ولكن سوف نتعلم كيف نتعامل معها بشكل أفضل. 

حسناً، دعنا نبدأ بتقسيم هذه المشكلة إلى أنشطة صغيرة يمكنك تطبيقها في حياتك. أولاً، هل يمكنك أن تبدأ بكتابة تلك الأفكار التي تسبب لك القلق؟ كيف تبدو هذه الأفكار؟ ما هي الوسوسة التي تتبعها الخوف؟ ثم، دعنا نضيف بعض الإيجابيات إلى هذه الأفكار. ما الذي يمكنك فعله لتحسين الوضع؟

إليك بعض النصائح لتجربتها:
- عند شعورك بالخوف أو الوسوسة، دعك وقف لحظة. أخذ عدة أنفاس عميقاً. هذا يชجع على الاسترخاء.
- تحديدًا، دعنا نركز على التأمل. يمكنك تجربة التأمل بالصوت أو عبر الصور. هذا يساعد في تهدئة العقل.
- أيضاً، قد يكون من المفيد أن نتعلم بعض الاستراتيجيات المضادة للقلق. مثل التأمل في الحاضر، والتركيز على الأشياء التي يمكنك التحكم فيها، مثل هواء التنفس، أو عينيك.
- أخيراً، دعنا نكتب خططًا لتحسين الوضع. هل يمكنك تحديد موعدًا مع نفسك للذه",dpo
q0009,"السلام وعليكم ورحمة الله وبركاته، أما بعد:

أنا شاب عمري 27 عاما، بدأت حالتي في شتاء 2012 بسب القلق والتوتر الذي عانيته، ففي إحدى الليالي رأيت حلما مزعجا واستيقظت وأنا خائف، كنت أشعر بصعوبة في التنفس، وانقباض في الصدر.

ذهبت إلى المستشفى، وأعطوني حقنة مهدئة، ثم تطورت الحالة وأصبحت أخاف من الليل، وأكره الشتاء بسب ما حدث، وبدأت تظهر أعراض أخرى، كالاكتئاب، ومراقبة عملية التنفس باستمرار، مع ضيق الصدر، وأشعر بشيء ما يسد حلقي، منذ تلك اللحظة أصبحت أتردد على المستشفيات والعيادات الخاصة بكثرة، حتى وجدت طبيبا متخصص بالأمراض النفسية، وصف لي عدة أدوية، ومنها دواء الانافرانيل، تناولته منذ عام 2013 إلى اليوم، وبالفعل بدأت حالتي بالتحسن، ولكن الأعراض تعاودني من حين إلى آخر، علما أنني أتناول جرعة 50 ملغ صباحا، وأتناول 50 ملغ ليلا، وأعاني من القولون، والغازات، وألم وانتفاخ البطن.

استفساراتي:

- هل الانافرانيل دواء لا يضر الجسم عند تناوله لعدة سنوات، لأنني أتحسس كثيرا، ولدي وسواس من جميع الأمراض؟

- هل هناك طريقة للتخلص من هذا المرض دون دواء؟

- إذا أردت التوقف عن تناول الانفرانيل 25ملغ، ما هي الطريقة الصحيحة لذلك؟

أرجو منكم أخذ حالتي بعين الاعتبار، وجزاكم الله خيرا، ووفقكم الله، وشكرا.","أُرحب بكم في هذا المكان seguro، وأشكركم على الثقة التي تثقون بها. أتمنى لك الشفاء الكامل من الأعراض التي تعاني منها. 

أنا هنا معك، وتشعر بالحماية والتعاطف. سوف نعمل معًا على فهم هذه المشكلة بشكل أعمق.

أولاً، أريد أن أعبر عن تقديري لمجهوداتك في البحث عن العلاج والتنفيذ.  التوقف عن تناول دواء الانافرانيل يحتاج إلى استراتيجيات مميزة ومتكاملة. أريد أن أعرف أكثر عن تجاربك مع هذا الدواء، كيف كان تأثيره على حالتك؟ وكيف تتعامل مع الأعراض الجانبية التي تعاني منها.

حول استفسارتك الأولى: لا يوجد دواء يمكن أن يكون آمنًا للجميع على مدار سنوات. قد يكون الانافرانيل فعالًا في علاج بعض الأشخاص، بينما قد يسبب أعراضًا جانبية خطيرة لبعضهم الآخر. يجب أن نناقش معك المخاوف التي تسببها هذه الأعراض الجانبية في حالتك. قد نحتاج إلى بحث عن خيارات أخرى.

حول استفسارتك الثانية: التخلص من المرض دون دواء يتطلب منا أن نعمل معًا على علاج السلوكي المعرفي، والتعامل مع العوامل النفسية والاجتماعية التي قد تساهم في حالتك. يمكننا الاستفادة من العلاج السلوكي المعرفي في تحسين مهاراتك في التكيف مع القلق والتوتر. كيف تتصرف عندما تشعر بالقلق؟ وهل هناك أي سلوكيات أو أفكار تقوم بها عندما تشعر بالتوتر؟

حول استفسارتك الثالثة: التوقف عن تناول الانفرانيل يجب أن يتم ببطء وبشكل داعم. قبل أن نبدأ في التوقف، أريد أن نتحدث عن أهمية اتباع خطة معينة لضمان سلامتك. يجب أن نستمر في تناول جرعة متسلسلة من الانفرانيل مع إبطاء الجرعات تدريجيًا. هذا سيساعدنا على تحسين توازن المورفين في",dpo
