qid,a_model,b_model,raw_judgment,winner
q0000,cbtdp,dpo,B,dpo
q0001,dpo,cbtdp,B,cbtdp
q0002,dpo,cbtdp,A,dpo
q0003,dpo,cbtdp,A,dpo
q0004,cbtdp,dpo,B,dpo
q0005,cbtdp,dpo,A,cbtdp
q0006,cbtdp,dpo,B,dpo
q0007,dpo,cbtdp,B,cbtdp
q0008,dpo,cbtdp,B,cbtdp
q0009,dpo,cbtdp,"A

الاستجابة A هي",dpo
q0010,dpo,cbtdp,B,cbtdp
q0011,cbtdp,dpo,"A

الاستجابة A هي",cbtdp
q0012,dpo,cbtdp,A,dpo
q0013,dpo,cbtdp,"A

الاستجابة A هي",dpo
q0014,cbtdp,dpo,"A

(أختار الاستج",cbtdp
q0015,cbtdp,dpo,A,cbtdp
q0016,dpo,cbtdp,A,dpo
q0017,cbtdp,dpo,"A

الاستجابة A هي",cbtdp
q0018,cbtdp,dpo,"A

(أختار الاستج",cbtdp
q0019,dpo,cbtdp,A,dpo
q0020,cbtdp,dpo,B,dpo
q0021,cbtdp,dpo,"A

(أفضل استجابة",cbtdp
q0022,dpo,cbtdp,A,dpo
q0023,dpo,cbtdp,"A

الاستجابة A هي",dpo
q0024,cbtdp,dpo,A,cbtdp
q0025,dpo,cbtdp,B,cbtdp
q0026,dpo,cbtdp,A,dpo
q0027,dpo,cbtdp,"A

(أختار الاستج",dpo
q0028,cbtdp,dpo,"A

الاستجابة A هي",cbtdp
q0029,cbtdp,dpo,"A

الاستجابة A هي",cbtdp
q0030,cbtdp,dpo,B,dpo
q0031,cbtdp,dpo,A,cbtdp
q0032,cbtdp,dpo,A,cbtdp
q0033,cbtdp,dpo,"A

الاستجابة A هي",cbtdp
q0034,dpo,cbtdp,A,dpo
q0035,cbtdp,dpo,A,cbtdp
q0036,cbtdp,dpo,"A

الاستجابة A هي",cbtdp
q0037,cbtdp,dpo,"A

الاستجابة A هي",cbtdp
q0038,cbtdp,dpo,B,dpo
q0039,cbtdp,dpo,A,cbtdp
q0040,cbtdp,dpo,"A

الاستجابة A هي",cbtdp
q0041,dpo,cbtdp,"A

(أختار الاستج",dpo
q0042,dpo,cbtdp,B,cbtdp
q0043,dpo,cbtdp,"A

(أختار الاستج",dpo
q0044,dpo,cbtdp,"A

(أختار الاستج",dpo
q0045,dpo,cbtdp,A,dpo
q0046,dpo,cbtdp,"؟

7- كيف يمكنني تح",
q0047,dpo,cbtdp,A,dpo
q0048,cbtdp,dpo,"A

الاستجابة A هي",cbtdp
q0049,dpo,cbtdp,"A

(أفضل استجابة",dpo
