qid,a_model,b_model,raw_judgment,winner
q0000,cbtdp,dpo,"A

(أفضل استجابة",cbtdp
q0001,dpo,cbtdp,A,dpo
q0002,dpo,cbtdp,A,dpo
q0003,dpo,cbtdp,A,dpo
q0004,cbtdp,dpo,A,cbtdp
q0005,cbtdp,dpo,A,cbtdp
q0006,cbtdp,dpo,B,dpo
q0007,dpo,cbtdp,A,dpo
q0008,dpo,cbtdp,A,dpo
q0009,dpo,cbtdp,A,dpo
q0010,dpo,cbtdp,A,dpo
q0011,cbtdp,dpo,A,cbtdp
q0012,dpo,cbtdp,A,dpo
q0013,dpo,cbtdp,A,dpo
q0014,cbtdp,dpo,A,cbtdp
q0015,cbtdp,dpo,A,cbtdp
q0016,dpo,cbtdp,A,dpo
q0017,cbtdp,dpo,A,cbtdp
q0018,cbtdp,dpo,A,cbtdp
q0019,dpo,cbtdp,A,dpo
q0020,cbtdp,dpo,A,cbtdp
q0021,cbtdp,dpo,A,cbtdp
q0022,dpo,cbtdp,A,dpo
q0023,dpo,cbtdp,A,dpo
q0024,cbtdp,dpo,B,dpo
q0025,dpo,cbtdp,A,dpo
q0026,dpo,cbtdp,A,dpo
q0027,dpo,cbtdp,A,dpo
q0028,cbtdp,dpo,A,cbtdp
q0029,cbtdp,dpo,A,cbtdp
q0030,cbtdp,dpo,"A

(أفضل استجابة",cbtdp
q0031,cbtdp,dpo,"A

(أفضل استجابة",cbtdp
q0032,cbtdp,dpo,A,cbtdp
q0033,cbtdp,dpo,A,cbtdp
q0034,dpo,cbtdp,A,dpo
q0035,cbtdp,dpo,A,cbtdp
q0036,cbtdp,dpo,A,cbtdp
q0037,cbtdp,dpo,A,cbtdp
q0038,cbtdp,dpo,A,cbtdp
q0039,cbtdp,dpo,A,cbtdp
q0040,cbtdp,dpo,A,cbtdp
q0041,dpo,cbtdp,A,dpo
q0042,dpo,cbtdp,A,dpo
q0043,dpo,cbtdp,A,dpo
q0044,dpo,cbtdp,"A

الاستجابة A ت",dpo
q0045,dpo,cbtdp,A,dpo
q0046,dpo,cbtdp,A,dpo
q0047,dpo,cbtdp,A,dpo
q0048,cbtdp,dpo,A,cbtdp
q0049,dpo,cbtdp,A,dpo
