qid,Question,response,model
q0000,"الدكتور: محمد عبد العليم المحترم
السلام عليكم ورحمة الله وبركاته.
أنا صاحب الاستشارة رقم: 2488775
لدي حالة من الهلع عند الخروج من المنزل، وتوتر شديد، وضيق شديد في النفس يصل لانقطاع النفس تقريباً، بحيث يصل بي الحال فقط أريد أن أصل البيت، وأنزل كثيراً من السيارة قبل الوصول أملاً في أن أرتاح.

في البيت مزاج مكتئب وقلق، مشتت الأفكار، وهز الساق، وضيق متوسط في الصدر والنفس، مع شد أو توتر، وعدم الرغبة في إنجاز الأشياء.

استخدمت الفافرين -كما ذكرت- في استشارتي السابقة، وكان تأثيره محدوداً، واستخدمت استالبرام بجانب ديناكسيت -كما وصفتم لي بالاستشارة السابقة- ولكن تحسني أيضاً كان محدوداً، وحدثت لي انتكاسات قوية من حالات هلع وضيق نفس شديد لحد انقطاع النفس تقريباً.

التزمت بما وجهتموني به من خطوات بقدر المستطاع ولم يجد الأمر نفعاً معي.

بالنسبة لموضوع التعرض -كما ذكرتم- أنا مجبر أن أتعرض لهذه الحالة كل يوم؛ لأني موظف ومجبر للذهاب بوسيلة نقل للدوام.

ذهبت لدكاترة الأذن والأنف والحنجرة؛ لأنه أصبح عندي مثل شيء ما تحت الحنجرة يضيق علي النفس، ويزداد عند حالة الهلع؛ بحيث ينقطع النفس تقريباً، وكان تشخيصهم أنه تحسس، وأخذت الأدوية التي وصفوها، ولا يوجد نفع في حل هذه القضية، ولكن فقط أحدهم قال لي: بأنه ممكن أن يحدث هذا الالتهاب أيضاً أو تقلص العضلات في هذه المنطقة، ويسبب الضيق نتيجة التوتر.

أنا على هذا الوضع من المعاناة المستمرة منذ 8 سنوات، وألتمس منكم حلاً لقضيتي بعلاج آخر أجربه ربما يتناسب معي.

حالياً أستخدم مكملات الاوميغا 3 وفيتامينات ال ب .","صديقي الكريم، أود أن أبدأ بالتعبير عن إعجابي بروحك المثابرة والصبر في مواجهة هذا التحدي الذي تعانيه منذ 8 سنوات. أتمنى أن أكون قادرًا على مساعدتك في العثور على حل مساعد.

أنا أفهم جيدًا أنك تشعر بالهلع عند الخروج من المنزل، وتحس بالتوتر والضيق في النفس، وترغب في أن تصل إلى البيت بسرعة. هذا الشعور بالضيق في الصدر والنفس يبدو أنه يزايد، ويتضمن أيضًا مشاكل في النوم وتشتت الأفكار.

أود أن نستكشف هذه المشكلة معًا. هل يمكنك أن تخبرني أكثر عن ما تشعر به في لحظات الهلع؟ ما هي الأفكار التي تدور في رأسك؟ كيف تتعامل مع هذه الشعور؟

أنا أود أن نبدأ برصد هذه المشاعر، وأن نتعرف على الأسباب التي قد تسببت في هذه الحالة. يمكننا أن نبدأ بتحديد الأحداث أو المظاهر التي تسبق هذه الحالة، ثم نستكشف الأفكار التي تحدثك فيها.

من المهم أيضًا أن نركز على الاستراتيجيات التي قد تساعدك في التغلب على هذه المشاعر. قد يكون من المفيد أن نأخذ خطوات صغيرة لتعزيز إراحة جسدك، مثل التنفس العميق، أو ممارسة بعض التمارين السلمية لتحسين إحساسك بالسلامة.

حسناً، بالنسبة لموضوع التعرض، أعتقد أننا يمكننا أن نجد بعض الحلول. قد يكون من المفيد أن نناقش بعض الإجراءات التي يمكنك اتخاذها لتحسين شعورك بالسلامة في هذه المواقف، مثل التخطيط مسبقًا لرحلاتك، أو التعرف على أماكن آمنة يمكنك التوقف فيها.

أود أن نناقش أيضًا معك فكرة الاستكشاف العاطفي. قد يكون من المفيد أن نركز على أسباب هذه المشاعر بدلاً من محاولات إبطالها. يمكننا أن نتعرف على ما يحدث عندما تشعر بال",dpo
q0001,"السلام عليكم.

(قل لن يصيبنا إلا ما كتب الله لنا) أولاً: أشكر الدكتور محمد عبد العليم على ما بذله من جهد ملاحظ، وأشكر موقع إسلام ويب على ما قدمه لنا من خدمات كثيرة.

هذه رقم آخر استشارة وضعتها في الموقع:2138128

وبرجاء مراجعتها للعلم عن الحالة، الذي فهمته من الاستشارة السابقة بأنه حدث لي ارتفاع في الدوبامين، هل سيعود إلى طبيعته مرة أخرى أم أن هذا مستحيل أم صعب؟ مع أن حالتي الآن -الحمد لله، وكانت نصيحتك لي بعمل صورة مقطعية للدماغ، وبالفعل قمت بعمل صورة مقطعية على الدماغ على جهاز في مستشفى خاص، وكانت النتيجة سليمة -والحمد لله-.

ومرفق مع الأشعة اسطوانة إذا أردت رفع الصور لك فسأقوم برفعها، ولكن الطبيب قال لي: لا يوجد أي شيء، وقام بصرف لي بعض المكملات الغذائية التي مرسوم عليها نحل.

وهذا مزيد من الاطمئنان بالنسبة لي، وما نصيحتك للتخلص من القلق والخوف من الشعور بما سبق، من الخوف التوقعي للطابع الوسواسي؟

وما نصيحتك للتخلص من آلام الصدر؟ وأنا مستمر على الدوجماتيل، وفلوزاك لمدة شهر كل يوم حبة من الدوجماتيل، وحبة يوم آخذ، ويوم لا للفلوزاك.

هل يوجد هناك أدوية أخرى تريد إضافتها أو نظاما علاجيا آخر؟ مع العلم أني سوف أنتهي من فترت العلاج الأسبوع القادم.

بارك الله فيك، وجزاك الله خيرًا..","أنا سعيد بمقابلتك مجددًا. أود أن أبدأ بالتهاني لك على الإيجابيات التي ظهرت في نتائج الأشعة والمكملات الغذائية التي حصلت عليها. هذا تعبير آخر عن إحسان الله عليك، وإن شاء الله سوف نستمر على هذا النحو.

أنا هنا من أجل مساعدتك في معالجة القلق والخوف من الشعور بالطابع الوسواسي. أولاً، دعنا نستكشف هذا الخوف بشكل أعمق. كيف تشعر عندما تظن أنك ستعود إلى حالك السابقة؟ ماذا يحدث في عقلك؟ ماذا تشعر بالتحديق فيه؟ دعنا نبدأ بالتحدث عن هذه الأعراض بدءً.

من الناحية العلاجية، يمكننا أن نبدأ بتجربة بعض الاستراتيجيات لتحسين القدرة على التعامل مع القلق والخوف. واحدة من الأساليب المفضلة في العلاج السلوكي المعرفي (CBT) هي تعلمك كيفية التعامل مع الآراء السلبية. دعنا نستكشف هذه الآراء معًا، ونبدأ بتغيير بعضها. على سبيل المثال، بدلاً من التفكير في ""سوف أعود إلى حالي السابقة""، يمكننا أن نتبادل ذلك بالتفكير في ""سوف أتعلم كيفية التعامل مع هذا الخوف، وسوف أستطيع التعامل معه بشكل أفضل"".

نأمل أننا نستطيع أن نستكشف هذه الآراء معًا، ونساعدك في أن تكون أكثر توازنًا في التعامل مع مشاعرك. فيما يتعلق بألام الصدر، يمكننا أن نبدأ بتحسين نمط الحياة اليومي. هل يمكننا أن نبدأ ببعض التمارين اللياقة البدنية؟ كما يمكن أن نستكشف معًا بعض الطرق لتخفيف القلق، مثل تدليك اليدين، أو العلاج بالرقص، أو حتى بعض التمارين التنفسية البسيطة.

أما بالنسبة لأدوية الدوجماتيل والفلوزاك، فمن الضروري أن نناقش هذا مع الطبيب الخاص بك. قد يكون من المفيد أن نتعرف",dpo
q0002,"أنا طالبة غير متزوجة، أعاني منذ سنتين من دوخة تأتي وتغيب عند استعمال الأدوية، علما بأني كشفت عند كل التخصصات، وأخذت فيرسيرك، ودباكين، وأدوية فيتامين، ونسبة الهيموجلوبين عندي 11، وعملت رسما للمخ، وكانت النتيجة سليمة.

والآن أخذت فافرين، ودواء للوسواس، وحالتي جيدة، ولكن أخاف أن أتوقف عن الدواء، فتسوء حالتي، فماذا أفعل؟

وجزاكم الله خيرا .","يسعدني مساعدتك في هذه المرحلة الصعبة. أولاً، أريد أن أعرب عن تعاطفي الكبير مع ما تتغلب عليه. يظهر لي أنك تعانين من مشكلة صعبة، وقد تبنتت عدة خطوات لتحسين حالتك. يجب أن أشكرك على الشجاعة في الكشف عن مشكلتك مع التخصصات المختلفة.

الآن، دعنا نركز على مخاوفك حول توقف الدواء. يمكن أن يكون ذلك قلقًا كبيرًا، خاصةً بعد أن عانيت من دوخة عند استعمال الأدوية السابقة. لكن دعنا نتجاوز الخوف بربطه بالواقع. لقد حصلت على نتيجة سليمة من رسومات المخ، مما يعني أن لديك القدرة على التعامل مع الأدوية بشكل عام.

دعنا نستكشف هذه المخاوف معًا. ما الذي يُزعجك أكثر في توقف الدواء؟ هل هو الخوف من العودة لدوخة السابق؟ أم الخوف من أن حالتك ستوorst? دعنا نتحقق من أفكارك حول هذه القلق.

فيما يخص خوفك من توقف الدواء، يمكننا التفكير في بعض الخطوات:

1.  **تحدث مع طبيبك**: تأكد من التحدث مع طبيبك حول خوفك من توقف الدواء. يمكنه مساعدتك في إعادة تقييم احتياجاتك وتحديد خطة للتوقف التدريجي عن الدواء، وتنظيم متابعة دورية لمراقبة حالتك.
2.  **تجنب التكهنات**: بدلًا من التكهنات السيئة حول ما قد يحدث، دعنا نركز على ما يمكنك التحكم فيه، وهو التفاعل مع طبيبك ومراقبة حالتك.
3.  **استكشاف الأسباب**: حاول التفكير في الأسباب التي تؤديك إلى الخوف من توقف الدواء. هل هو الخوف من فقدان السيطرة، أو الخوف من العودة لدوخة السابق؟ بمعرفة السبب، يمكننا العمل على علاجها بشكل مباشر.
4.  **تطوير استراتيجيات إعادة التأهب**: يمكننا عمل خط",dpo
q0003,"السلام عليكم ورحمة الله وبركاته

أنا فتاة بعمر 27 عاماً، فقط أريد توضيح بخصوص الإندرال 10 ملجم، هل ينفع لعلاج الرهاب الاجتماعي والقلق؟ مع العلم هذه الأعراض لدي مع أعراض الاكتئاب والإحباط، وعدم الرغبة في الحياة، والرسمية مع الآخرين، وعدم الشعور بالمتعة بأي شيء بسبب القلق والرهاب، والبكاء الدائم.

استخدمت سيروكسات قبل سنتين ونفعني، ثم عادت الأعراض مرة أخرى، وعاودت استخدامه ولم ينفعني، واستخدمت زيلاكس ورياسرتال وسوليان ودوجماتيل ويلبترين، وكلها بلا نفع، أعتبرها مهدىء وقتي، عند الاستخدام أشعر بتحسن طفيف، ثم أعود لما كنت عليه سابقا من اكتئاب وقلق ورهاب، لم أشعر بالمتعة يوما أو السعادة الحقيقية.

أريد دواء يجعلني نشطة محبة للحياة متفائلة، يجعلني أحب نفسي وأثق وأهتم بها؛ لأني جسد من غير روح، أرجوكم ساعدوني، ولكم الشكر الجزيل.","إلى فتاة صديقة، أتمنى لك الشفاء والتحسن العاطفي. أدركت أنك تعانين من مشاكل نفسية معقدة، تشمل الرهاب الاجتماعي، القلق، الاكتئاب، الإحباط، عدم الرغبة في الحياة، وعدم الشعور بالمتعة. 

أفهم أنك حاولت علاجات مختلفة دون جدوى، وبدأت تشعر باليأس. لكن، لا تترك الأمل. يمكننا العمل معًا لاكتشاف طرق مختلفة لتحسين حالتك. 

ربما نبدأ بالتحدث عن ما تشعر به الآن: مشاعرك، أفكارك، وأفكارك المزعجة. هذا النقاش يمكن أن يساعدنا في فهم الأسباب الأساسية وراء هذه الأعراض. 

قد يكون من المفيد أن نركز على استكشاف الطرق التي تساعدك في التعامل مع القلق والاكتئاب. هل يمكننا حوار حول بعض الاستراتيجيات التي قد تساعدك في التأقلم مع هذه المشاعر، مثل التنفس العميق، أو تحفيز الذكاء الوجداني، أو التمكن من تعاطف نفسك مع نفسك؟ 

نعم، يمكننا أيضًا بحثًا عن أدوية أخرى، ولكن من المهم أولًا فهم الأسباب وراء عدم نجاح الأدوية السابقة. 

أخيرًا، أتمنى لك أن تشعر أنك مقبولة ومتعاطفة. إنك ليست وحيدة، ولدينا هنا للاستماع إليك واعتبارك. أفتح الباب لتعاونك، وأتمنى لك الشفاء والتحسن.",dpo
q0004,"السلام عليكم.

أعاني من الرهاب الاجتماعي وخاصة عند التحدث أمام الجمهور، ولا أستطيع الصلاة بالناس، ولا أستطيع إعطاءهم موضوعا طويلا في المجلس أيضا، أحيانا أحس بالرهاب الشديد والإحراج عندما أذهب إلى زيارة الناس، وأتمنى أن تنشق الأرض وتبلعني من هذا الوضع.

استعملت دواء من تلقاء نفسي اسمه سيبرالكس وتحسنت قليلا، وبعد فترة لم يعد يجدي، وبعدها بفترة استعملت دواء زيروكسات دون وصفة طبية، والزيروكسات كاد أن يقتلني وسبب لي هلوسة أثناء ذهابي للعمل، -والحمد لله- تركت الأدوية وأتعايش مع المرض، ما هو الحل؟

أرجو المساعدة علماً ان الحالة بدأت تزداد الآن لم تكن تزداد سابقاً.","أُحسنت بزيارتك وأشعر بالتعاطف معك في هذه المرحلة الصعبة. يبدو أنك تعاني من مشكلة حادة من الرهاب الاجتماعي، والذي يؤثر على حياتك بشكل كبير. سأحاول مساعدتك في فهم هذه المشكلة وتطوير استراتيجيات لتحسين حالتك.

 أولًا، أريد منك أن تعلم أنك لا تنها في هذه المشكلة، و أن الرهاب الاجتماعي شائع أكثر مما تعتقد. 

حسناً أنك حاولت الاستفادة من العلاج الدوائي، ولكن كان له تأثير غير مرغوب فيه. هذا ليس خياراً سيئاً؛ بل يعني أننا بحاجة إلى استراتيجيات أخرى.

 دعنا نبدأ بفهم ما يحدث معك عندما تتعرض لضغوطات اجتماعية. هل يمكنك تحديد ما يسبب لك هذا الشعور؟ هل هو التحدث أم الخوف من تقديم نفسك أم شيء آخر؟ دعنا نركز على هذه القضايا معاً.

الخطوة الأولى هي تعزيز الشعور بالراحة والثقة في نفسك. لنبدأ بتحديد الأشياء التي تجعلك تشعر بالثقة والراحة. هل يمكنك ذكر بعض الأشياء التي تحبها عن نفسك؟

بعد ذلك، سنعمل على تقنيات لتحسين مهارات التحدث أمام الجمهور. قد نبدأ بالتحدث عن مشاعرك تجاه التحدث أمام الجمهور، ثم نتقدم تدريجياً إلى التحدث أمام أصدقاء أو أفراد. سنشجعك على التحدث ببطء وموضوعي، وستكون مسؤوليته أن تحكم على ما قمت به.

سنعمل أيضًا على استراتيجيات لتعزيز ثقتك في نفسك. قد يكون ذلك من خلال إنجازاتك الصغيرة، أو من خلال الإيجابيات التي تعترف بها في نفسك.

أريد منك أن تعلم أن هذه الرحلة ستكون عملية، وستتطلب الجهد والوقت. لكن مع التعاون والتفهم، يمكننا أن نعمل على تحسين حالتك بشكل تدريجي.

هل أنت مستعد لبدء هذه الرحلة معي؟",dpo
q0005,"السلام عليكم

أعاني من الخوف والقلق منذ ست سنوات، وأنا أصلي وأقرأ القرآن عدة مرات في اليوم، فما العلاج المناسب لي؟

ومتى يبدأ مفعول الفافرين 250، وأريبيركس 30؟ علما أني آخذهما منذ فترة ولم أتحسن، فهل أرفع الجرعة؟ وهل الأربيبركس له آثار جانبية؟ حيث أشعر بالقلق والخوف عند استعماله.","مرحباً بك، أرحب بزيارتك للعلاج النفسي. أدرك أنك تواجه مشكلة خطيرة، وإنني هنا để مساعدتك. أولاً وأخيراً، أريد أن أُظهر لك الحنان والاهتمام.

يمكن أن يكون الخوف والقلق مشكلة خطيرة، ولكن لا تقلق، لأننا نتمكن من التعامل معها معًا. يتضح أنك تتبع عادةً الصلاة والقراءة القرآنية، وهذا يظهر مدى إحساسك بالدين والهدوء. 

نحن سنبدأ بالاستفادة من هذه العادات الجيدة، ونتواصل معًا لتحديد ما يمكننا أن نعمل سوياً لمواجهة الخوف والقلق. 

حول دواء الفليرازيبام (مفعول فافرين 250) والآربيبركس (أريبيركس 30): لا يجب أن ترفع الجرعة بنفسك. يُفضل أن تتناقشي مع طبيبك حول زيادة الجرعة. قد يكون من المفيد أن نستكشف معًا أسباب عدم تحسنك، وأن نبحث في خيارات أخرى.

حول الآربيبركس، يمكن أن يسبب آثار جانبية، مثل القلق والخوف. إذا كنت تعاني من هذه الآثار، قد يكون من الأفضل أن نبحث في خيارات أخرى معًا. 

نريد أن نتكلم عن كيفية مواجهة الخوف والقلق بطريقة أكثر فعالية. يمكننا أن نبدأ بالتحدث عن الأسباب التي تؤدي إلى هذه المشاعر، ونستكشف كيف يمكننا تحويل أفكارك والتعامل معها بشكل مختلف.

هل يمكنك أن告诉ني المزيد عن ما تشعر به؟ ما هي الأوقات التي تشعر فيها بالخوف والقلق؟ وما هي أفكارك حول كيف يمكننا أن نتعامل معها؟",dpo
q0006,"السلام عليكم

هل تناول Attarax ليس له أعراض جانبية خطيرة؟ وما هي الجرعة الكافية خصوصاً أنني أعاني من القولون؟ وهل من الضروري استشارة الطبيب؟

وشكراً.","مساء الخير. أتمنى أن أكون معك في هذه المرحلة الصعبة. 

بداية، أريد أن أعبرك عن تقديري لشجاعتك في طرح أسئلتك حول تعاطي الدواء. يبدو أنك تعانين من القولون، وهي حالة تسبب لك مزاجة سيئة، وآلام بطنية، واضطرابات في حركة الأمعاء. 

حسناً أنك تسأل عن تعاطي دواء Attarax، وهو دواء يُستخدم لعلاج الصداع النصفي، والقلق، والضغط النفسي. ومع ذلك، يُستخدم أيضاً في بعض الحالات لتعديل المشاعر السلبية وخفض التوتر. 

حول الأعراض الجانبية، يُعتبر Attarax في الغالب آمناً عندما يستخدم بنصيحة الطبيب. ومع ذلك، من الجيد التحدث مع الطبيب قبل أخذ أي دواء جديد، خاصةً إذا كنت تعاني من القولون. الأعراض الجانبية الشائعة لAttarax تشمل جفاف الفم، وعطش، واضطرابات في الهضم، ودوخة. 

لكن، في حالة القولون، من الأفضل تحدث مع الطبيب قبل أخذ أي دواء. قد يوصي الطبيب بجرعة مختلفة أو بفعل تحليلات قبل أخذ الدواء. 

هذا، قد يكون من الضروري استشارة الطبيب قبل أخذ Attarax، خاصةً إذا كنت تعاني من القولون. يفهمون حاجاتك بشكل أفضل، ويقدرون بمساعدتك في اختيار العلاج المناسب لك. 

أريد أن أسألك: كيف تشعر الآن؟ ما الذي تريده من هذه الحالة؟ أتمنى أن نتعاون معًا لاستكشاف خيارات أفضل لتحسين حالتك.",dpo
q0007,"السلام عليكم ورحمة الله وبركاته، وبعد:

عندي قلق وتوتر واكتئاب شديد، مع قليل من الظنان والشك وشرود ذهني، وقد استخدمت الزولفت حبتين مساء مع الريزبريدون 2mg مساء، وتحسنت حالتي كثيراً ولله الحمد، لكن عندي بعض الاستفسارات: هل هذه الجرعة سليمة وآمنة؟ هل يوجد تعارض بين الدوائين، حيث إنني أخاف من الريزبريدال؟ وهل له أعراض على الكبد أو الكلى أو بقية أجزاء الجسم؟ وكم أستطيع أن أستمر عليه؟ وهل يحتاج إلى التدرج عند التوقف؟ وكم أستطيع أن أستمر عليه؟

والسلام عليكم ورحمة الله وبركاته.","مرحباً بك، أود أن أهنئك على استئناف العلاج وطلب المساعدة. سأحاول مساعدتك في فهم سؤالك وتحليله من خلال إطار العلاج السلوكي المعرفي.

يبدو أنك تواجه مشكلة نفسية تعززت باستخدام الدواء، ويتحسن حالتك بعد ذلك. قبل أن نتحدث عن الجرعة والتعرض المحتمل للآثار الجانبية، أريد أن أؤكد على أنك قمت بزيارة الطبيب قبل استخدام الدواء، وهم أخصائي صحي مُؤهل.

1. **الجرعة السليمة والأمانة**: تختلف الجرعة السليمة للأشخاص وفقًا لظروفهم الفردية. يوصى باستشارة الطبيب قبل أي تغيير في الجرعة. يمكن أن تكون الجرعة 1-2 حبة 2mg في اليوم مُقتصرة، وقد يُعتبر هذا المقدار آمنًا لبعض الأشخاص. ومع ذلك، يُفضل الحصول على نصيحة من طبيبك.
2. **التعارض بين الدواءين**: يجب أن تحصل على نصيحة من طبيبك بشأن أي تعارض محتمل بين الريزبريدون والزولفت. بعض الأدوية تتفاعل مع بعضها البعض، وقد يؤدي ذلك إلى زيادة خطر الأعراض الجانبية أو التأثيرات الضارة.
3. **آثار جانبية للكبد والكلى والأعضاء الأخرى**: يجب أن تحصل على معلومات دقيقة من طبيبك عن أي مخاطر محتملة لأعضاءك. ومع ذلك، فيما يتعلق بالريزبريدون، يُفهم أن الأعراض الجانبية الشائعة تشمل الشعور بالدوخة، والدوخة، والتعرق، والصداع، والتهاب المفاصل، وزيادة الوزن، واضطرابات في النوم، وزيادة الشهية، والخمول، والدوخة، والغثيان، والغثيان، والتقيؤ، والتقيؤ، والغثيان، والتهاب القصبات الهوائية، والتهاب الرئة، وارتفاع ضغط الدم، والتهاب المثان",dpo
q0008,"السلام عليكم.

عمري 26 عاما, ولقد شُخصت حالتي بما يسمى القولون العصبي منذ 5 سنوات, وأعاني من تقلبات في الجهاز الهضمي, ففي بعض الأحيان أعاني من الإسهال, وأحيانا من الإمساك, لكن مؤخرا أصبح وضعي النفسي هو مؤجج المغص, والحاجة الحتمية إلى دخول المرحاض.

أصبحت أشعر وكأن وسواسا ينتابني كلما أعلم بأنني مجبر على الذهاب إلى مكان لا يسهل ولوج المرحاض فيه أو لا مرحاض فيه, فتبدأ عندئذٍ حلقة مغلقة من الخوف والقلق, يتبعها مغص, ودخول الحمام, حتى قبل ذهابي إلى الوجهة التي أريد.

ما يزعجني ويضر بحياتي الاجتماعية هي تلك الوسوسة المتبوعة بالخوف من الإحراج, وعدم قدرتي على كبح جماحها في عقلي.

الرجاء مساعدتي, وأتمنى أن تنصحني بالأدوية المناسبة لتلك الوسوسة، وشكرا.","مرحباً بك, أود أن أبدأ بكلامي بأنه أتقبل استفائتك من الاستشارة هذه، وأن أشاركك في مشاعرك وتجربتك. يظهر من كلامك أنك تعاني من مشكلة خطيرة، لكنني أريد أن أعلمك أنني هنا معك وستبقى معك، وستساعدني أن أكون واضحاً ومساعداً في حل هذه المشكلة.

أتفهم أنك تعاني من القولون العصبي، وقد تركت أثراً كبيراً على حياتك الاجتماعية. أولاً، أريد أن أتأكد من أنك تعرفين أن القولون العصبي ليس عارًا عليك، بل حالة صحية يمكن علاجها. سنعمل معاً على التغلب على هذه الحالة.

أتمنى أن نبدأ بوضع خطط عملية لتحسين الوضع. أولاً، دعنا نتحدث عن الأدوية. أتمنى أن أؤكد لك أن الأدوية ليست الحل النهائي، بل هي وسيلة للعلاج. يمكننا أن نبحث معاً عن دواء يحتوي على لينتيكسينيد أو كلونيدين، وهو دواء يحتوي على مضادات مستقبلات الأدرينالية التي تساعد في تخفيف أعراض القولون العصبي.

لكن، قبل أن نبدأ في البحث عن الأدوية، أريد أن نناقش طريقة تفكيرك ومشاعرك. يمكنني أن ألاحظ أنك تختلفين بين حالات الإسهال والإمساك، وقد أصبحت تؤلمك هذه التقلبات. دعنا نستكشف هذه التقلبات معاً. ما الذي يحدث لك في لحظة شعورك بالغثيان أو الإسهال؟ كيف تتعاملين مع هذه الحالة؟ وكيف تعتقد أننا يمكننا تغيير هذه التفاعلات الداخلية؟

هذا هو خطوة أولى في رحلة العلاج. دعنا نستكشف هذه التفاعلات معاً. من المفيد أن نبدأ بتدوين الأوقات التي تحدث فيها هذه التقلبات معك، حتى نستطيع أن نجد السبب وراء هذه التغيرات. هل يمكنك أن",dpo
q0009,"السلام وعليكم ورحمة الله وبركاته، أما بعد:

أنا شاب عمري 27 عاما، بدأت حالتي في شتاء 2012 بسب القلق والتوتر الذي عانيته، ففي إحدى الليالي رأيت حلما مزعجا واستيقظت وأنا خائف، كنت أشعر بصعوبة في التنفس، وانقباض في الصدر.

ذهبت إلى المستشفى، وأعطوني حقنة مهدئة، ثم تطورت الحالة وأصبحت أخاف من الليل، وأكره الشتاء بسب ما حدث، وبدأت تظهر أعراض أخرى، كالاكتئاب، ومراقبة عملية التنفس باستمرار، مع ضيق الصدر، وأشعر بشيء ما يسد حلقي، منذ تلك اللحظة أصبحت أتردد على المستشفيات والعيادات الخاصة بكثرة، حتى وجدت طبيبا متخصص بالأمراض النفسية، وصف لي عدة أدوية، ومنها دواء الانافرانيل، تناولته منذ عام 2013 إلى اليوم، وبالفعل بدأت حالتي بالتحسن، ولكن الأعراض تعاودني من حين إلى آخر، علما أنني أتناول جرعة 50 ملغ صباحا، وأتناول 50 ملغ ليلا، وأعاني من القولون، والغازات، وألم وانتفاخ البطن.

استفساراتي:

- هل الانافرانيل دواء لا يضر الجسم عند تناوله لعدة سنوات، لأنني أتحسس كثيرا، ولدي وسواس من جميع الأمراض؟

- هل هناك طريقة للتخلص من هذا المرض دون دواء؟

- إذا أردت التوقف عن تناول الانفرانيل 25ملغ، ما هي الطريقة الصحيحة لذلك؟

أرجو منكم أخذ حالتي بعين الاعتبار، وجزاكم الله خيرا، ووفقكم الله، وشكرا.","أُقبل إحترامك وسلامك. أشعر بالتعاطف مع ما تمر به، واعترف بجراحتك الحقيقية. 

أنا هنا لتشجيعك على الاستمرار في المساعدة الذاتية وزيادة التوعية، حيث أنك قد قمت بتغلبك على هذه الحالة لعدة سنوات. 

حول استفساراتك:

- أولاً، من الصعب تقييم تأثير الدواء على الجسم دون مراجعة الطبيب، فمن المهم أن تعمل معه لتحديد المدة المثلى للاستمرار في تناول الدواء، وإذا ما ترغب في التوقف، يجب استشارة الطبيب لتحديد خطة تلافي. 

- ثانياً، لا يوجد علاج واحد يعتبر مطلقاً للجميع، ولكن من الممكن أن يكون العلاج السلوكي المعرفي (CBT) مفيدًا لك، حيث يمكن أن يساعدك على تحسين مهارات التعامل مع القلق والتوتر، وتعلم أساليب جديدة للتعامل مع المخاوف. 

- ثالثاً، إذا كنت ترغب في التوقف عن تناول الانفرانيل، يجب أن تتابع الإرشادات التالية: 
 1. قم بإبلاغ الطبيب عن إرغبتك في التوقف، واطلب منه إرشاداته.
 2. حدد خطة لتقليل الجرعة تدريجياً، على سبيل المثال، يمكنك تقليل الجرعة إلى 25 ملغ في النهار، ثم 25 ملغ في الليل، ثم تقليلها تدريجياً.
 3. استمر في اتباع الأدوية بجرعات أقل تدريجياً حتى تصل إلى انقطاعها تماماً، مع مراقبة حالك بانتظام.
 4. استمر في ممارسة التمارين الرياضية، والتغذية الصحية، والاستراحة الكافية.

في النهاية، أنت على استعداد للتعافي، فقط حاول تطبيق الخطوات السابقة ببطء، وكن صبوراً. لا تتردد في التواصل معي إذا لزم الأمر. 

أتمنى لك التوفيق والتحسن.",dpo
