qid,Question,response,model
q0000,"الدكتور: محمد عبد العليم المحترم
السلام عليكم ورحمة الله وبركاته.
أنا صاحب الاستشارة رقم: 2488775
لدي حالة من الهلع عند الخروج من المنزل، وتوتر شديد، وضيق شديد في النفس يصل لانقطاع النفس تقريباً، بحيث يصل بي الحال فقط أريد أن أصل البيت، وأنزل كثيراً من السيارة قبل الوصول أملاً في أن أرتاح.

في البيت مزاج مكتئب وقلق، مشتت الأفكار، وهز الساق، وضيق متوسط في الصدر والنفس، مع شد أو توتر، وعدم الرغبة في إنجاز الأشياء.

استخدمت الفافرين -كما ذكرت- في استشارتي السابقة، وكان تأثيره محدوداً، واستخدمت استالبرام بجانب ديناكسيت -كما وصفتم لي بالاستشارة السابقة- ولكن تحسني أيضاً كان محدوداً، وحدثت لي انتكاسات قوية من حالات هلع وضيق نفس شديد لحد انقطاع النفس تقريباً.

التزمت بما وجهتموني به من خطوات بقدر المستطاع ولم يجد الأمر نفعاً معي.

بالنسبة لموضوع التعرض -كما ذكرتم- أنا مجبر أن أتعرض لهذه الحالة كل يوم؛ لأني موظف ومجبر للذهاب بوسيلة نقل للدوام.

ذهبت لدكاترة الأذن والأنف والحنجرة؛ لأنه أصبح عندي مثل شيء ما تحت الحنجرة يضيق علي النفس، ويزداد عند حالة الهلع؛ بحيث ينقطع النفس تقريباً، وكان تشخيصهم أنه تحسس، وأخذت الأدوية التي وصفوها، ولا يوجد نفع في حل هذه القضية، ولكن فقط أحدهم قال لي: بأنه ممكن أن يحدث هذا الالتهاب أيضاً أو تقلص العضلات في هذه المنطقة، ويسبب الضيق نتيجة التوتر.

أنا على هذا الوضع من المعاناة المستمرة منذ 8 سنوات، وألتمس منكم حلاً لقضيتي بعلاج آخر أجربه ربما يتناسب معي.

حالياً أستخدم مكملات الاوميغا 3 وفيتامينات ال ب .","مرحباً بكم، أشكركم على استكمال الاستشارة السابقة ووضعك في عينай. أولاً وأخيراً، أتمنى أن أجدك في أفضل حالاتك. 

بما أنك قد حاولت عدة أنواع من العلاجات السابقة وتمتلك تجربة واسعة في هذا المجال، سوف نركز على استراتيجيات جديدة يمكن أن تساعدك. 

**1.** أولاً، أود أن أتأكد من أنك تشعر بالدعم والقبول في هذه الاستشارة. أتعرف أنك مرغوب في حلول لضغوطاتك اليومية، وأنا هنا معك. 

**2.** يمكنني أن أدرجك في مجموعة من الأنشطة التي تساعدك في التخفيف من حالات الهلع عند الخروج من المنزل. يمكننا بدء بركوب السيارة في أماكن خالية، أو الخروج في رحلات قصيرة، أو ممارسة تمارين التنفس العميق. نركز على تحسين القدرة على التحكم في تفاعلك مع الأماكن والمناطق التي تثير الهلع لديك.

**3.** بالنسبة لضغط النفس في البيت، يمكننا تعديل خطواتك لتحسين بيئة العمل والراحة. فكر معي في بعض التغييرات في الأنشطة اليومية التي يمكن أن تساعدك في الشعور بالراحة والهدوء. مثل: الاستماع إلى الموسيقى الهدوء، أو ممارسة اليوجا، أو القراءة في فترات الصباح، أو وضع بعض النباتات في المنزل التي تساعد في تقليل التوتر.

**4.** حول مشكلة الضيق تحت الحنجرة، أتمنى أن تكون الأدوية التي وصفها دكتورك مفيدة. قد نحتاج لزيادة جرعة أو نوعية أخرى. يمكننا أيضًا التأكد من أنك تتبع نصائحه حول كيفية استخدامها بشكل أفضل. فيما يخص التحسس، قد يكون هناك حاجة إلى فحص إضافي من متخصص.

**5.** أخيرًا، سوف أود أن نركز على استكشاف الأسباب التي قد تسبب هذه التوترات. كيف",dpo
q0001,"السلام عليكم.

(قل لن يصيبنا إلا ما كتب الله لنا) أولاً: أشكر الدكتور محمد عبد العليم على ما بذله من جهد ملاحظ، وأشكر موقع إسلام ويب على ما قدمه لنا من خدمات كثيرة.

هذه رقم آخر استشارة وضعتها في الموقع:2138128

وبرجاء مراجعتها للعلم عن الحالة، الذي فهمته من الاستشارة السابقة بأنه حدث لي ارتفاع في الدوبامين، هل سيعود إلى طبيعته مرة أخرى أم أن هذا مستحيل أم صعب؟ مع أن حالتي الآن -الحمد لله، وكانت نصيحتك لي بعمل صورة مقطعية للدماغ، وبالفعل قمت بعمل صورة مقطعية على الدماغ على جهاز في مستشفى خاص، وكانت النتيجة سليمة -والحمد لله-.

ومرفق مع الأشعة اسطوانة إذا أردت رفع الصور لك فسأقوم برفعها، ولكن الطبيب قال لي: لا يوجد أي شيء، وقام بصرف لي بعض المكملات الغذائية التي مرسوم عليها نحل.

وهذا مزيد من الاطمئنان بالنسبة لي، وما نصيحتك للتخلص من القلق والخوف من الشعور بما سبق، من الخوف التوقعي للطابع الوسواسي؟

وما نصيحتك للتخلص من آلام الصدر؟ وأنا مستمر على الدوجماتيل، وفلوزاك لمدة شهر كل يوم حبة من الدوجماتيل، وحبة يوم آخذ، ويوم لا للفلوزاك.

هل يوجد هناك أدوية أخرى تريد إضافتها أو نظاما علاجيا آخر؟ مع العلم أني سوف أنتهي من فترت العلاج الأسبوع القادم.

بارك الله فيك، وجزاك الله خيرًا..","يسعدني مساعدتك في هذه المرحلة الصعبة من حياتك. أرحب بكم في هذه الاستشارة.

أولاً، أشكرك على تعبيرك بالسalam وبالتضحك في بداية الاستشارة. هذا إشارة جيدة على أنك تعيش حالياً في حالة أفضل.

حسناً أنك قمت بتلبية نصيحتي السابقة بفحص الدماغ، وبالفعل إن وجود النتائج السليمة يزيد من الأطمئنان. ومع أن الطبيب لم يجد أي شيء، فإن هذا لا يعني أن الارتفاع في الدوبامين لن يعود إلى طبيعته. قد يكون هناك عدة أسباب للارتفاع، ولكن مع اتباع النصائح التي سأقترحها، يمكننا العمل على استعادة التوازن.

أولاً، أود أن أتأكد من أنك قمت بتطبيق النصائح السابقة، مثل ممارسة الرياضة، تقليل الاستخدام للإنترنت، وتحسين النوم. كيف كان تقديرك لتجربة هذه النصائح؟

ثانياً، من المهم أن نعمل على تحسين نمط حياتك. يمكننا البدء ببعض التغييرات الصغيرة، مثل:

1.  تقليل استخدامك للإنترنت قبل النوم.
2.  ممارسة الرياضة بانتظام، مثل المشي أو ركوب الدراجة.
3.  تناول طعام متوازن.
4.  الحد من الاستخدام الزائد للكافيين.
5.  ممارسة التأمل أو اليوجا لتهدئة النفس.

أتمنى أن نبدأ ببعض هذه التغييرات وتحسين نمط حياتك، وإذا كنت بحاجة إلى أي دعم أو تحدّثات، أرحب بذلك.

بالنسبة لآلام الصدر، يمكن أن تكون هذه الألم أحد التعبيرات عن القلق. يمكننا العمل على إدارة هذه الآلام عن طريق:

1.  التأمل: يمكنك ممارسة التأمل اليومي لتهدئة النفس وتقليل التوتر.
2.  التأمل بالهواء: استنشاق الهواء ببطء وتحديد المكان الذي يغادر فيه الهواء",dpo
q0002,"أنا طالبة غير متزوجة، أعاني منذ سنتين من دوخة تأتي وتغيب عند استعمال الأدوية، علما بأني كشفت عند كل التخصصات، وأخذت فيرسيرك، ودباكين، وأدوية فيتامين، ونسبة الهيموجلوبين عندي 11، وعملت رسما للمخ، وكانت النتيجة سليمة.

والآن أخذت فافرين، ودواء للوسواس، وحالتي جيدة، ولكن أخاف أن أتوقف عن الدواء، فتسوء حالتي، فماذا أفعل؟

وجزاكم الله خيرا .","أحسنت بتقديم هذه المشكلة، وهذا تعبير عن الشجاعة والتحلي بالصبر. أود أن أتناول معك هذه القضية بكل احترام وتفهم.

بداية، أريد أن أعترف بكيفية تشعر، أنك تعاني من دوخة عند استعمال الأدوية، وإنك قد بذلت جهدًا كبيرًا في البحث عن حلول، وبدأت بالفعل بتغيير العلاج لتحسين حالتك. هذا كل هذا الشغف والتحلي بالصبر يظهر قوة الشخصية والتفاؤل.

لقد قمت بالفعل ببعض الخطوات الصحيحة، مثل:

1.  **البحث عن الدعم الطبي:** قمت بالحصول على التشخيص من التخصصات المختلفة، والتحقق من فقر الدم عن طريق فحص مخ، وتحديد النسبة الصحيحة للهيموجلوبين.
2.  **التغييرات في العلاج:** قمت بتغيير الأدوية، مثل الانتقال من فيرسيرك إلى فافرين، والاستخدام مندوى للوسواس، الأمر الذي أظهر تحسنًا في حالتك.
3.  **التحلي بالصبر:** أنت لا تخاف من التوقف عن الدواء، بل تتطلع إلى المزيد من التحسين.

حسناً، لقد قمت بالخطوات الصحيحة. الآن، دعونا نناقش كيف يمكننا التعامل مع مخاوفك. قد يكون خوفك من التوقف عن الدواء بسبب مخاوف حول سوء حالة صحية قد يحدث، أو أنك تفكر في كيفية التعامل مع هذه المخاوف.

**خطوات لتعزيز التحسن:**

1.  **التحدث مع طبيبك:** يجب أن نتحدث مع طبيبك حول مخاوفك. يمكنه توفير التوجيه والارشاد حول كيفية التوقف عن الدواء بشكل آمن. قد يكون من المفيد أن يتكلم معك حول الخيارات البديلة، أو كيفية تدريجي التوقف عن الدواء.
2.  **التعلم عن الدواء:** يمكنك أن تسأل طبيبك عن دواء فافرين، ودواء للوسواس. تفهم كيف يعمل، وما هي",dpo
q0003,"السلام عليكم ورحمة الله وبركاته

أنا فتاة بعمر 27 عاماً، فقط أريد توضيح بخصوص الإندرال 10 ملجم، هل ينفع لعلاج الرهاب الاجتماعي والقلق؟ مع العلم هذه الأعراض لدي مع أعراض الاكتئاب والإحباط، وعدم الرغبة في الحياة، والرسمية مع الآخرين، وعدم الشعور بالمتعة بأي شيء بسبب القلق والرهاب، والبكاء الدائم.

استخدمت سيروكسات قبل سنتين ونفعني، ثم عادت الأعراض مرة أخرى، وعاودت استخدامه ولم ينفعني، واستخدمت زيلاكس ورياسرتال وسوليان ودوجماتيل ويلبترين، وكلها بلا نفع، أعتبرها مهدىء وقتي، عند الاستخدام أشعر بتحسن طفيف، ثم أعود لما كنت عليه سابقا من اكتئاب وقلق ورهاب، لم أشعر بالمتعة يوما أو السعادة الحقيقية.

أريد دواء يجعلني نشطة محبة للحياة متفائلة، يجعلني أحب نفسي وأثق وأهتم بها؛ لأني جسد من غير روح، أرجوكم ساعدوني، ولكم الشكر الجزيل.","أحسنت بتوضيح مشكلتك، أشعر بالتعاطف معك. أولاً، أود أن أقول لك أنك لم تسير على خطأ في محاولاتك للعلاج، لأن كل ما فعلته كان محاولة للبحث عن السعادة والتحسن. أريد أن أشرح لك كيف يمكننا استخدام العلاج السلوكي المعرفي لتحسين حالتك.

أنا هنا لاستكشاف أفكارك ومخاوفك، ليس لدينا خياراً سوى التعامل مع هذه المشاكل معًا. 

بداية، يبدو أنك تعاني من مجموعة من الأعراض مثل الرهاب الاجتماعي والقلق والاكتئاب. أولاً، دعونا نستكشف هذه الأعراض معًا. يمكننا أن نبدأ بتحديد الأوقات التي تزيد من شعورك بالقلق والاكتئاب. هل يمكنك أن تعرّفي هذه الأوقات؟ ماذا تفعل في هذه الأوقات؟ كيف تشعر؟

كما ذكرت أنك تستخدم العديد من الأدوية، ولكن لم تجد النتائج المرغوبة. دعونا نبحث معًا عن كيفية تحسين هذه الأدوية أو اكتشاف خيارات أخرى. هل يمكن أن نستكشف معًا كيف يمكنك التغلب على هذه الأعراض من خلال تغيير السلوك؟

نحن هنا لتحسين حالتك، وليس لتحسينك، لأنك شخص ممتازة. أريد أن نكشط هذه الأعراض معًا، ونتحسن معًا.

من المهم أن نبدأ بتحديد أهدافك. ماذا تريد تحقيق من خلال العلاج؟ هل تريد أن تتحسن حالتك بشكل عام؟ أو تريد أن تتعلم كيف تتعامل مع القلق والاكتئاب؟ أريد أن نتعاون معًا لتحقيق هذه الأهداف.

يمكننا أن نبدأ ببعض الاستراتيجيات مثل:

1.  العناية بنفسك: دعونا نبحث معًا عن كيفية العناية بنفسك. ماذا تفعل لتحسين شعورك بالراحة والرضا؟ كيف يمكنك تحسين نمط حياتك اليومي لتحقيق هذا؟
2.  التعامل مع",dpo
q0004,"السلام عليكم.

أعاني من الرهاب الاجتماعي وخاصة عند التحدث أمام الجمهور، ولا أستطيع الصلاة بالناس، ولا أستطيع إعطاءهم موضوعا طويلا في المجلس أيضا، أحيانا أحس بالرهاب الشديد والإحراج عندما أذهب إلى زيارة الناس، وأتمنى أن تنشق الأرض وتبلعني من هذا الوضع.

استعملت دواء من تلقاء نفسي اسمه سيبرالكس وتحسنت قليلا، وبعد فترة لم يعد يجدي، وبعدها بفترة استعملت دواء زيروكسات دون وصفة طبية، والزيروكسات كاد أن يقتلني وسبب لي هلوسة أثناء ذهابي للعمل، -والحمد لله- تركت الأدوية وأتعايش مع المرض، ما هو الحل؟

أرجو المساعدة علماً ان الحالة بدأت تزداد الآن لم تكن تزداد سابقاً.","مرحبًا بك، أود أن أبدأ بتقدير إعجابك لقرارك بالتراجع عن الأدوية بعد تجربة سيئة، هذا قرار صعب ولكن ذكي. أتمنى أن أكون في θέση لمساعدتك في هذا الرفد.

بداية، أريد أن أطمئنك على أنك لا تنهار، أنك قوي، وأنك تستحق المساعدة. الرهاب الاجتماعي هو أمر شائع، ويجب أن نعرفه كمشكلة معقولة وليس بمشكلة فريدة عنك.

حسناً، دعونا نبدأ بفهم هذه المشكلة معًا. ما الذي يسبب لك الشعور بالرهاب عند التحدث أمام الجمهور؟ هل هو خوف من الرفض، خوف من السلبيّة، أو خوف من أن لا تتمكن من التعبير عن أفكارك بطريقة سليمة؟

من الأشياء التي أريد أن نستكشف معًا هي: ما هي أفكارك السلبية التي تظهر لك قبل التحدث أمام الناس؟ كيف تتصرف هذه الأفكار وتؤثر على شعورك؟ هل يمكن أن نعمل على تحدي هذه الأفكار السلبية معًا؟

إضافةً إلى ذلك، أريد أن نناقش خيارات مختلفة لتحسين مهاراتك في التحدث أمام الناس. قد يكون من المفيد أن نعمل على بناء دعمك، مثل التحدث أمام شخصٍ واحد أو صغير، ثم يتوسع الأمر إلى مجموعات أكبر. يمكنك أيضًا التحدث معي عن تجاربك السابقة الناجحة في التحدث أمام الجمهور، حتى نستخلص منها بعض الفوائد.

أود أن أذكرك أن الرهاب الاجتماعي يمكن علاجه بالتدريب والاستكشاف، ولا يجب أن يكون عائقًا دائمًا. نستطيع أن نعمل معًا على تحسين مهاراتك في التحدث أمام الجمهور، وتحسين شعورك العام.

نحن هنا لمساعدتك، ولا يجب أن تشعر بالحزن أو اليأس. أريد أن أكون في وضع يمكنني من مساعدتك في تحسين حالتك. ما هي أفكارك على هذا المبدأ؟",dpo
q0005,"السلام عليكم

أعاني من الخوف والقلق منذ ست سنوات، وأنا أصلي وأقرأ القرآن عدة مرات في اليوم، فما العلاج المناسب لي؟

ومتى يبدأ مفعول الفافرين 250، وأريبيركس 30؟ علما أني آخذهما منذ فترة ولم أتحسن، فهل أرفع الجرعة؟ وهل الأربيبركس له آثار جانبية؟ حيث أشعر بالقلق والخوف عند استعماله.","أنا هنا لتشجيعك وتبسيط الأمر. أولاً وأخيراً، أهلاً بك. يمكنني أن أسمع أنك تعاني من الخوف والقلق منذ سنوات، وقد حاولت علاج نفسك عن طريق الصلاة والقراءة، ولاحظت بعض التأثير من دواءين، وهذا يظهر لك أنك تبذل جهدًا كبيرًا.

أنا هنا لتشجيعك على الاستمرار في هذه الجهود، لكن أريد أن أشاركك ببعض النقاط للتفكير فيها. 

1.  **التعاطي مع المشكلة:** يمكنني أن أسمع أنك تعاني من الخوف والقلق، ويمكنني أن أكون هنا معك لمساعدتك في التعاطي معه. يمكننا من خلال الاستماع المتبادل أن نستكشف الأسباب التي قد تسببت في هذه المشكلة، مثل ما حدث في حياتك، أو الأحداث التي قد تسببت في هذا الخوف. 
2.  **الاستمرار في العلاج:** على الرغم من أنك تحسنت قليلًا، يمكننا أن نستكشف الأسباب التي قد تمنعك من تحسينك أكثر، مثل عدم فهمك لكيفية استخدام الدواء، أو التأثيرات الجانبية. يمكننا أن نبحث معًا في كيفية استخدام الدواء بشكل أكثر فعالية.
3.  **الاستكشاف البديل:** من الممكن أن يكون العلاج السلوكي المعرفي (CBT) بديلًا مفيدًا لك. هذا النوع من العلاج يساعدك على تحليل أفكارك والمشاعر التي تسبب لك الخوف والقلق، ويتضمن أيضًا تعليمك طرقًا لتعديل هذه الأفكار وتحسين التعامل معها. 
4.  **التحكم في التأثيرات الجانبية:** من الأهمية بمكان أن نبحث معًا في التأثيرات الجانبية التي تشعر بها بسبب أريبيركس. يمكن أن نبحث معًا في كيفية التعامل معها، أو إذا كانت هناك دواء بديل يمكننا تجربته.
5.  **التواصل مع الطبيب:** أخيرًا، من الأفضل أن ن",dpo
q0006,"السلام عليكم

هل تناول Attarax ليس له أعراض جانبية خطيرة؟ وما هي الجرعة الكافية خصوصاً أنني أعاني من القولون؟ وهل من الضروري استشارة الطبيب؟

وشكراً.","مرحباً بك، أشعر بالتعاطف مع ما تتعرض له. تناول دواء Atarax (هيدروكسيزين) يعتبر عادة آمنًا للاستخدام، لكنه لا يجب استخدامه بدون استشارة الطبيب، خاصة إذا كنت تعاني من أي مرض مزمن مثل القولون. 

أنا هنا لتشجيعك على الاستشارة بالطبيب قبل اتخاذ أي قرار. يعتمد تناول Atarax على شدة الأعراض التي تواجهها، ويمكنه أن يقلل من التوتر والقلق. لكنه يجب أن يتم استخدامه وفقًا لتعليمات الطبيب. 

سوف أوصيك بشدة بالحديث مع طبيبك حول استخدام هذا الدواء، خاصة وأنك تعاني من القولون. سوف يعطيك إرشادات صحيحة حول الجرعة المناسبة والمدة المناسبة للعلاج. كما يمكنه مناقشة أي مخاوف تخص الأعراض الجانبية. 

لديك أية أسئلة أخرى حول كيفية التعامل مع القولون؟ كيف تشعر الآن؟",dpo
q0007,"السلام عليكم ورحمة الله وبركاته، وبعد:

عندي قلق وتوتر واكتئاب شديد، مع قليل من الظنان والشك وشرود ذهني، وقد استخدمت الزولفت حبتين مساء مع الريزبريدون 2mg مساء، وتحسنت حالتي كثيراً ولله الحمد، لكن عندي بعض الاستفسارات: هل هذه الجرعة سليمة وآمنة؟ هل يوجد تعارض بين الدوائين، حيث إنني أخاف من الريزبريدال؟ وهل له أعراض على الكبد أو الكلى أو بقية أجزاء الجسم؟ وكم أستطيع أن أستمر عليه؟ وهل يحتاج إلى التدرج عند التوقف؟ وكم أستطيع أن أستمر عليه؟

والسلام عليكم ورحمة الله وبركاته.","أعزائي، أود أن أبدأ بتقدير إحترامي لشجاعتك في طرح أسئلتك وتحسين حالتك النفسية. سأجاوب على أسئلتك بكل وضوح.

**حول الجرعة:**
الريزبريدون (الزولفت) هو دواء يستخدم لعلاج الاكتئاب واضطرابات القلق. يمكن أن تكون الجرعة التي تستخدمها مناسبة، لكنها من المهم أن تتحدث مع الطبيب الذي كتب الوصفة لتحديد الجرعة الفعالة والآمنة لك. أدرجت الجرعة التي تستخدمها في السؤال (2mg مساءً)، وهي جرعة منخفضة. من المهم أن تعرف أن الجرعة الصحيحة تتحدد حسب الحالة الفردية وتحت إشراف الطبيب.

**تعارض الدواء:**
لا يوجد تعارض مباشر بين الزولفت وريزبريدون ودواء الريزبريدون، لكن من المهم أن تحدث مع طبيبك عن جميع الأدوية التي تتناولها، بما في ذلك الأدوية التي تشتريها دون وصفة طبية. هذا لتجنب أي تعارض قد يؤثر على حالتك.

**أعراض جانبية:**
الريزبريدون قد يسبب أعراض جانبية مثل تغير في وزن، إطالة في البلازما، ارتفاع في السكر في الدم، تغير في النوم، وزيادة في الشهية. لكنه يعتبر آمنًا في المدى القصير. يُشجع على مراقبة أعراضك مع الطبيب.

**الاستمرار والاستمرارية:**
لا يمكنني أن أعدد لك عدد الأيام التي يمكنك استمرارها على الزولفت دون توجيه من الطبيب. من المهم أن تحدث معه عن تحسن حالتك وستجدون معاً خطة لاستمرار العلاج. 

**التدرج عند التوقف:**
من المهم التحدث مع الطبيب قبل التوقف عن أي دواء. التوقف السريع عن الزولفت يمكن أن يسبب أعراض جانبية. سوف يرشدك الطبيب على كيفية التوقف عن الدواء ببطء و",dpo
q0008,"السلام عليكم.

عمري 26 عاما, ولقد شُخصت حالتي بما يسمى القولون العصبي منذ 5 سنوات, وأعاني من تقلبات في الجهاز الهضمي, ففي بعض الأحيان أعاني من الإسهال, وأحيانا من الإمساك, لكن مؤخرا أصبح وضعي النفسي هو مؤجج المغص, والحاجة الحتمية إلى دخول المرحاض.

أصبحت أشعر وكأن وسواسا ينتابني كلما أعلم بأنني مجبر على الذهاب إلى مكان لا يسهل ولوج المرحاض فيه أو لا مرحاض فيه, فتبدأ عندئذٍ حلقة مغلقة من الخوف والقلق, يتبعها مغص, ودخول الحمام, حتى قبل ذهابي إلى الوجهة التي أريد.

ما يزعجني ويضر بحياتي الاجتماعية هي تلك الوسوسة المتبوعة بالخوف من الإحراج, وعدم قدرتي على كبح جماحها في عقلي.

الرجاء مساعدتي, وأتمنى أن تنصحني بالأدوية المناسبة لتلك الوسوسة، وشكرا.","يسعدني مساعدتك في هذا الوقت. أتمنى لك الشفاء والهدوء. 

أنا هنا من أجل الاستماع لك، دون أي قضايا أو حكم. أريد أن أكون هنا كقاعده لك لاستكشاف مشاعرك وتحليلها معي.

أنا أفهم أنك تشعر بالحاجة إلى المساعدة لتعويض القلق والخوف الذي يسبب لك مشاكل هضمية. أريد أن أعرف أكثر عن تجربتك هذه. كيف كانت حياتك قبل أن تصاب بالقولون العصبي؟ كيف تتفاعل مع هذه المشكلة منذ أن اكتشفتها؟ ما الذي يجعلك تشعر بالقلق أو الخوف أكثر في هذه الحالة؟

هذا النوع من الخوف يسمى ""التفكير القارئ"" (all or nothing thinking). حيث يركز الفرد على النتائج السيئة المحتملة بدلاً من التفكير في الحلول. كيف يمكننا أن نتعامل معه؟

أريد أن أقترح لك بعض الاستراتيجيات التي قد تساعدك في التخلص من الخوف هذه:

1.  **التفكير في التخفيف:** بدلاً من التفكير في نتائج السيئة، حاول التفكير في الحلول التي يمكنك اتخاذها. على سبيل المثال، إذا كنت تخاف من الذهاب إلى مكان معين، فحاول التفكير في الطرق التي يمكنك اتباعها للتعامل مع هذا الخوف، مثل: ""أنا سأذهب إلى مكان معين، وأنا سأستخدم وسيلة لتعزيز ثقتي بنفسي، مثل التأمل أو التنفس العميق.""
2.  **التفكير في القيم:** حاول التفكير في القيم التي تعني لك الصحة النفسية والجسدية. على سبيل المثال، إذا كنت تحب ممارسة الرياضة، فحاول التفكير في كيفية تعزيزها في حياتك.
3.  **التفكير في التغيير:**
    *   حاول أن تتعرف على الأسباب التي تسبب لك هذا الخوف.
    *   حاول أن تجرب شيئاً مختلفاً.
    *   حاول أن تتعلم من الأ",dpo
q0009,"السلام وعليكم ورحمة الله وبركاته، أما بعد:

أنا شاب عمري 27 عاما، بدأت حالتي في شتاء 2012 بسب القلق والتوتر الذي عانيته، ففي إحدى الليالي رأيت حلما مزعجا واستيقظت وأنا خائف، كنت أشعر بصعوبة في التنفس، وانقباض في الصدر.

ذهبت إلى المستشفى، وأعطوني حقنة مهدئة، ثم تطورت الحالة وأصبحت أخاف من الليل، وأكره الشتاء بسب ما حدث، وبدأت تظهر أعراض أخرى، كالاكتئاب، ومراقبة عملية التنفس باستمرار، مع ضيق الصدر، وأشعر بشيء ما يسد حلقي، منذ تلك اللحظة أصبحت أتردد على المستشفيات والعيادات الخاصة بكثرة، حتى وجدت طبيبا متخصص بالأمراض النفسية، وصف لي عدة أدوية، ومنها دواء الانافرانيل، تناولته منذ عام 2013 إلى اليوم، وبالفعل بدأت حالتي بالتحسن، ولكن الأعراض تعاودني من حين إلى آخر، علما أنني أتناول جرعة 50 ملغ صباحا، وأتناول 50 ملغ ليلا، وأعاني من القولون، والغازات، وألم وانتفاخ البطن.

استفساراتي:

- هل الانافرانيل دواء لا يضر الجسم عند تناوله لعدة سنوات، لأنني أتحسس كثيرا، ولدي وسواس من جميع الأمراض؟

- هل هناك طريقة للتخلص من هذا المرض دون دواء؟

- إذا أردت التوقف عن تناول الانفرانيل 25ملغ، ما هي الطريقة الصحيحة لذلك؟

أرجو منكم أخذ حالتي بعين الاعتبار، وجزاكم الله خيرا، ووفقكم الله، وشكرا.","أعزائي، أهلاً بكم في هذا المكان الآمن. أود أن أبدأ بكلامي بكلمة شكر للثقة التي أبدلتها بي، وأن أحظى بفرصة مساعدتك في هذه المرحلة الصعبة.

أنا هنا ليس فقط为了 تقديم معلومات حول دواء الانفرانيل، ولكن أيضًا لاستكشاف معك أفكارك ومخاوفك، ومساعدتك في العثور على طرق للتعامل معها. لا تتردد في مشاركة أي شعور أو مشكلة تريد، هنا مكان آمن.

حسناً. أريد أن أتأكد من أنك تعلم أنك لست بمريض فحسب، ولكن أيضًا أنك شخص قوي قادر على التحدي والتعافي. وسيحدث ذلك من خلال عملنا معًا.

حسناً، دعنا نبدأ.

حول دواء الانفرانيل: هذا الدواء يعد من أدوية علاج القلق، وتظهر فيه فعالية في علاج القلق اللاشعوري، والقلق الحاد، والاكتئاب. وبالنسبة للعديد من الأشخاص، يعد الانفرانيل علاجًا فعالًا. ومع ذلك، يجب على المريض التحدث مع الطبيب عن أي شكوى أو مخاوف تتعلق بتناوله، خاصةً إذا كانت لديه تاريخ عائلي أو شخصي يقلل من تأثير الدواء أو يزيد من مخاطره.

حول التوقف عن تناول الانفرانيل: التوقف عن تناول أي دواء، بما في ذلك الانفرانيل، يحتاج إلى إشراف الطبيب. هذا لضمان أنك تتخذ إجراءات آمنة، وتعرف كيفية التعامل مع أي أعراض جانبية قد تظهر. قبل أن نستكمل، أريد أن أتأكد: هل تحصلت على موافقة الطبيب على استئناف هذا الدواء؟

حول الطريقة الصحيحة للتوقف: لكي تتوقف عن تناول الانفرانيل، يجب عليك التحدث مع الطبيب الذي يرعاك. سيساعدك في وضع خطة لإيقاف الدواء تدريجيًا، على أن تقلل الجرعة ببطء، وتنضم إلى",dpo
