qid,a_model,b_model,raw_judgment,winner
q0000,dpo,base,A,dpo
q0001,base,dpo,A,base
q0002,base,dpo,B,dpo
q0003,base,dpo,A,base
q0004,dpo,base,A,dpo
q0005,dpo,base,A,dpo
q0006,dpo,base,A,dpo
q0007,base,dpo,B,dpo
q0008,base,dpo,A,base
q0009,base,dpo,A,base
q0010,base,dpo,A,base
q0011,dpo,base,A,dpo
q0012,base,dpo,"A

الاستجابة A هي",base
q0013,base,dpo,A,base
q0014,dpo,base,"A

الاستجابة A هي",dpo
q0015,dpo,base,A,dpo
q0016,base,dpo,A,base
q0017,dpo,base,A,dpo
q0018,dpo,base,"A

الاستجابة A هي",dpo
q0019,base,dpo,A,base
q0020,dpo,base,A,dpo
q0021,dpo,base,A,dpo
q0022,base,dpo,B,dpo
q0023,base,dpo,A,base
q0024,dpo,base,A,dpo
q0025,base,dpo,B,dpo
q0026,base,dpo,B,dpo
q0027,base,dpo,A,base
q0028,dpo,base,A,dpo
q0029,dpo,base,A,dpo
q0030,dpo,base,A,dpo
q0031,dpo,base,A,dpo
q0032,dpo,base,A,dpo
q0033,dpo,base,"A

الاستجابة A هي",dpo
q0034,base,dpo,B,dpo
q0035,dpo,base,A,dpo
q0036,dpo,base,A,dpo
q0037,dpo,base,A,dpo
q0038,dpo,base,A,dpo
q0039,dpo,base,A,dpo
q0040,dpo,base,A,dpo
q0041,base,dpo,"A

الاستجابة A هي",base
q0042,base,dpo,B,dpo
q0043,base,dpo,B,dpo
q0044,base,dpo,A,base
q0045,base,dpo,B,dpo
q0046,base,dpo,A,base
q0047,base,dpo,B,dpo
q0048,dpo,base,A,dpo
q0049,base,dpo,B,dpo
