qid,Question,response,model
q0000,"الدكتور: محمد عبد العليم المحترم
السلام عليكم ورحمة الله وبركاته.
أنا صاحب الاستشارة رقم: 2488775
لدي حالة من الهلع عند الخروج من المنزل، وتوتر شديد، وضيق شديد في النفس يصل لانقطاع النفس تقريباً، بحيث يصل بي الحال فقط أريد أن أصل البيت، وأنزل كثيراً من السيارة قبل الوصول أملاً في أن أرتاح.

في البيت مزاج مكتئب وقلق، مشتت الأفكار، وهز الساق، وضيق متوسط في الصدر والنفس، مع شد أو توتر، وعدم الرغبة في إنجاز الأشياء.

استخدمت الفافرين -كما ذكرت- في استشارتي السابقة، وكان تأثيره محدوداً، واستخدمت استالبرام بجانب ديناكسيت -كما وصفتم لي بالاستشارة السابقة- ولكن تحسني أيضاً كان محدوداً، وحدثت لي انتكاسات قوية من حالات هلع وضيق نفس شديد لحد انقطاع النفس تقريباً.

التزمت بما وجهتموني به من خطوات بقدر المستطاع ولم يجد الأمر نفعاً معي.

بالنسبة لموضوع التعرض -كما ذكرتم- أنا مجبر أن أتعرض لهذه الحالة كل يوم؛ لأني موظف ومجبر للذهاب بوسيلة نقل للدوام.

ذهبت لدكاترة الأذن والأنف والحنجرة؛ لأنه أصبح عندي مثل شيء ما تحت الحنجرة يضيق علي النفس، ويزداد عند حالة الهلع؛ بحيث ينقطع النفس تقريباً، وكان تشخيصهم أنه تحسس، وأخذت الأدوية التي وصفوها، ولا يوجد نفع في حل هذه القضية، ولكن فقط أحدهم قال لي: بأنه ممكن أن يحدث هذا الالتهاب أيضاً أو تقلص العضلات في هذه المنطقة، ويسبب الضيق نتيجة التوتر.

أنا على هذا الوضع من المعاناة المستمرة منذ 8 سنوات، وألتمس منكم حلاً لقضيتي بعلاج آخر أجربه ربما يتناسب معي.

حالياً أستخدم مكملات الاوميغا 3 وفيتامينات ال ب .","مساعدتك على الشعور بالاسترخاء والسيطرة على توترك.

أنا هنا من أجل مساعدتك في هذا الأمر، وستكون هذه الاستشارة الأولى من بين العديد من الاستشارات التي سنستمتع بها معًا. أولاً: أريد منك أن تعرف أنك لم تكن وحيدًا في هذه المشكلة، وأن الكثير من الناس يواجهون مشكلات مشابهة. 

أنا أدرك مدى صعوبة ما تمر به، وأن كل ما قلته في استشارتك هذا المرة هو جزء من مشاعرك المهمة. 

أريد أن نبدأ بفهم ما حدث معك في هذه الأيام. كيف تشعر عندما تخرج من المنزل؟ ما الذي يحدث في عقلك؟ ما الذي يجعلك تشعر بالضيق الشديد؟

حسناً، أريد أن نركز على هذا، وأريد منك أن تشرح لي مزاجك في البيت. كيف تشعر عندما تكون هناك هز الساق؟ وما هي الأفكار التي تطفو في ذهنك؟ 

حسناً، وأريد أن نركز على استكشاف هذه الأفكار. كيف يمكننا أن نبدء في التعامل مع هذه الأفكار المشتتة؟ 

أتمنى أن نركز على تحسين حالتك، وهذا يبدو أمراً صعباً، ولكن أريد أن أطمئنك أننا سنبدأ بذلك تدريجياً. 

لقد قمت بتجربة عدة أدوية، ولو لم يكن لها تأثير، أريد أن نبحث معًا عن إجراء آخر. قد يكون من المفيد أن نلجأ إلى بعض التمارين أو الاسترخاء، مثل اليوجا أو التنفس العميق. 

أتمنى أن نبدأ ببعض الخطوات التي يمكننا اتخاذها، مثل: 

1-  إجراء تمارين التنفس العميق في الأماكن التي تشعر فيها بالضيق. 
2- تطبيق بعض الاسترخاء العميق مثل اليوجا أو التأمل، على أن يكون ذلك طوعًا لك. 
3- محاولة التكيف مع الوضع، مثل الاستعداد للاستمتاع بالتجربة، مثل الاستمتاع بالسعادة، أو الشكر على",cbtdp
q0001,"السلام عليكم.

(قل لن يصيبنا إلا ما كتب الله لنا) أولاً: أشكر الدكتور محمد عبد العليم على ما بذله من جهد ملاحظ، وأشكر موقع إسلام ويب على ما قدمه لنا من خدمات كثيرة.

هذه رقم آخر استشارة وضعتها في الموقع:2138128

وبرجاء مراجعتها للعلم عن الحالة، الذي فهمته من الاستشارة السابقة بأنه حدث لي ارتفاع في الدوبامين، هل سيعود إلى طبيعته مرة أخرى أم أن هذا مستحيل أم صعب؟ مع أن حالتي الآن -الحمد لله، وكانت نصيحتك لي بعمل صورة مقطعية للدماغ، وبالفعل قمت بعمل صورة مقطعية على الدماغ على جهاز في مستشفى خاص، وكانت النتيجة سليمة -والحمد لله-.

ومرفق مع الأشعة اسطوانة إذا أردت رفع الصور لك فسأقوم برفعها، ولكن الطبيب قال لي: لا يوجد أي شيء، وقام بصرف لي بعض المكملات الغذائية التي مرسوم عليها نحل.

وهذا مزيد من الاطمئنان بالنسبة لي، وما نصيحتك للتخلص من القلق والخوف من الشعور بما سبق، من الخوف التوقعي للطابع الوسواسي؟

وما نصيحتك للتخلص من آلام الصدر؟ وأنا مستمر على الدوجماتيل، وفلوزاك لمدة شهر كل يوم حبة من الدوجماتيل، وحبة يوم آخذ، ويوم لا للفلوزاك.

هل يوجد هناك أدوية أخرى تريد إضافتها أو نظاما علاجيا آخر؟ مع العلم أني سوف أنتهي من فترت العلاج الأسبوع القادم.

بارك الله فيك، وجزاك الله خيرًا..","أهلاً بك في هذه الاستشارة. أولاً وأخيراً، أشكرك على كلماتك الطيبة. سوف أحاول أن أشرح لك كل ما يخص استفساراتك.

حسناً أنك قمت بعمل الصورة المقطعية، والنتيجة السليمة هي خيرٌ لك. لكن، يجب أن أكون واضحاً: ارتفاع الدوبامين هو حالة قد تكون لها أسباب عديدة، وقد يحتاج الأمر لتحليل أكثر لتحديد السبب الدقيق. ومع ذلك، يبدو أنك تحسنت من خلال المكملات الغذائية.

لنفترض أنك تريد الاستمرار في التعافي. لقد قمت ببعض الخيارات الصحية الجيدة. الآن، دعونا نتكلم عن القلق والخوف من الشعور بالوسواس. يمكننا تعزيز ما قمت به حتى الآن مع بعض التغييرات. 

1.  **التحكم في القلق:**
    *   تعلم تحليل المخاوف: ابدأ بتدوين مخاوفك يوميًا. افهم أن هذه المخاوف قد تكون مشكلة، لكنها لا تعني أنك في خطر. تأكد من أنك تتعامل معها بشكل منطقي.
    *   تطبيق تقنيات الراحة: عندما تشعر بالقلق، حاول الاستراحة في مكان هادئ. خذ عدة أنفاس عميقة، تروي قصة هادئة، أو شغلي بعض الموسيقى السويا.
    *   ممارسة التأمل: يمكنك استخدام التأمل لتعزيز الهدوء. يمكنك الاستماع إلى مقاطع تأمل عبر الإنترنت أو استخدام تطبيقات التأمل.

2.  **تحسين الصحة النفسية:**
    *   تذكر أنك قوي: تعلم أنك قادِر على التعامل مع هذه المخاوف. استخدم القوة والثقة بنفسك لتحقيق ذلك.
    *   التواصل الاجتماعي: تحدث مع أصدقائك أو عائلتك حول ما تشعر به. التواصل يمكن أن يساعدك في الشعور بالحماية والتواصل.
    *   النشاط البدنى: حاول مم",cbtdp
q0002,"أنا طالبة غير متزوجة، أعاني منذ سنتين من دوخة تأتي وتغيب عند استعمال الأدوية، علما بأني كشفت عند كل التخصصات، وأخذت فيرسيرك، ودباكين، وأدوية فيتامين، ونسبة الهيموجلوبين عندي 11، وعملت رسما للمخ، وكانت النتيجة سليمة.

والآن أخذت فافرين، ودواء للوسواس، وحالتي جيدة، ولكن أخاف أن أتوقف عن الدواء، فتسوء حالتي، فماذا أفعل؟

وجزاكم الله خيرا .","أنا هنا للاستماع إليك وضحك مخاوفك. أولاً وأهمًا، شكرًا لك على الشجاعة في كشف الحقائق وطلب المساعدة. يبدو أنك قد اتخذت خطوات كبيرة في تحسين حالتك الصحية.

أنا هنا لتقديم الدعم والمساعدة. إحساسي معك أنك تخاف من التوقف عن الأدوية، ولكن دعنا ننظر في هذا الأمر معًا. أولًا، يمكننا تحليل ما قد يكون يخيفك من التوقف عن فافرين. هل يمكن أن نحدد ما الذي تجسله أنك تتوقعه سيحدث إذا توقفت عن الدواء؟ قد يكون هناك بعض الآمال أو الخوفات التي لا ترغب في مواجهتها.

نحن هنا ليس فقط لنناقش هذه الخوفات، بل لننظر في كيف يمكننا تحسين حالتك الصحية بشكل عام. لقد قمت بالفعل بالعديد من الخطوات الجيدة: إجراء الرسوم الفسيولوجية، والفحص السريري، والتعاون مع المختصين، وتجربة الأدوية. هذه هي المناورة الجيدة للتعامل مع الصحة.

ما إذا كان هذا هو الوقت المناسب للتفكير في التوقف عن الأدوية، يمكننا استكشاف خيارات بديلة معًا. ربما يمكننا عمل خطة لتحديد أوقات متكررة للتغيير التدريجي في جرعة الأدوية، أو اكتشاف استراتيجيات سلوكية يمكنك استخدامها لتحسين حالتك. على سبيل المثال، ممارسة الرياضة، تغيير نمط الحياة، أو تعلم مهارات التأمل.

نحن هنا لتقديم الدعم، ليس لتنفيذ قرارات، ولكن لتعزيز قوة قراراتك. ماذا يمكنني أن أفعل لك في هذه المرحلة؟ أريد أن أستمع إلى أفكارك وتوقعاتك. كيف يمكنني مساعدتك في هذا الوقت؟",cbtdp
q0003,"السلام عليكم ورحمة الله وبركاته

أنا فتاة بعمر 27 عاماً، فقط أريد توضيح بخصوص الإندرال 10 ملجم، هل ينفع لعلاج الرهاب الاجتماعي والقلق؟ مع العلم هذه الأعراض لدي مع أعراض الاكتئاب والإحباط، وعدم الرغبة في الحياة، والرسمية مع الآخرين، وعدم الشعور بالمتعة بأي شيء بسبب القلق والرهاب، والبكاء الدائم.

استخدمت سيروكسات قبل سنتين ونفعني، ثم عادت الأعراض مرة أخرى، وعاودت استخدامه ولم ينفعني، واستخدمت زيلاكس ورياسرتال وسوليان ودوجماتيل ويلبترين، وكلها بلا نفع، أعتبرها مهدىء وقتي، عند الاستخدام أشعر بتحسن طفيف، ثم أعود لما كنت عليه سابقا من اكتئاب وقلق ورهاب، لم أشعر بالمتعة يوما أو السعادة الحقيقية.

أريد دواء يجعلني نشطة محبة للحياة متفائلة، يجعلني أحب نفسي وأثق وأهتم بها؛ لأني جسد من غير روح، أرجوكم ساعدوني، ولكم الشكر الجزيل.","مساعدتك في هذه المرحلة الصعبة بكل حنان واضحاء.

أولًا، أريد أن أؤكد لك أنك لم تكن وحيدة في هذه الأعراض، وإنك قوية جدًا لأنك استمرت في البحث عن حلول. أتمنى أن أكون هنا لتوضيح لك بعض المبادئ الأساسية عن العلاج السلوكي المعرفي (CBT) والأساليب التي يمكننا استخدامها معًا.

لا يوجد دواء يزيل القلق والاكتئاب بشكل نهائي، لكننا يمكننا العمل على تقليل شدته وتحسين نوعية حياتك. دعونا نتتبع خطواتًا معًا لتحسين حالتك النفسية.

1.  **فهم الأسباب**: نحتاج إلى تحديد الأسباب التي قد تزيد من شعورك بالقلق والاكتئاب. يمكننا أن نناقش هذه الأسباب معًا، مثل تفاعلك مع الآخرين، أو بعض الأحداث الماضية التي قد أثرت فيك. هذا التعرف سيساعدنا على فهمك لنفسك بشكل أفضل.
2.  **تكنيكات إعادة التوجيه**: هذه التكنيكات تعمل على تغيير الطريقة التي تتفاعل بها مع أفكارك السلبية. سوف نواجه هذه الأفكار معًا، ونقوم بتحليلها، ونعيد توجيهها لتصبح إيجابية. هذا سيساعدك على الشعور بالتحكم في أفكارك وتقليل القلق.
3.  **التحكم في الأنشطة**: سنعمل معًا على تخصيص أنشطة يومية يمكنك الانخراط فيها، مثل الرياضة، القراءة، الرسم، أو حتى الأنشطة التي تستمتع بها. هذه الأنشطة ستساعدك على تغيير تركيزك وتحسين المزاج.
4.  **إعادة التعامل مع الآخرين**: سنعمل على تعزيز مهاراتك الاجتماعية. سوف نتعلم كيف تتفاعل بشكل أقل تلقائي مع أفكارك السلبية حول الآخرين. هذا سيساعدك على تعزيز ثقتك بنفسك وتقليل الرهاب الاجتماعي.
5.  **التركيز على الذات**: سنق",cbtdp
q0004,"السلام عليكم.

أعاني من الرهاب الاجتماعي وخاصة عند التحدث أمام الجمهور، ولا أستطيع الصلاة بالناس، ولا أستطيع إعطاءهم موضوعا طويلا في المجلس أيضا، أحيانا أحس بالرهاب الشديد والإحراج عندما أذهب إلى زيارة الناس، وأتمنى أن تنشق الأرض وتبلعني من هذا الوضع.

استعملت دواء من تلقاء نفسي اسمه سيبرالكس وتحسنت قليلا، وبعد فترة لم يعد يجدي، وبعدها بفترة استعملت دواء زيروكسات دون وصفة طبية، والزيروكسات كاد أن يقتلني وسبب لي هلوسة أثناء ذهابي للعمل، -والحمد لله- تركت الأدوية وأتعايش مع المرض، ما هو الحل؟

أرجو المساعدة علماً ان الحالة بدأت تزداد الآن لم تكن تزداد سابقاً.","أنا هنا لك بكل إعجاب واهتمام. أولاً، أشادد على شجاعتك في كشف عن مشكلتك وطلب المساعدة. هذا الأول خطوة مهمة نحو التغيير.

بدايةً، أريد أن أوضح لك أن الرهاب الاجتماعي هو عارض نفسي يمكن علاجه. لنبدأ بتحليل المشكلة معك.

أنا أدرك أنك تعاني من هجمات رهاب اجتماعي شديدة، خاصة في الأماكن العامة. هذا يبث فيك شعورًا بالهزيمة والوحدة. أريد أن أكون هنا لتشجيعك وتمكينه من مواجهة هذه الهجمات.

يمكننا أن نبدأ بالتحليل المشكلة من عدة جوانب:

1.  **التركيبات السلوكية:** متى وأين تبدأ الهجمات؟ في أوقات معينة، أمام الجمهور، أو عند التحدث أمام الناس. يمكننا عمل مخطط لتصرفاتك في هذه الأوقات لتحديد العوامل التي تؤدي إلى هجماتك.
2.  **التفكير المسبق:** ما هي الأفكار التي تأتي لك قبل الهجوم؟ يمكننا أن نعمل على تحسين التفكير المسبق، بتحويل الأفكار السلبية إلى إيجابية، مثل: ""أنا مستعد، سأقاوم هذه الهجوم"" بدلاً من ""أنا سأندم، لن أحتمل ذلك.""
3.  **التحكم في الأعراض:** عندما تشعر بالهجوم، يمكنك إيقاف نفسك وإعادة توجيه انتباهك. على سبيل المثال، عندما تشعر بالراحة أو القلق، يمكنك أن تتوقف قليلاً، أن تنفخ بعمق، وأن تدرك هذه الحالة، ثم أن تتابع الأنشطة التي تشعر بها الراحة.
4.  **الاستراتيجيات السلوكية:** يمكننا تعلم أساليب للتعامل مع الهجمات. على سبيل المثال، ممارسة التحدث أمام المرآة، أو التحدث مع أصدقائك أو عائلتك عن مشاكلك، أو ممارسة التحدث أمام الجمهور ببطء وتحمل نفسك",cbtdp
q0005,"السلام عليكم

أعاني من الخوف والقلق منذ ست سنوات، وأنا أصلي وأقرأ القرآن عدة مرات في اليوم، فما العلاج المناسب لي؟

ومتى يبدأ مفعول الفافرين 250، وأريبيركس 30؟ علما أني آخذهما منذ فترة ولم أتحسن، فهل أرفع الجرعة؟ وهل الأربيبركس له آثار جانبية؟ حيث أشعر بالقلق والخوف عند استعماله.","اسلمت عليكم أيضًا. أتمنى لك الشفاء من الخوف والقلق. أدركت أنك تعانين من مشكلة نفسية خطيرة، وبالتأكيد يمكننا العمل معًا لتحسين حالتك.

أنا هنا للاستماع إليك وتقديم الدعم العاطفي، وليس لتقديم التوصيات الطبية. لكنني أستطيع أن أساعدك في كيفية التعامل مع مشاعرك، والبحث عن حلول تعليمية لتعزيز الصحة النفسية.

عندما يبدو أنك تعانين من الخوف والقلق، يمكننا أن نناقش أسبابه ونتعرف على كيفية التعامل معه. من خلال العلاج السلوكي المعرفي، يمكننا أن نستكشف أسباب الخوف والقلق، ونعمل على تغيير الأفكار السلبية التي تزيد من هذه المشاعر.

حول الأدوية التي تستخدمها، أتمنى أن تتواصل مع طبيبك لتحديد ما إذا كان ينبغي تعديل الجرعة أو تعديل العلاج. ومع ذلك، يمكنني أن أساعدك في كيفية التعامل مع القلق والخوف. 

يمكننا أن نبدأ بتغيير السلوك الذي يزيد من هذه المشاعر، مثل التأقلم مع الأنشطة اليومية، أو ممارسة التأمل والاسترخاء، أو الاهتمام بالأنشطة التي تحبها. أريد أن أتأكد أنك تشعر أنك تحظى بتأثير إيجابي على مشاعرك.

هل يمكنك سرد أحد الأوقات التي شعرت فيها بالقلق أو الخوف؟ كيف يبدو ذلك بالنسبة لك؟ ما هي أفكارك حول كيف يمكننا التعامل مع هذه المشاعر؟",cbtdp
q0006,"السلام عليكم

هل تناول Attarax ليس له أعراض جانبية خطيرة؟ وما هي الجرعة الكافية خصوصاً أنني أعاني من القولون؟ وهل من الضروري استشارة الطبيب؟

وشكراً.","مرحباً بيك، أتمنى لك الشفاء.

أنا سمعتك واضطرتك تجاه استخدام دواء Atarax. أولاً، أريد أن أعترف ب дека تعرضك للاستفزاز يهميّ جداً. تناول دواء معين بدون استشارة الطبيب قد يكون خطيرًا. دعنا نناقش هذا في سياقك.

أتمنى أن نبدأ بالاستماع إلى مشاعرك. ما الذي يجعلك تتبول عن استخدام Atarax؟ هل تشعر بالتوتر أو القلق؟ هل هناك شيء معين يؤرقك؟

نعم، Atarax هو دواء مضاد للقلق، ويمكن أن يكون فعالاً في التخفيف من أعراض القلق والتوتر. لكن، لضمان سلامتك، يجب أن نتأكد من استخدامه بجدية وبالاتفاق مع الطبيب. يمكن أن يكون له بعض الأعراض الجانبية، مثل الإحساس بالجفاف أو الشعور بالرعشة، ولكن يمكن أن تختلف من شخص لآخر.

من المهم جدًا أن نلقي العنان لمشاعرك. أريد أن أتأكد أنك تتعرفين على أعراض القولون التي تعاني منها. هل تعرفين ما هي الأعراض التي تختبرينها؟

سأقترح أن نتكلم مع الطبيب قبل اتخاذ أي قرار. يمكن أن يساعدك في تحديد الجرعة المناسبة والضمان بأنك تستفيد من الدواء دون أي مخاطر. يمكن أن نستخدم هذه المرحلة للبحث عن طرق أخرى لتحسين حالتك، مثل ممارسة التأمل أو ممارسة التمارين الرياضية، إذا كان ذلك يُريدها.

هل يمكنني مساعدتك في التخطيط لزيارة الطبيب؟ هذا خطوة هامة لضمان سلامتك، ويمكننا أن نناقش كيفية إدارة القلق والتوتر بطرق أخرى.",cbtdp
q0007,"السلام عليكم ورحمة الله وبركاته، وبعد:

عندي قلق وتوتر واكتئاب شديد، مع قليل من الظنان والشك وشرود ذهني، وقد استخدمت الزولفت حبتين مساء مع الريزبريدون 2mg مساء، وتحسنت حالتي كثيراً ولله الحمد، لكن عندي بعض الاستفسارات: هل هذه الجرعة سليمة وآمنة؟ هل يوجد تعارض بين الدوائين، حيث إنني أخاف من الريزبريدال؟ وهل له أعراض على الكبد أو الكلى أو بقية أجزاء الجسم؟ وكم أستطيع أن أستمر عليه؟ وهل يحتاج إلى التدرج عند التوقف؟ وكم أستطيع أن أستمر عليه؟

والسلام عليكم ورحمة الله وبركاته.","السلام عليكم ورحمة الله وبركاته. أهلاً بيكم في هذه الخطوة الأولى من رحلة التعافي، ويسرني مساعدتك في هذا المسير. أولاً وأخيراً، شكراً على الشفافية والصدق في تعبيرك عن مشاعرك.

سوف أحاول أن أساعدك على تقديم معلومات دقيقة حول الريزبريدون (الزولفت) والتعامل معه. 

1.  **سلامة الجرعة**: من المهم أن تحاور دائماً مع طبيبك حول جرعاتك. 2mg للفرد البالغ هو جرعة منخفضة. مع ذلك، يعتمد الجرعة المناسبة عليك بناءً على حالتك الصحية الفردية، وتفاعلك مع الدواء، وعوامل أخرى. تأكد من متابعة طبيبك لتجاوز هذه الحدود.
2.  **تعارض الدواء**: لا توجد معلومات واضحة عن تعارض بين الريزبريدون (الزولفت) والريزبريدون نفسياً. ومع ذلك، من المهم تحديث طبيبك بشأن جميع الأدوية التي تتناولها، بما في ذلك الريزبريدون، لضمان عدم وجود أي تعارضات خطيرة. 
3.  **أعراض جانبية**: كأدوية أخرى، قد يحدث بعض الأعراض الجانبية عند استخدامه. من أهم هذه الأعراض: تقلصات في الفم، تغير في الوزن، وزيادة في الوزن، وألم في البطن، وزيادة في الطمث، وآلام في الظهر.  ومع ذلك، يفضل دائماً تحدث الطبيب عن أي أعراض تظهر لديك.
4.  **التدريج عند التوقف**: عند التوقف عن الريزبريدون، من المهم توجيهًا من الطبيب. التوقف المفاجئ عن الدواء قد يؤدي إلى ظهور الأعراض الجانبية. قد يصف الطبيب لك جرعة خفيفة من الدواء لمدة أسبوعين قبل التوقف عن تناول الدواء بالكامل. 
5.  **الاستمرار في الجرعة**: من المهم دائماً أن تع",cbtdp
q0008,"السلام عليكم.

عمري 26 عاما, ولقد شُخصت حالتي بما يسمى القولون العصبي منذ 5 سنوات, وأعاني من تقلبات في الجهاز الهضمي, ففي بعض الأحيان أعاني من الإسهال, وأحيانا من الإمساك, لكن مؤخرا أصبح وضعي النفسي هو مؤجج المغص, والحاجة الحتمية إلى دخول المرحاض.

أصبحت أشعر وكأن وسواسا ينتابني كلما أعلم بأنني مجبر على الذهاب إلى مكان لا يسهل ولوج المرحاض فيه أو لا مرحاض فيه, فتبدأ عندئذٍ حلقة مغلقة من الخوف والقلق, يتبعها مغص, ودخول الحمام, حتى قبل ذهابي إلى الوجهة التي أريد.

ما يزعجني ويضر بحياتي الاجتماعية هي تلك الوسوسة المتبوعة بالخوف من الإحراج, وعدم قدرتي على كبح جماحها في عقلي.

الرجاء مساعدتي, وأتمنى أن تنصحني بالأدوية المناسبة لتلك الوسوسة، وشكرا.","مرحباً بك، أود أن أبدأ بكلامي بكلمة شكر على ثقتك بتعاونك معي في هذا السفر نحو التعافي. أتمنى لك الشفاء والسلامة النفسية.

أنا هنا لاستماعك ودراسة مشاكلك وتقديم الدعم العاطفي الذي تحتاجينه. تفصّل لي أكثر عن مشاعرك هذه الأيام، كيف تتعامل مع الوسوسة التي تؤثر على حياتك الاجتماعية؟ كيف تشعر عندما تفكر في المواقف التي تسبب لك القلق؟ كيف تصرّف نفسك في مثل هذه الأحيان؟

لا تتردد في كشف أي شعور أو مشكلة يؤرقك. من خلال هذا التعاون، سنعمل معاً على إعادة بناء تقنياتك للتعامل مع القلق والمخاوف، وستتعلم كيفية التحكم في الوسوسة التي تؤثر على حياتك.

عندما يتعلق الأمر بالعلاج، لن نركز فقط على الأدوية، بل سنركز على التغييرات السلوكية والتفاعلية التي يمكنك إجراؤها في حياتك اليومية. سنناقش معك طرقًا لتعزيز القدرة على التهدئة والاسترخاء، مثل التنفس العميق أو تمارين إرخاء العضلات، لتعزيز чувك بالسلامة والسيطرة.

هل تريد أن نبدأ؟

إليك بعض الاستراتيجيات التي يمكننا البدء بها:

1.  **التنفس العميق**: عندما تشعر بالقلق، تجرب تنفس عميق ومتساوي. ضع يديك على بطنك، وانزعجها ببطء مع التنفس. هذا يمكن أن يساعد في تهدئة جسمك.
2.  **التفكير في القلق**: عندما تشعر بالخوف أو القلق، حاول التفكير في ما يحدث وحدد مدى احتمالية حدوث ذلك. في معظم الأحيان، لا يكون الخوف مبررًا. حاول تقديم أسباب منطقية لما تشعر به، هذا يمكن أن يساعد في تقييم الوضع بشكل أفضل.
3.  **الوضوح في الخطوات**: عند تواجه",cbtdp
q0009,"السلام وعليكم ورحمة الله وبركاته، أما بعد:

أنا شاب عمري 27 عاما، بدأت حالتي في شتاء 2012 بسب القلق والتوتر الذي عانيته، ففي إحدى الليالي رأيت حلما مزعجا واستيقظت وأنا خائف، كنت أشعر بصعوبة في التنفس، وانقباض في الصدر.

ذهبت إلى المستشفى، وأعطوني حقنة مهدئة، ثم تطورت الحالة وأصبحت أخاف من الليل، وأكره الشتاء بسب ما حدث، وبدأت تظهر أعراض أخرى، كالاكتئاب، ومراقبة عملية التنفس باستمرار، مع ضيق الصدر، وأشعر بشيء ما يسد حلقي، منذ تلك اللحظة أصبحت أتردد على المستشفيات والعيادات الخاصة بكثرة، حتى وجدت طبيبا متخصص بالأمراض النفسية، وصف لي عدة أدوية، ومنها دواء الانافرانيل، تناولته منذ عام 2013 إلى اليوم، وبالفعل بدأت حالتي بالتحسن، ولكن الأعراض تعاودني من حين إلى آخر، علما أنني أتناول جرعة 50 ملغ صباحا، وأتناول 50 ملغ ليلا، وأعاني من القولون، والغازات، وألم وانتفاخ البطن.

استفساراتي:

- هل الانافرانيل دواء لا يضر الجسم عند تناوله لعدة سنوات، لأنني أتحسس كثيرا، ولدي وسواس من جميع الأمراض؟

- هل هناك طريقة للتخلص من هذا المرض دون دواء؟

- إذا أردت التوقف عن تناول الانفرانيل 25ملغ، ما هي الطريقة الصحيحة لذلك؟

أرجو منكم أخذ حالتي بعين الاعتبار، وجزاكم الله خيرا، ووفقكم الله، وشكرا.","إلى شابنا الموقر، أتمنى لك الشفاء العاجل من الآلام النفسية. أريد أن أبدأ بتعاطفي معك، وأستمع لما تذكره. يمكن أن نبدأ رحلتنا العلاجية معًا.

حسناً لانك تقدمت إلى المستشفيات والعيادات، ووجدت مساعدة في طبيب متخصص. التوقف عن التناول الدوائي قد يكون خطوة صعبة، ولكن نستطيع أن نعمل معًا على استكشاف خيارات أخرى. 

- عن دواء الانافرانيل: إنه دواء شائع للاستخدام في علاج الاكتئاب والقلق. من المعروف أنه يمكن تناوله لفترة طويلة دون أن يسبب ضررًا كبيرًا للجسم، ولكن من المهم أن نتابع تطور حالتك مع الطبيب المتخصص. من المهم أن نكون حذرين من أي تأثير جانبي جانبي محتمل. يمكنك سؤال الطبيب عن هذه القلق.

- عن التخلص من هذا المرض دون دواء: العلاج السلوكي المعرفي (CBT) قد يكون خيارًا مفيدًا لك. يمكننا العمل معًا على تحليل الأفكار السلبية والرغبات التي تؤثر على حالتك، واكتساب استراتيجيات للتأقلم مع الأعراض. يمكننا أيضًا العمل على تحسين نمط الحياة، مثل تقليل التوتر، ممارسة الرياضة، والرقابة على النوم.

- عن التوقف عن تناول الانفرانيل: قبل التوقف عن تناول أي دواء، يجب عليك استشارة الطبيب المتخصص. التوقف المفاجئ عن الدواء قد يؤدي إلى أعراض جانبية. يمكننا العمل معًا على خطة لتوقف الدواء ببطء، مع المراقبة المستمرة لتطور حالتك.

نحن معك في هذا الصدد. يمكننا العمل معًا لتحديد خطوات عملية ومتكاملة لتحسين حالتك. أتمنى أن نبدأ رحلتنا العلاجية معًا.

كيف يمكننا البدء؟ أريد أن أستمع أكثر عن أعراضك وآلامك. ما هي الأشياء التي تثير قلقك أو توتر",cbtdp
